Date,PX_LAST
2026-06-30 00:00:00,3548
2026-05-29 00:00:00,5503
2026-04-30 00:00:00,4327
2026-03-31 00:00:00,2947
2026-02-27 00:00:00,3056
2026-01-30 00:00:00,3507
2025-12-31 00:00:00,3319
2025-11-28 00:00:00,4481
2025-10-31 00:00:00,2929
2025-09-30 00:00:00,3305
2025-08-29 00:00:00,2925
2025-07-31 00:00:00,3239
2025-06-30 00:00:00,2111
2025-05-30 00:00:00,2277
2025-04-30 00:00:00,1961
2025-03-31 00:00:00,2465
2025-02-28 00:00:00,1818
2025-01-31 00:00:00,874
2024-12-31 00:00:00,1147
2024-11-29 00:00:00,2133
2024-10-31 00:00:00,1853
2024-09-30 00:00:00,3649
2024-08-30 00:00:00,3099
2024-07-31 00:00:00,2377
2024-06-28 00:00:00,3443
2024-05-31 00:00:00,2820
2024-04-30 00:00:00,2100
2024-03-29 00:00:00,2637
2024-02-29 00:00:00,3743
2024-01-31 00:00:00,1891
2023-12-29 00:00:00,3398
2023-11-30 00:00:00,5629
2023-10-31 00:00:00,2020
2023-09-29 00:00:00,2474
2023-08-31 00:00:00,1094
2023-07-31 00:00:00,1873
2023-06-30 00:00:00,1704
2023-05-31 00:00:00,1218
2023-04-28 00:00:00,2301
2023-03-31 00:00:00,1665
2023-02-28 00:00:00,729
2023-01-31 00:00:00,532
2022-12-30 00:00:00,2261
2022-11-30 00:00:00,1643
2022-10-31 00:00:00,1559
2022-09-30 00:00:00,1955
2022-08-31 00:00:00,302
2022-07-29 00:00:00,2081
2022-06-30 00:00:00,2434
2022-05-31 00:00:00,2668
2022-04-29 00:00:00,2136
2022-03-31 00:00:00,1760
2022-02-28 00:00:00,1617
2022-01-31 00:00:00,1208
2021-12-31 00:00:00,2312
2021-11-30 00:00:00,4483
2021-10-29 00:00:00,4349
2021-09-30 00:00:00,8944
2021-08-31 00:00:00,5919
2021-07-30 00:00:00,4306
2021-06-30 00:00:00,3931
2021-05-31 00:00:00,3089
2021-04-30 00:00:00,4896
2021-03-31 00:00:00,2210
2021-02-26 00:00:00,1439
2021-01-29 00:00:00,1890
2020-12-31 00:00:00,2006
2020-11-30 00:00:00,1522
2020-10-30 00:00:00,1875
2020-09-30 00:00:00,3091
2020-08-31 00:00:00,2218
2020-07-31 00:00:00,2206
2020-06-30 00:00:00,4320
2020-05-29 00:00:00,46
2020-04-30 00:00:00,895
2020-03-31 00:00:00,204
2020-02-28 00:00:00,-328
2020-01-31 00:00:00,-20
2019-12-31 00:00:00,1950
2019-11-29 00:00:00,3131
2019-10-31 00:00:00,2978
2019-09-30 00:00:00,3269
2019-08-30 00:00:00,4467
2019-07-31 00:00:00,3657
2019-06-28 00:00:00,2488
2019-05-31 00:00:00,1620
2019-04-30 00:00:00,1276
2019-03-29 00:00:00,150
2019-02-28 00:00:00,459
2019-01-31 00:00:00,1116
2018-12-31 00:00:00,1905
2018-11-30 00:00:00,1755
2018-10-31 00:00:00,2596
2018-09-28 00:00:00,2000
2018-08-31 00:00:00,2732
2018-07-31 00:00:00,3471
2018-06-29 00:00:00,2170
2018-05-31 00:00:00,1401
2018-04-30 00:00:00,2173
2018-03-30 00:00:00,1010
2018-02-28 00:00:00,1560
2018-01-31 00:00:00,1613
2017-12-29 00:00:00,2830
2017-11-30 00:00:00,3848
2017-10-31 00:00:00,3219
2017-09-29 00:00:00,2738
2017-08-31 00:00:00,2293
2017-07-31 00:00:00,1225
2017-06-30 00:00:00,1086
2017-05-31 00:00:00,1511
2017-04-28 00:00:00,1779
2017-03-31 00:00:00,2597
2017-02-28 00:00:00,1021
2017-01-31 00:00:00,1167
2016-12-30 00:00:00,1385
2016-11-30 00:00:00,2263
2016-10-31 00:00:00,1534
2016-09-30 00:00:00,2008
2016-08-31 00:00:00,978
2016-07-29 00:00:00,768
2016-06-30 00:00:00,996
2016-05-31 00:00:00,854
2016-04-29 00:00:00,1117
2016-03-31 00:00:00,270
2016-02-29 00:00:00,174
2016-01-29 00:00:00,211
2015-12-31 00:00:00,470
2015-11-30 00:00:00,1007
2015-10-30 00:00:00,1229
2015-09-30 00:00:00,1936
2015-08-31 00:00:00,1071
2015-07-31 00:00:00,2209
2015-06-30 00:00:00,1292
2015-05-29 00:00:00,810
2015-04-30 00:00:00,565
2015-03-31 00:00:00,475
2015-02-27 00:00:00,521
2015-01-30 00:00:00,679
2014-12-31 00:00:00,474
2014-11-28 00:00:00,2151
2014-10-31 00:00:00,3552
2014-09-30 00:00:00,1915
2014-08-29 00:00:00,2627
2014-07-31 00:00:00,1195
2014-06-30 00:00:00,1871
2014-05-30 00:00:00,1395
2014-04-30 00:00:00,1429
