Date,PX_LAST
2026-06-30 00:00:00,946
2026-05-29 00:00:00,851
2026-04-30 00:00:00,814
2026-03-31 00:00:00,702
2026-02-27 00:00:00,776
2026-01-30 00:00:00,618
2025-12-31 00:00:00,719
2025-11-28 00:00:00,827
2025-10-31 00:00:00,847
2025-09-30 00:00:00,856
2025-08-29 00:00:00,767
2025-07-31 00:00:00,678
2025-06-30 00:00:00,635
2025-05-30 00:00:00,601
2025-04-30 00:00:00,564
2025-03-31 00:00:00,614
2025-02-28 00:00:00,547
2025-01-31 00:00:00,377
2024-12-31 00:00:00,569
2024-11-29 00:00:00,659
2024-10-31 00:00:00,719
2024-09-30 00:00:00,711
2024-08-30 00:00:00,744
2024-07-31 00:00:00,762
2024-06-28 00:00:00,763
2024-05-31 00:00:00,720
2024-04-30 00:00:00,746
2024-03-29 00:00:00,772
2024-02-29 00:00:00,708
2024-01-31 00:00:00,591
2023-12-29 00:00:00,879
2023-11-30 00:00:00,751
2023-10-31 00:00:00,660
2023-09-29 00:00:00,679
2023-08-31 00:00:00,534
2023-07-31 00:00:00,394
2023-06-30 00:00:00,446
2023-05-31 00:00:00,572
2023-04-28 00:00:00,663
2023-03-31 00:00:00,687
2023-02-28 00:00:00,536
2023-01-31 00:00:00,433
2022-12-30 00:00:00,663
2022-11-30 00:00:00,744
2022-10-31 00:00:00,883
2022-09-30 00:00:00,1009
2022-08-31 00:00:00,902
2022-07-29 00:00:00,1173
2022-06-30 00:00:00,1285
2022-05-31 00:00:00,1614
2022-04-29 00:00:00,1593
2022-03-31 00:00:00,1735
2022-02-28 00:00:00,1405
2022-01-31 00:00:00,1003
2021-12-31 00:00:00,1466
2021-11-30 00:00:00,1544
2021-10-29 00:00:00,1972
2021-09-30 00:00:00,1975
2021-08-31 00:00:00,1874
2021-07-30 00:00:00,1760
2021-06-30 00:00:00,1541
2021-05-31 00:00:00,1343
2021-04-30 00:00:00,1145
2021-03-31 00:00:00,1167
2021-02-26 00:00:00,1070
2021-01-29 00:00:00,701
2020-12-31 00:00:00,677
2020-11-30 00:00:00,654
2020-10-30 00:00:00,591
2020-09-30 00:00:00,591
2020-08-31 00:00:00,570
2020-07-31 00:00:00,474
2020-06-30 00:00:00,401
2020-05-29 00:00:00,271
2020-04-30 00:00:00,238
2020-03-31 00:00:00,375
2020-02-28 00:00:00,324
2020-01-31 00:00:00,332
2019-12-31 00:00:00,487
2019-11-29 00:00:00,505
2019-10-31 00:00:00,591
2019-09-30 00:00:00,688
2019-08-30 00:00:00,665
2019-07-31 00:00:00,516
2019-06-28 00:00:00,442
2019-05-31 00:00:00,398
2019-04-30 00:00:00,384
2019-03-29 00:00:00,464
2019-02-28 00:00:00,388
2019-01-31 00:00:00,328
2018-12-31 00:00:00,596
2018-11-30 00:00:00,626
2018-10-31 00:00:00,671
2018-09-28 00:00:00,629
2018-08-31 00:00:00,562
2018-07-31 00:00:00,549
2018-06-29 00:00:00,581
2018-05-31 00:00:00,583
2018-04-30 00:00:00,603
2018-03-30 00:00:00,652
2018-02-28 00:00:00,557
2018-01-31 00:00:00,558
2017-12-29 00:00:00,625
2017-11-30 00:00:00,623
2017-10-31 00:00:00,679
2017-09-29 00:00:00,616
2017-08-31 00:00:00,486
2017-07-31 00:00:00,496
2017-06-30 00:00:00,467
2017-05-31 00:00:00,455
2017-04-28 00:00:00,559
2017-03-31 00:00:00,540
2017-02-28 00:00:00,444
2017-01-31 00:00:00,402
2016-12-30 00:00:00,597
2016-11-30 00:00:00,537
2016-10-31 00:00:00,435
2016-09-30 00:00:00,421
2016-08-31 00:00:00,432
2016-07-29 00:00:00,399
2016-06-30 00:00:00,342
2016-05-31 00:00:00,351
2016-04-29 00:00:00,367
2016-03-31 00:00:00,272
2016-02-29 00:00:00,214
2016-01-29 00:00:00,219
2015-12-31 00:00:00,270
2015-11-30 00:00:00,285
2015-10-30 00:00:00,349
2015-09-30 00:00:00,398
2015-08-31 00:00:00,480
2015-07-31 00:00:00,423
2015-06-30 00:00:00,361
2015-05-29 00:00:00,331
2015-04-30 00:00:00,343
2015-03-31 00:00:00,392
2015-02-27 00:00:00,308
2015-01-30 00:00:00,340
2014-12-31 00:00:00,495
2014-11-28 00:00:00,491
2014-10-31 00:00:00,467
2014-09-30 00:00:00,529
2014-08-29 00:00:00,442
2014-07-31 00:00:00,355
2014-06-30 00:00:00,413
2014-05-30 00:00:00,485
2014-04-30 00:00:00,513
2014-03-31 00:00:00,642
2014-02-28 00:00:00,669
2014-01-31 00:00:00,684
2013-12-31 00:00:00,801
2013-11-29 00:00:00,764
2013-10-31 00:00:00,665
2013-09-30 00:00:00,597
2013-08-30 00:00:00,531
2013-07-31 00:00:00,531
2013-06-28 00:00:00,564
2013-05-31 00:00:00,533
2013-04-30 00:00:00,544
2013-03-29 00:00:00,547
