Date,PX_LAST
2026-06-30 00:00:00,1895
2026-05-29 00:00:00,2068
2026-04-30 00:00:00,2767
2026-03-31 00:00:00,3705
2026-02-27 00:00:00,1991
2026-01-30 00:00:00,1702
2025-12-31 00:00:00,1319
2025-11-28 00:00:00,1452
2025-10-31 00:00:00,1436
2025-09-30 00:00:00,1128
2025-08-29 00:00:00,1045
2025-07-31 00:00:00,921
2025-06-30 00:00:00,984
2025-05-30 00:00:00,922
2025-04-30 00:00:00,1114
2025-03-31 00:00:00,1107
2025-02-28 00:00:00,885
2025-01-31 00:00:00,876
2024-12-31 00:00:00,927
2024-11-29 00:00:00,892
2024-10-31 00:00:00,966
2024-09-30 00:00:00,863
2024-08-30 00:00:00,881
2024-07-31 00:00:00,972
2024-06-28 00:00:00,1150
2024-05-31 00:00:00,1241
2024-04-30 00:00:00,1123
2024-03-29 00:00:00,1137
2024-02-29 00:00:00,1145
2024-01-31 00:00:00,1306
2023-12-29 00:00:00,1200
2023-11-30 00:00:00,1184
2023-10-31 00:00:00,1483
2023-09-29 00:00:00,827
2023-08-31 00:00:00,752
2023-07-31 00:00:00,851
2023-06-30 00:00:00,1014
2023-05-31 00:00:00,1105
2023-04-28 00:00:00,1046
2023-03-31 00:00:00,1428
2023-02-28 00:00:00,1414
2023-01-31 00:00:00,1275
2022-12-30 00:00:00,1873
2022-11-30 00:00:00,2353
2022-10-31 00:00:00,1827
2022-09-30 00:00:00,1477
2022-08-31 00:00:00,1512
2022-07-29 00:00:00,1466
2022-06-30 00:00:00,1234
2022-05-31 00:00:00,1119
2022-04-29 00:00:00,1253
2022-03-31 00:00:00,1279
2022-02-28 00:00:00,1343
2022-01-31 00:00:00,689
2021-12-31 00:00:00,786
2021-11-30 00:00:00,721
2021-10-29 00:00:00,797
2021-09-30 00:00:00,626
2021-08-31 00:00:00,610
2021-07-30 00:00:00,604
2021-06-30 00:00:00,598
2021-05-31 00:00:00,604
2021-04-30 00:00:00,606
2021-03-31 00:00:00,710
2021-02-26 00:00:00,669
2021-01-29 00:00:00,517
2020-12-31 00:00:00,466
2020-11-30 00:00:00,458
2020-10-30 00:00:00,411
2020-09-30 00:00:00,435
2020-08-31 00:00:00,474
2020-07-31 00:00:00,506
2020-06-30 00:00:00,462
2020-05-29 00:00:00,713
2020-04-30 00:00:00,1236
2020-03-31 00:00:00,1394
2020-02-28 00:00:00,796
2020-01-31 00:00:00,882
2019-12-31 00:00:00,1597
2019-11-29 00:00:00,1267
2019-10-31 00:00:00,1040
2019-09-30 00:00:00,961
2019-08-30 00:00:00,656
2019-07-31 00:00:00,621
2019-06-28 00:00:00,680
2019-05-31 00:00:00,636
2019-04-30 00:00:00,634
2019-03-29 00:00:00,648
2019-02-28 00:00:00,781
2019-01-31 00:00:00,848
2018-12-31 00:00:00,1252
2018-11-30 00:00:00,1132
2018-10-31 00:00:00,1157
2018-09-28 00:00:00,791
2018-08-31 00:00:00,786
2018-07-31 00:00:00,768
2018-06-29 00:00:00,712
2018-05-31 00:00:00,754
2018-04-30 00:00:00,656
2018-03-30 00:00:00,661
2018-02-28 00:00:00,658
2018-01-31 00:00:00,664
2017-12-29 00:00:00,827
2017-11-30 00:00:00,806
2017-10-31 00:00:00,871
2017-09-29 00:00:00,776
2017-08-31 00:00:00,677
2017-07-31 00:00:00,639
2017-06-30 00:00:00,663
2017-05-31 00:00:00,768
2017-04-28 00:00:00,785
2017-03-31 00:00:00,790
2017-02-28 00:00:00,835
2017-01-31 00:00:00,901
2016-12-30 00:00:00,919
2016-11-30 00:00:00,891
2016-10-31 00:00:00,656
2016-09-30 00:00:00,625
2016-08-31 00:00:00,515
2016-07-29 00:00:00,541
2016-06-30 00:00:00,691
2016-05-31 00:00:00,753
2016-04-29 00:00:00,730
2016-03-31 00:00:00,840
2016-02-29 00:00:00,730
2016-01-29 00:00:00,817
2015-12-31 00:00:00,869
2015-11-30 00:00:00,907
2015-10-30 00:00:00,788
2015-09-30 00:00:00,715
2015-08-31 00:00:00,598
2015-07-31 00:00:00,755
2015-06-30 00:00:00,972
2015-05-29 00:00:00,856
2015-04-30 00:00:00,754
2015-03-31 00:00:00,809
2015-02-27 00:00:00,841
2015-01-30 00:00:00,863
2014-12-31 00:00:00,862
2014-11-28 00:00:00,866
2014-10-31 00:00:00,809
2014-09-30 00:00:00,623
2014-08-29 00:00:00,699
2014-07-31 00:00:00,833
2014-06-30 00:00:00,724
2014-05-30 00:00:00,657
2014-04-30 00:00:00,648
2014-03-31 00:00:00,700
2014-02-28 00:00:00,726
2014-01-31 00:00:00,1005
2013-12-31 00:00:00,997
2013-11-29 00:00:00,674
2013-10-31 00:00:00,595
2013-09-30 00:00:00,584
2013-08-30 00:00:00,622
2013-07-31 00:00:00,624
2013-06-28 00:00:00,577
2013-05-31 00:00:00,612
2013-04-30 00:00:00,619
2013-03-29 00:00:00,661
2013-02-28 00:00:00,697
2013-01-31 00:00:00,636
2012-12-31 00:00:00,764
2012-11-30 00:00:00,705
2012-10-31 00:00:00,674
2012-09-28 00:00:00,649
2012-08-31 00:00:00,627
2012-07-31 00:00:00,642
2012-06-29 00:00:00,682
2012-05-31 00:00:00,707
2012-04-30 00:00:00,779
2012-03-30 00:00:00,818
2012-02-29 00:00:00,784
2012-01-31 00:00:00,813
2011-12-30 00:00:00,930
2011-11-30 00:00:00,788
2011-10-31 00:00:00,773
2011-09-30 00:00:00,697
2011-08-31 00:00:00,679
2011-07-29 00:00:00,721
2011-06-30 00:00:00,747
2011-05-31 00:00:00,761
2011-04-29 00:00:00,829
2011-03-31 00:00:00,932
2011-02-28 00:00:00,919
2011-01-31 00:00:00,662
2010-12-31 00:00:00,1043
2010-11-30 00:00:00,882
2010-10-29 00:00:00,758
2010-09-30 00:00:00,686
2010-08-31 00:00:00,715
2010-07-30 00:00:00,796
2010-06-30 00:00:00,855
2010-05-31 00:00:00,962
2010-04-30 00:00:00,996
2010-03-31 00:00:00,964
2010-02-26 00:00:00,897
2010-01-29 00:00:00,1077
