Date,PX_LAST
2026-06-30 00:00:00,1110
2026-05-29 00:00:00,1504
2026-04-30 00:00:00,1997
2026-03-31 00:00:00,1966
2026-02-27 00:00:00,906
2026-01-30 00:00:00,883
2025-12-31 00:00:00,757
2025-11-28 00:00:00,871
2025-10-31 00:00:00,627
2025-09-30 00:00:00,602
2025-08-29 00:00:00,622
2025-07-31 00:00:00,663
2025-06-30 00:00:00,586
2025-05-30 00:00:00,698
2025-04-30 00:00:00,633
2025-03-31 00:00:00,758
2025-02-28 00:00:00,670
2025-01-31 00:00:00,662
2024-12-31 00:00:00,625
2024-11-29 00:00:00,663
2024-10-31 00:00:00,523
2024-09-30 00:00:00,554
2024-08-30 00:00:00,614
2024-07-31 00:00:00,778
2024-06-28 00:00:00,834
2024-05-31 00:00:00,1023
2024-04-30 00:00:00,926
2024-03-29 00:00:00,1072
2024-02-29 00:00:00,1014
2024-01-31 00:00:00,1208
2023-12-29 00:00:00,960
2023-11-30 00:00:00,834
2023-10-31 00:00:00,780
2023-09-29 00:00:00,813
2023-08-31 00:00:00,847
2023-07-31 00:00:00,704
2023-06-30 00:00:00,620
2023-05-31 00:00:00,674
2023-04-28 00:00:00,752
2023-03-31 00:00:00,1248
2023-02-28 00:00:00,847
2023-01-31 00:00:00,643
2022-12-30 00:00:00,2135
2022-11-30 00:00:00,1816
2022-10-31 00:00:00,1213
2022-09-30 00:00:00,1162
2022-08-31 00:00:00,1236
2022-07-29 00:00:00,1363
2022-06-30 00:00:00,1566
2022-05-31 00:00:00,1426
2022-04-29 00:00:00,1255
2022-03-31 00:00:00,921
2022-02-28 00:00:00,731
2022-01-31 00:00:00,560
2021-12-31 00:00:00,788
2021-11-30 00:00:00,636
2021-10-29 00:00:00,568
2021-09-30 00:00:00,496
2021-08-31 00:00:00,535
2021-07-30 00:00:00,488
2021-06-30 00:00:00,447
2021-05-31 00:00:00,509
2021-04-30 00:00:00,469
2021-03-31 00:00:00,643
2021-02-26 00:00:00,526
2021-01-29 00:00:00,511
2020-12-31 00:00:00,385
2020-11-30 00:00:00,351
2020-10-30 00:00:00,312
2020-09-30 00:00:00,373
2020-08-31 00:00:00,485
2020-07-31 00:00:00,356
2020-06-30 00:00:00,396
2020-05-29 00:00:00,587
2020-04-30 00:00:00,1912
