Date,PX_LAST
2017-03-31 00:00:00,881
2017-02-28 00:00:00,825
2017-01-31 00:00:00,679
2016-12-30 00:00:00,903
2016-11-30 00:00:00,912
2016-10-31 00:00:00,722
2016-09-30 00:00:00,679
2016-08-31 00:00:00,721
2016-07-29 00:00:00,671
2016-06-30 00:00:00,619
2016-05-31 00:00:00,580
2016-04-29 00:00:00,582
2016-03-31 00:00:00,476
2016-02-29 00:00:00,339
2016-01-29 00:00:00,304
2015-12-31 00:00:00,450
2015-11-30 00:00:00,469
2015-10-30 00:00:00,629
2015-09-30 00:00:00,703
2015-08-31 00:00:00,925
2015-07-31 00:00:00,899
2015-06-30 00:00:00,715
2015-05-29 00:00:00,647
2015-04-30 00:00:00,625
2015-03-31 00:00:00,650
2015-02-27 00:00:00,515
2015-01-30 00:00:00,585
2014-12-31 00:00:00,887
2014-11-28 00:00:00,986
2014-10-31 00:00:00,892
2014-09-30 00:00:00,1051
2014-08-29 00:00:00,970
2014-07-31 00:00:00,716
2014-06-30 00:00:00,675
2014-05-30 00:00:00,830
2014-04-30 00:00:00,919
2014-03-31 00:00:00,1090
2014-02-28 00:00:00,1103
2014-01-31 00:00:00,996
2013-12-31 00:00:00,1453
2013-11-29 00:00:00,1475
2013-10-31 00:00:00,1269
2013-09-30 00:00:00,1079
2013-08-30 00:00:00,939
2013-07-31 00:00:00,912
2013-06-28 00:00:00,954
2013-05-31 00:00:00,871
2013-04-30 00:00:00,888
2013-03-29 00:00:00,944
2013-02-28 00:00:00,764
2013-01-31 00:00:00,684
2012-12-31 00:00:00,728
2012-11-30 00:00:00,766
2012-10-31 00:00:00,678
2012-09-28 00:00:00,830
2012-08-31 00:00:00,857
2012-07-31 00:00:00,1032
2012-06-29 00:00:00,1257
2012-05-31 00:00:00,1034
2012-04-30 00:00:00,1101
2012-03-30 00:00:00,1030
2012-02-29 00:00:00,712
2012-01-31 00:00:00,655
2011-12-30 00:00:00,1176
2011-11-30 00:00:00,1359
2011-10-31 00:00:00,1531
2011-09-30 00:00:00,1499
2011-08-31 00:00:00,1382
2011-07-29 00:00:00,1259
2011-06-30 00:00:00,1308
2011-05-31 00:00:00,1450
2011-04-29 00:00:00,1390
2011-03-31 00:00:00,1523
2011-02-28 00:00:00,1398
2011-01-31 00:00:00,1177
2010-12-31 00:00:00,1493
2010-11-30 00:00:00,1526
2010-10-29 00:00:00,1750
2010-09-30 00:00:00,1847
2010-08-31 00:00:00,2066
2010-07-30 00:00:00,1760
2010-06-30 00:00:00,2066
2010-05-31 00:00:00,2982
2010-04-30 00:00:00,2715
2010-03-31 00:00:00,2431
2010-02-26 00:00:00,2288
2010-01-29 00:00:00,2271
2009-12-31 00:00:00,2224
2009-11-30 00:00:00,2416
2009-10-30 00:00:00,1820
2009-09-30 00:00:00,1966
2009-08-31 00:00:00,1740
2009-07-31 00:00:00,2081
2009-06-30 00:00:00,1701
2009-05-29 00:00:00,1831
2009-04-30 00:00:00,1427
2009-03-31 00:00:00,1288
2009-02-27 00:00:00,1529
2009-01-30 00:00:00,512
2008-12-31 00:00:00,421
2008-11-28 00:00:00,622
2008-10-31 00:00:00,583
2008-09-30 00:00:00,2729
2008-08-29 00:00:00,4189
2008-07-31 00:00:00,4897
2008-06-30 00:00:00,5843
2008-05-30 00:00:00,6405
2008-04-30 00:00:00,5444
2008-03-31 00:00:00,4827
2008-02-29 00:00:00,5021
2008-01-31 00:00:00,3860
2007-12-31 00:00:00,5817
2007-11-30 00:00:00,5988
2007-10-31 00:00:00,6949
2007-09-28 00:00:00,5588
2007-08-31 00:00:00,5004
2007-07-31 00:00:00,4705
2007-06-29 00:00:00,4039
2007-05-31 00:00:00,4077
2007-04-30 00:00:00,4005
2007-03-30 00:00:00,3482
2007-02-28 00:00:00,2944
2007-01-31 00:00:00,2808
2006-12-29 00:00:00,2989
2006-11-30 00:00:00,2786
2006-10-31 00:00:00,2798
2006-09-29 00:00:00,2855
2006-08-31 00:00:00,2673
2006-07-31 00:00:00,2332
2006-06-30 00:00:00,2227
2006-05-31 00:00:00,2013
2006-04-28 00:00:00,1904
2006-03-31 00:00:00,1766
2006-02-28 00:00:00,1598
2006-01-31 00:00:00,1453
2005-12-30 00:00:00,1824
2005-11-30 00:00:00,1922
2005-10-31 00:00:00,2042
2005-09-30 00:00:00,1927
2005-08-31 00:00:00,1965
2005-07-29 00:00:00,1485
