Date,PX_LAST
2026-06-30 00:00:00,6.16
2026-05-31 00:00:00,6.29
2026-04-30 00:00:00,5.89
2026-03-31 00:00:00,5.51
2026-02-28 00:00:00,5.93
2026-01-31 00:00:00,5.83
2025-12-31 00:00:00,5.59
2025-11-30 00:00:00,5.17
2025-10-31 00:00:00,5
2025-09-30 00:00:00,4.77
2025-08-31 00:00:00,4.48
2025-07-31 00:00:00,4.51
2025-06-30 00:00:00,4.97
2025-05-31 00:00:00,4.57
2025-04-30 00:00:00,4.46
2025-03-31 00:00:00,4.89
2025-02-28 00:00:00,4.42
2025-01-31 00:00:00,4.12
2024-12-31 00:00:00,3.79
2024-11-30 00:00:00,3.95
2024-10-31 00:00:00,4.15
2024-09-30 00:00:00,4.34
2024-08-31 00:00:00,4.05
2024-07-31 00:00:00,4.03
2024-06-30 00:00:00,4.24
2024-05-31 00:00:00,4.5
2024-04-30 00:00:00,4.46
2024-03-31 00:00:00,3.91
2024-02-29 00:00:00,3.74
2024-01-31 00:00:00,3.79
2023-12-31 00:00:00,3.79
2023-11-30 00:00:00,3.74
2023-10-31 00:00:00,3.54
2023-09-30 00:00:00,3.62
2023-08-31 00:00:00,3.73
2023-07-31 00:00:00,3.9
2023-06-30 00:00:00,3.6
2023-05-31 00:00:00,3.56
2023-04-30 00:00:00,3.79
2023-03-31 00:00:00,4
2023-02-28 00:00:00,3.98
2023-01-31 00:00:00,4.11
2022-12-31 00:00:00,3.7
2022-11-30 00:00:00,3.67
2022-10-31 00:00:00,3.28
2022-09-30 00:00:00,3.3
2022-08-31 00:00:00,3.41
2022-07-31 00:00:00,3.47
2022-06-30 00:00:00,3.59
2022-05-31 00:00:00,4.2
2022-04-30 00:00:00,4.35
2022-03-31 00:00:00,4.63
2022-02-28 00:00:00,4.36
2022-01-31 00:00:00,4.23
2021-12-31 00:00:00,4.34
2021-11-30 00:00:00,4.19
2021-10-31 00:00:00,4.32
2021-09-30 00:00:00,4
2021-08-31 00:00:00,4.25
2021-07-31 00:00:00,4.38
2021-06-30 00:00:00,4.18
2021-05-31 00:00:00,4.55
2021-04-30 00:00:00,4.33
2021-03-31 00:00:00,3.87
2021-02-28 00:00:00,4
2021-01-31 00:00:00,3.46
2020-12-31 00:00:00,3.45
2020-11-30 00:00:00,3.32
2020-10-31 00:00:00,2.94
2020-09-30 00:00:00,2.92
2020-08-31 00:00:00,2.92
2020-07-31 00:00:00,2.75
2020-06-30 00:00:00,2.61
2020-05-31 00:00:00,2.33
2020-04-30 00:00:00,2.25
2020-03-31 00:00:00,2.15
2020-02-29 00:00:00,2.45
2020-01-31 00:00:00,2.44
2019-12-31 00:00:00,2.7
2019-11-30 00:00:00,2.52
2019-10-31 00:00:00,2.57
2019-09-30 00:00:00,2.5
2019-08-31 00:00:00,2.45
2019-07-31 00:00:00,2.6
2019-06-30 00:00:00,2.62
2019-05-31 00:00:00,2.57
2019-04-30 00:00:00,2.81
2019-03-31 00:00:00,2.78
2019-02-28 00:00:00,2.89
2019-01-31 00:00:00,2.69
2018-12-31 00:00:00,2.61
2018-11-30 00:00:00,2.7
2018-10-31 00:00:00,2.65
2018-09-30 00:00:00,2.67
2018-08-31 00:00:00,2.65
2018-07-31 00:00:00,2.7
2018-06-30 00:00:00,2.89
2018-05-31 00:00:00,2.97
2018-04-30 00:00:00,2.96
2018-03-31 00:00:00,2.91
2018-02-28 00:00:00,3.02
2018-01-31 00:00:00,3.1
2017-12-31 00:00:00,3.18
2017-11-30 00:00:00,2.96
2017-10-31 00:00:00,3
2017-09-30 00:00:00,2.84
2017-08-31 00:00:00,2.95
2017-07-31 00:00:00,2.72
2017-06-30 00:00:00,2.55
2017-05-31 00:00:00,2.46
2017-04-30 00:00:00,2.46
2017-03-31 00:00:00,2.53
2017-02-28 00:00:00,2.57
2017-01-31 00:00:00,2.54
2016-12-31 00:00:00,2.35
2016-11-30 00:00:00,2.44
2016-10-31 00:00:00,2.06
2016-09-30 00:00:00,2.05
2016-08-31 00:00:00,1.98
2016-07-31 00:00:00,2.09
2016-06-30 00:00:00,2.06
2016-05-31 00:00:00,1.98
2016-04-30 00:00:00,2.15
2016-03-31 00:00:00,2.07
2016-02-29 00:00:00,2.01
2016-01-31 00:00:00,1.95
2015-12-31 00:00:00,2.02
2015-11-30 00:00:00,1.98
2015-10-31 00:00:00,2.23
2015-09-30 00:00:00,2.22
2015-08-31 00:00:00,2.21
2015-07-31 00:00:00,2.25
2015-06-30 00:00:00,2.51
2015-05-31 00:00:00,2.64
2015-04-30 00:00:00,2.73
2015-03-31 00:00:00,2.64
2015-02-28 00:00:00,2.54
2015-01-31 00:00:00,2.5
2014-12-31 00:00:00,2.85
2014-11-30 00:00:00,2.91
2014-10-31 00:00:00,3.05
2014-09-30 00:00:00,3.02
2014-08-31 00:00:00,3.12
2014-07-31 00:00:00,3.17
2014-06-30 00:00:00,3.14
