Date,PX_LAST
2026-06-30 00:00:00,1630
2026-05-29 00:00:00,1430
2026-04-30 00:00:00,1330
2026-03-31 00:00:00,1230
2026-02-27 00:00:00,1280
2026-01-30 00:00:00,1280
2025-12-31 00:00:00,1280
2025-11-28 00:00:00,1430
2025-10-31 00:00:00,1330
2025-09-30 00:00:00,1230
2025-08-29 00:00:00,1330
2025-07-31 00:00:00,1180
2025-06-30 00:00:00,980
2025-05-30 00:00:00,1100
2025-04-30 00:00:00,1200
2025-03-31 00:00:00,1150
2025-02-28 00:00:00,1200
2025-01-31 00:00:00,1350
2024-12-31 00:00:00,1450
2024-11-29 00:00:00,1550
2024-10-31 00:00:00,1650
2024-09-30 00:00:00,1550
2024-08-30 00:00:00,1450
2024-07-31 00:00:00,1750
2024-06-28 00:00:00,1800
2024-05-31 00:00:00,1800
2024-04-30 00:00:00,1900
2024-03-29 00:00:00,1600
2024-02-29 00:00:00,1900
2024-01-31 00:00:00,2100
2023-12-29 00:00:00,2300
2023-11-30 00:00:00,2200
2023-10-31 00:00:00,2100
2023-09-29 00:00:00,2100
2023-08-31 00:00:00,1900
2023-07-31 00:00:00,1900
2023-06-30 00:00:00,1700
2023-05-31 00:00:00,1750
2023-04-28 00:00:00,2050
2023-03-31 00:00:00,2450
2023-02-28 00:00:00,2450
2023-01-31 00:00:00,2450
2022-12-30 00:00:00,2650
2022-11-30 00:00:00,2350
2022-10-31 00:00:00,2550
2022-09-30 00:00:00,2450
2022-08-31 00:00:00,2550
2022-07-29 00:00:00,2150
2022-06-30 00:00:00,2950
2022-05-31 00:00:00,2950
2022-04-29 00:00:00,3750
2022-03-31 00:00:00,3300
2022-02-28 00:00:00,2700
2022-01-31 00:00:00,2900
2021-12-31 00:00:00,2400
2021-11-30 00:00:00,2400
2021-10-29 00:00:00,4000
2021-09-30 00:00:00,4000
2021-08-31 00:00:00,3280
2021-07-30 00:00:00,2440
2021-06-30 00:00:00,2680
2021-05-31 00:00:00,2680
2021-04-30 00:00:00,2140
2021-03-31 00:00:00,1840
2021-02-26 00:00:00,2540
2021-01-29 00:00:00,2640
2020-12-31 00:00:00,2240
2020-11-30 00:00:00,1990
2020-10-30 00:00:00,1890
2020-09-30 00:00:00,1790
2020-08-31 00:00:00,1690
2020-07-31 00:00:00,1640
2020-06-30 00:00:00,1790
2020-05-29 00:00:00,1640
2020-04-30 00:00:00,1490
2020-03-31 00:00:00,1540
2020-02-28 00:00:00,1690
2020-01-31 00:00:00,1740
2019-12-31 00:00:00,1740
2019-11-29 00:00:00,1640
2019-10-31 00:00:00,1640
2019-09-30 00:00:00,1690
2019-08-30 00:00:00,1790
2019-07-31 00:00:00,1790
2019-06-28 00:00:00,1790
2019-05-31 00:00:00,1990
2019-04-30 00:00:00,1790
2019-03-29 00:00:00,1740
2019-02-28 00:00:00,1940
2019-01-31 00:00:00,1840
2018-12-31 00:00:00,1940
2018-11-30 00:00:00,2040
2018-10-31 00:00:00,2390
2018-09-28 00:00:00,2290
2018-08-31 00:00:00,2390
2018-07-31 00:00:00,1900
2018-06-29 00:00:00,2250
2018-05-31 00:00:00,2050
2018-04-30 00:00:00,1600
2018-03-30 00:00:00,1700
2018-02-28 00:00:00,1900
2018-01-31 00:00:00,1900
2017-12-29 00:00:00,2250
2017-11-30 00:00:00,1600
2017-10-31 00:00:00,1700
2017-09-29 00:00:00,2150
2017-08-31 00:00:00,2000
2017-07-31 00:00:00,1740
2017-06-30 00:00:00,1590
2017-05-31 00:00:00,1590
2017-04-28 00:00:00,1820
2017-03-31 00:00:00,1740
2017-02-28 00:00:00,1540
2017-01-31 00:00:00,1740
2016-12-30 00:00:00,1900
2016-11-30 00:00:00,2030
2016-10-31 00:00:00,1630
2016-09-30 00:00:00,1320
2016-08-31 00:00:00,1120
2016-07-29 00:00:00,870
2016-06-30 00:00:00,810
2016-05-31 00:00:00,940
2016-04-29 00:00:00,880
2016-03-31 00:00:00,610
2016-02-29 00:00:00,580
