Date,PX_LAST,PX_BID
2026-06-30 00:00:00,1790,0
2026-05-29 00:00:00,1590,
2026-04-30 00:00:00,1490,
2026-03-31 00:00:00,1390,
2026-02-27 00:00:00,1440,
2026-01-30 00:00:00,1440,
2025-12-31 00:00:00,1440,
2025-11-28 00:00:00,1590,
2025-10-31 00:00:00,1490,
2025-09-30 00:00:00,1390,
2025-08-29 00:00:00,1490,
2025-07-31 00:00:00,1340,
2025-06-30 00:00:00,1140,
2025-05-30 00:00:00,1260,
2025-04-30 00:00:00,1360,
2025-03-31 00:00:00,1310,
2025-02-28 00:00:00,1360,
2025-01-31 00:00:00,1510,
2024-12-31 00:00:00,1610,
2024-11-29 00:00:00,1710,
2024-10-31 00:00:00,1810,
2024-09-30 00:00:00,1710,
2024-08-30 00:00:00,1620,
2024-07-31 00:00:00,1920,
2024-06-28 00:00:00,1970,
2024-05-31 00:00:00,1970,
2024-04-30 00:00:00,2070,
2024-03-29 00:00:00,1770,
2024-02-29 00:00:00,2070,
2024-01-31 00:00:00,2270,
2023-12-29 00:00:00,2470,
2023-11-30 00:00:00,2370,
2023-10-31 00:00:00,2270,
2023-09-29 00:00:00,2270,
2023-08-31 00:00:00,2070,
2023-07-31 00:00:00,2060,
2023-06-30 00:00:00,1860,
2023-05-31 00:00:00,1910,
2023-04-28 00:00:00,2210,
2023-03-31 00:00:00,2610,
2023-02-28 00:00:00,2610,
2023-01-31 00:00:00,2610,
2022-12-30 00:00:00,2810,
2022-11-30 00:00:00,2510,
2022-10-31 00:00:00,2710,
2022-09-30 00:00:00,2610,
2022-08-31 00:00:00,2710,
2022-07-29 00:00:00,2310,
2022-06-30 00:00:00,3110,
2022-05-31 00:00:00,3110,
2022-04-29 00:00:00,3910,
2022-03-31 00:00:00,3510,
2022-02-28 00:00:00,2910,
2022-01-31 00:00:00,3110,
2021-12-31 00:00:00,2610,
2021-11-30 00:00:00,2610,
2021-10-29 00:00:00,4210,
2021-09-30 00:00:00,4210,
2021-08-31 00:00:00,3490,
2021-07-30 00:00:00,2650,
2021-06-30 00:00:00,2890,
2021-05-31 00:00:00,2890,
2021-04-30 00:00:00,2350,
2021-03-31 00:00:00,2050,
2021-02-26 00:00:00,2750,
2021-01-29 00:00:00,2850,
2020-12-31 00:00:00,2450,
2020-11-30 00:00:00,2200,
2020-10-30 00:00:00,2100,
2020-09-30 00:00:00,2000,
2020-08-31 00:00:00,1900,
2020-07-31 00:00:00,1850,
2020-06-30 00:00:00,2000,
2020-05-29 00:00:00,1850,
2020-04-30 00:00:00,1700,
2020-03-31 00:00:00,1750,
2020-02-28 00:00:00,1900,
2020-01-31 00:00:00,1950,
2019-12-31 00:00:00,1950,
2019-11-29 00:00:00,1850,
2019-10-31 00:00:00,1850,
2019-09-30 00:00:00,1900,
2019-08-30 00:00:00,2000,
2019-07-31 00:00:00,2000,
2019-06-28 00:00:00,2000,
2019-05-31 00:00:00,2200,
2019-04-30 00:00:00,2000,
2019-03-29 00:00:00,1950,
2019-02-28 00:00:00,2150,
2019-01-31 00:00:00,2050,
2018-12-31 00:00:00,2150,
2018-11-30 00:00:00,2250,
2018-10-31 00:00:00,2600,
2018-09-28 00:00:00,2500,
2018-08-31 00:00:00,2600,
2018-07-31 00:00:00,2060,
2018-06-29 00:00:00,2410,
2018-05-31 00:00:00,2210,
2018-04-30 00:00:00,1740,
2018-03-30 00:00:00,1840,
2018-02-28 00:00:00,2040,
2018-01-31 00:00:00,2040,
2017-12-29 00:00:00,2390,
2017-11-30 00:00:00,1740,
2017-10-31 00:00:00,1840,
2017-09-29 00:00:00,2290,
2017-08-31 00:00:00,2140,
2017-07-31 00:00:00,1880,
2017-06-30 00:00:00,1730,
2017-05-31 00:00:00,1730,
2017-04-28 00:00:00,1930,
2017-03-31 00:00:00,1850,
2017-02-28 00:00:00,1700,
2017-01-31 00:00:00,1930,
2016-12-30 00:00:00,2080,
2016-11-30 00:00:00,2180,
2016-10-31 00:00:00,1800,
2016-09-30 00:00:00,1490,
2016-08-31 00:00:00,1360,
2016-07-29 00:00:00,1060,
2016-06-30 00:00:00,970,
2016-05-31 00:00:00,1070,
2016-04-29 00:00:00,1050,
2016-03-31 00:00:00,770,
2016-02-29 00:00:00,740,
2016-01-29 00:00:00,740,
2015-12-31 00:00:00,740,
2015-11-30 00:00:00,760,
2015-10-30 00:00:00,820,
2015-09-30 00:00:00,860,
2015-08-31 00:00:00,880,
2015-07-31 00:00:00,900,
2015-06-30 00:00:00,920,
2015-05-29 00:00:00,920,
2015-04-30 00:00:00,920,
2015-03-31 00:00:00,980,
2015-02-27 00:00:00,1050,
2015-01-30 00:00:00,1070,
2014-12-31 00:00:00,1090,
2014-11-28 00:00:00,1110,
2014-10-31 00:00:00,1110,
2014-09-30 00:00:00,1110,
2014-08-29 00:00:00,1110,
2014-07-31 00:00:00,1110,
2014-06-30 00:00:00,1110,
2014-05-30 00:00:00,1130,
2014-04-30 00:00:00,1130,
2014-03-31 00:00:00,1170,
2014-02-28 00:00:00,1300,
2014-01-31 00:00:00,1360,
2013-12-31 00:00:00,1470,
2013-11-29 00:00:00,1470,
2013-10-31 00:00:00,1440,
2013-09-30 00:00:00,1410,
2013-08-30 00:00:00,1380,
2013-07-31 00:00:00,1350,
2013-06-28 00:00:00,1320,
2013-05-31 00:00:00,1410,
2013-04-30 00:00:00,1500,
2013-03-29 00:00:00,1530,
2013-02-28 00:00:00,1740,
2013-01-31 00:00:00,1770,
2012-12-31 00:00:00,1700,
2012-11-30 00:00:00,1670,
2012-10-31 00:00:00,1550,
2012-09-28 00:00:00,1380,
2012-08-31 00:00:00,1400,
2012-07-31 00:00:00,1660,
2012-06-29 00:00:00,1850,
2012-05-31 00:00:00,1820,
2012-04-30 00:00:00,1910,
2012-03-30 00:00:00,1910,
2012-02-29 00:00:00,1930,
2012-01-31 00:00:00,1950,
2011-12-30 00:00:00,1950,
2011-11-30 00:00:00,1950,
2011-10-31 00:00:00,1980,
2011-09-30 00:00:00,2070,
2011-08-31 00:00:00,2070,
2011-07-29 00:00:00,2050,
2011-06-30 00:00:00,2050,
2011-05-31 00:00:00,2050,
2011-04-29 00:00:00,2050,
2011-03-31 00:00:00,2030,
2011-02-28 00:00:00,2090,
2011-01-31 00:00:00,2010,
2010-12-31 00:00:00,1960,
2010-11-30 00:00:00,1880,
2010-10-29 00:00:00,1820,
2010-09-30 00:00:00,1820,
2010-08-31 00:00:00,1820,
2010-07-30 00:00:00,1750,
2010-06-30 00:00:00,1850,
2010-05-31 00:00:00,1990,
2010-04-30 00:00:00,1990,
2010-03-31 00:00:00,1930,
2010-02-26 00:00:00,1930,
2010-01-29 00:00:00,2000,
2009-12-31 00:00:00,1850,
2009-11-30 00:00:00,1700,
2009-10-30 00:00:00,1600,
2009-09-30 00:00:00,1650,
2009-08-31 00:00:00,1850,
2009-07-31 00:00:00,1750,
2009-06-30 00:00:00,1680,
2009-05-29 00:00:00,1600,
2009-04-30 00:00:00,1480,
2009-03-31 00:00:00,1600,
