Date,PX_LAST,PX_BID
2026-06-30 00:00:00,69,
2026-05-31 00:00:00,71,
2026-04-30 00:00:00,62,
2026-03-31 00:00:00,65,60
2026-02-28 00:00:00,47,42
2026-01-31 00:00:00,28,22
2025-12-31 00:00:00,49,44
2025-11-30 00:00:00,48,42
2025-10-31 00:00:00,52,42
2025-09-30 00:00:00,54,46
2025-08-31 00:00:00,59,52
2025-07-31 00:00:00,60,54
2025-06-30 00:00:00,50,30
2025-05-31 00:00:00,100,90
2025-04-30 00:00:00,115,105
2025-03-31 00:00:00,96,92
2025-02-28 00:00:00,57,51
2025-01-31 00:00:00,61,54
2024-12-31 00:00:00,65,58
2024-11-30 00:00:00,49,43
2024-10-31 00:00:00,38,30
2024-09-30 00:00:00,63,56
2024-08-31 00:00:00,61,54
2024-07-31 00:00:00,35,28
2024-06-30 00:00:00,-7,-14
2024-05-31 00:00:00,-8,-16
2024-04-30 00:00:00,-2.5,-10
2024-03-31 00:00:00,50,43
2024-02-29 00:00:00,52.5,45
2024-01-31 00:00:00,52.5,45
2023-12-31 00:00:00,65,60
2023-11-30 00:00:00,103.5,95
2023-10-31 00:00:00,92,87
2023-09-30 00:00:00,65,60
2023-08-31 00:00:00,62,56
2023-07-31 00:00:00,29.5,25
2023-06-30 00:00:00,51,43
2023-05-31 00:00:00,59.5,52
2023-04-30 00:00:00,43,36
2023-03-31 00:00:00,37.5,30
2023-02-28 00:00:00,26.5,20
2023-01-31 00:00:00,20,12
2022-12-31 00:00:00,27.5,20
2022-11-30 00:00:00,75,65
2022-10-31 00:00:00,124.5,112
2022-09-30 00:00:00,96.5,88
2022-08-31 00:00:00,87.5,80
2022-07-31 00:00:00,85.5,78
2022-06-30 00:00:00,71.5,65
2022-05-31 00:00:00,71,65
2022-04-30 00:00:00,27,18
2022-03-31 00:00:00,22,15
2022-02-28 00:00:00,30,20
2022-01-31 00:00:00,59,50
2021-12-31 00:00:00,75,65
2021-11-30 00:00:00,83.5,75
2021-10-31 00:00:00,91,82
2021-09-30 00:00:00,95.5,88
2021-08-31 00:00:00,86.5,78
2021-07-31 00:00:00,37.5,30
2021-06-30 00:00:00,21.5,15
2021-05-31 00:00:00,23.5,17
2021-04-30 00:00:00,37.5,32
2021-03-31 00:00:00,57,52
2021-02-28 00:00:00,72,66
2021-01-31 00:00:00,66.5,60
2020-12-31 00:00:00,52.5,45
2020-11-30 00:00:00,52,46
2020-10-31 00:00:00,42,35
2020-09-30 00:00:00,37,30
2020-08-31 00:00:00,57,49
2020-07-31 00:00:00,73,66
2020-06-30 00:00:00,87.5,80
2020-05-31 00:00:00,83,78
2020-04-30 00:00:00,85,80
2020-03-31 00:00:00,62,55
2020-02-29 00:00:00,54.5,47
2020-01-31 00:00:00,47,38
2019-12-31 00:00:00,43,38
2019-11-30 00:00:00,64,58
2019-10-31 00:00:00,73,68
2019-09-30 00:00:00,77,72
2019-08-31 00:00:00,71.5,65
2019-07-31 00:00:00,61,52
2019-06-30 00:00:00,59.5,52
2019-05-31 00:00:00,56,47
2019-04-30 00:00:00,49.5,36
2019-03-31 00:00:00,54,43
2019-02-28 00:00:00,56.5,48
2019-01-31 00:00:00,67.5,60
2018-12-31 00:00:00,62.5,55
2018-11-30 00:00:00,70,65
2018-10-31 00:00:00,97.5,90
2018-09-30 00:00:00,115,110
2018-08-31 00:00:00,83,78
2018-07-31 00:00:00,73,68
2018-06-30 00:00:00,71,64
2018-05-31 00:00:00,77.5,72
2018-04-30 00:00:00,76,70
2018-03-31 00:00:00,75,70
2018-02-28 00:00:00,74,68
2018-01-31 00:00:00,67.5,62
2017-12-31 00:00:00,71.5,65
2017-11-30 00:00:00,73,68
2017-10-31 00:00:00,69,63
2017-09-30 00:00:00,57.5,50
2017-08-31 00:00:00,57,52
2017-07-31 00:00:00,67,62
2017-06-30 00:00:00,61.5,55
2017-05-31 00:00:00,61.5,55
2017-04-30 00:00:00,52.5,45
