Date,PX_LAST,PX_BID
2026-06-30 00:00:00,102290,102000
2026-05-31 00:00:00,104750,104600
2026-04-30 00:00:00,101375,101250
2026-03-31 00:00:00,95540,95300
2026-02-28 00:00:00,101970,101700
2026-01-31 00:00:00,104410,102780
2025-12-31 00:00:00,98790,98180
2025-11-30 00:00:00,87440,87300
2025-10-31 00:00:00,87540,87300
2025-09-30 00:00:00,83240,82980
2025-08-31 00:00:00,79400,79260
2025-07-31 00:00:00,78500,78360
2025-06-30 00:00:00,79990,79860
2025-05-31 00:00:00,78240,78140
2025-04-30 00:00:00,77930,77840
2025-03-31 00:00:00,79950,79850
2025-02-28 00:00:00,76810,76720
2025-01-31 00:00:00,75250,75080
2024-12-31 00:00:00,73730,73660
2024-11-30 00:00:00,73940,73820
2024-10-31 00:00:00,76540,76400
2024-09-30 00:00:00,78910,78740
2024-08-31 00:00:00,73950,73830
2024-07-31 00:00:00,73810,73540
2024-06-30 00:00:00,77620,77440
2024-05-31 00:00:00,81700,81300
2024-04-30 00:00:00,81700,81510
2024-03-31 00:00:00,72025,71900
2024-02-29 00:00:00,68710,68640
2024-01-31 00:00:00,69175,69100
2023-12-31 00:00:00,69225,69150
2023-11-30 00:00:00,68870,68770
2023-10-31 00:00:00,67680,67580
2023-09-30 00:00:00,67440,67320
2023-08-31 00:00:00,70075,70000
2023-07-31 00:00:00,69830,69680
2023-06-30 00:00:00,68000,67750
2023-05-31 00:00:00,65260,65120
2023-04-30 00:00:00,67420,67360
2023-03-31 00:00:00,69650,69600
2023-02-28 00:00:00,68550,68470
2023-01-31 00:00:00,69425,69300
2022-12-31 00:00:00,66175,66100
2022-11-30 00:00:00,65290,65220
2022-10-31 00:00:00,63810,63680
2022-09-30 00:00:00,62670,62620
2022-08-31 00:00:00,62770,62720
2022-07-31 00:00:00,60315,60180
2022-06-30 00:00:00,64230,64030
2022-05-31 00:00:00,72630,72560
2022-04-30 00:00:00,73930,73840
2022-03-31 00:00:00,73575,73500
2022-02-28 00:00:00,70900,70830
2022-01-31 00:00:00,70480,70380
2021-12-31 00:00:00,69910,69800
2021-11-30 00:00:00,70650,70400
2021-10-31 00:00:00,71575,71400
2021-09-30 00:00:00,68700,68540
2021-08-31 00:00:00,70315,70180
2021-07-31 00:00:00,71900,71720
2021-06-30 00:00:00,68380,68300
2021-05-31 00:00:00,73590,73480
2021-04-30 00:00:00,71680,71560
2021-03-31 00:00:00,65175,65050
2021-02-28 00:00:00,68410,68160
2021-01-31 00:00:00,58180,58080
2020-12-31 00:00:00,57810,57640
2020-11-30 00:00:00,57370,57120
2020-10-31 00:00:00,51530,51480
2020-09-30 00:00:00,51185,51050
2020-08-31 00:00:00,52020,51890
2020-07-31 00:00:00,51850,51720
2020-06-30 00:00:00,48930,48830
2020-05-31 00:00:00,44135,44100
2020-04-30 00:00:00,43030,42990
2020-03-31 00:00:00,39425,39360
2020-02-29 00:00:00,44630,44450
2020-01-31 00:00:00,47995,47920
2019-12-31 00:00:00,49035,48980
2019-11-30 00:00:00,47300,47270
2019-10-31 00:00:00,47200,47150
2019-09-30 00:00:00,47325,47200
2019-08-31 00:00:00,46720,46690
2019-07-31 00:00:00,46850,46800
2019-06-30 00:00:00,47055,46970
2019-05-31 00:00:00,46480,46400
2019-04-30 00:00:00,48905,48840
2019-03-31 00:00:00,49785,49560
2019-02-28 00:00:00,49915,49800
2019-01-31 00:00:00,47725,47610
2018-12-31 00:00:00,48115,48000
2018-11-30 00:00:00,49650,49540
2018-10-31 00:00:00,49085,48990
2018-09-30 00:00:00,50190,50140
2018-08-31 00:00:00,48605,48520
2018-07-31 00:00:00,49630,49580
2018-06-30 00:00:00,51075,51020
2018-05-31 00:00:00,51025,50970
2018-04-30 00:00:00,51585,51500
2018-03-31 00:00:00,49755,49700
2018-02-28 00:00:00,52315,52210
