Date,PX_LAST,PX_BID
2026-06-30 00:00:00,102200,
2026-05-31 00:00:00,104785,
2026-04-30 00:00:00,101360,
2026-03-31 00:00:00,95600,94970
2026-02-28 00:00:00,101980,101710
2026-01-31 00:00:00,104410,102700
2025-12-31 00:00:00,98820,98230
2025-11-30 00:00:00,87400,87190
2025-10-31 00:00:00,87570,87340
2025-09-30 00:00:00,83240,82960
2025-08-31 00:00:00,79390,79250
2025-07-31 00:00:00,78565,78460
2025-06-30 00:00:00,79990,79860
2025-05-31 00:00:00,78235,78130
2025-04-30 00:00:00,77950,77840
2025-03-31 00:00:00,79945,79860
2025-02-28 00:00:00,76830,76760
2025-01-31 00:00:00,75215,75090
2024-12-31 00:00:00,73790,73740
2024-11-30 00:00:00,73950,73820
2024-10-31 00:00:00,76555,76400
2024-09-30 00:00:00,78920,78760
2024-08-31 00:00:00,73925,73830
2024-07-31 00:00:00,73810,73530
2024-06-30 00:00:00,77615,77430
2024-05-31 00:00:00,81805,81510
2024-04-30 00:00:00,81710,81520
2024-03-31 00:00:00,72030,71910
2024-02-29 00:00:00,68710,68620
2024-01-31 00:00:00,69155,69100
2023-12-31 00:00:00,69230,69150
2023-11-30 00:00:00,68875,68770
2023-10-31 00:00:00,67700,67620
2023-09-30 00:00:00,67460,67350
2023-08-31 00:00:00,70085,70020
2023-07-31 00:00:00,69850,69700
2023-06-30 00:00:00,67990,67750
2023-05-31 00:00:00,65260,65120
2023-04-30 00:00:00,67435,67350
2023-03-31 00:00:00,69660,69610
2023-02-28 00:00:00,68575,68500
2023-01-31 00:00:00,69485,69400
2022-12-31 00:00:00,66185,66100
2022-11-30 00:00:00,65325,65280
2022-10-31 00:00:00,63795,63650
2022-09-30 00:00:00,62675,62610
2022-08-31 00:00:00,62770,62700
2022-07-31 00:00:00,60360,60220
2022-06-30 00:00:00,64285,64120
2022-05-31 00:00:00,72600,72550
2022-04-30 00:00:00,73940,73840
2022-03-31 00:00:00,73600,73520
2022-02-28 00:00:00,70850,70800
2022-01-31 00:00:00,70500,70400
2021-12-31 00:00:00,69920,69820
2021-11-30 00:00:00,70665,70430
2021-10-31 00:00:00,71575,71400
2021-09-30 00:00:00,68735,68550
2021-08-31 00:00:00,70320,70160
2021-07-31 00:00:00,71850,71750
2021-06-30 00:00:00,68375,68300
2021-05-31 00:00:00,73600,73470
2021-04-30 00:00:00,71690,71540
2021-03-31 00:00:00,65160,65020
2021-02-28 00:00:00,68395,68160
2021-01-31 00:00:00,58170,58070
2020-12-31 00:00:00,57910,57840
2020-11-30 00:00:00,57330,57000
2020-10-31 00:00:00,51530,51480
2020-09-30 00:00:00,51235,51150
2020-08-31 00:00:00,52005,51890
2020-07-31 00:00:00,51870,51760
2020-06-30 00:00:00,48910,48840
2020-05-31 00:00:00,44135,44100
2020-04-30 00:00:00,43020,42970
2020-03-31 00:00:00,39435,39370
2020-02-29 00:00:00,44680,44560
2020-01-31 00:00:00,48020,47980
2019-12-31 00:00:00,49020,48980
2019-11-30 00:00:00,47300,47270
2019-10-31 00:00:00,47200,47160
2019-09-30 00:00:00,47300,47210
2019-08-31 00:00:00,46725,46700
2019-07-31 00:00:00,46840,46800
2019-06-30 00:00:00,47050,46980
2019-05-31 00:00:00,46520,46480
2019-04-30 00:00:00,48910,48840
2019-03-31 00:00:00,49765,49580
2019-02-28 00:00:00,49975,49900
2019-01-31 00:00:00,47810,47720
2018-12-31 00:00:00,48170,48270
2018-11-30 00:00:00,49715,49650
2018-10-31 00:00:00,49120,49080
2018-09-30 00:00:00,50250,50150
2018-08-31 00:00:00,48630,48540
2018-07-31 00:00:00,49675,49630
2018-06-30 00:00:00,51180,51060
2018-05-31 00:00:00,51090,51030
2018-04-30 00:00:00,51620,51550
2018-03-31 00:00:00,49770,49720
2018-02-28 00:00:00,52400,52320
2018-01-31 00:00:00,52675,52600
2017-12-31 00:00:00,55260,55200
2017-11-30 00:00:00,52570,52420
2017-10-31 00:00:00,53705,53640
2017-09-30 00:00:00,51480,51420
