Date,PX_LAST,PX_BID
2018-11-30 00:00:00,-30,-80
2018-10-31 00:00:00,-30,-80
2018-09-30 00:00:00,-55,-105
2018-08-31 00:00:00,80,30
2018-07-31 00:00:00,-30,-80
2018-06-30 00:00:00,-210,-260
2018-05-31 00:00:00,-40,-90
2018-04-30 00:00:00,240,190
2018-03-31 00:00:00,-180,-230
2018-02-28 00:00:00,-190,-240
2018-01-31 00:00:00,-180,-230
2017-12-31 00:00:00,-250,-300
2017-11-30 00:00:00,-50,-100
2017-10-31 00:00:00,0,-50
2017-09-30 00:00:00,140,90
2017-08-31 00:00:00,-50,-100
2017-07-31 00:00:00,-120,-170
2017-06-30 00:00:00,-130,-180
2017-05-31 00:00:00,-90,-140
2017-04-30 00:00:00,-40,-90
2017-03-31 00:00:00,-115,-140
2017-02-28 00:00:00,-165,-190
2017-01-31 00:00:00,-145,-170
2016-12-31 00:00:00,-225,-250
2016-11-30 00:00:00,-105,-130
2016-10-31 00:00:00,105,80
2016-09-30 00:00:00,105,80
2016-08-31 00:00:00,45,20
2016-07-31 00:00:00,25,0
2016-06-30 00:00:00,5,-20
2016-05-31 00:00:00,55,30
2016-04-30 00:00:00,-125,-150
2016-03-31 00:00:00,-125,-150
2016-02-29 00:00:00,-175,-200
2016-01-31 00:00:00,-175,-200
2015-12-31 00:00:00,-125,-150
2015-11-30 00:00:00,-25,-50
2015-10-31 00:00:00,-25,-50
2015-09-30 00:00:00,5,-20
2015-08-31 00:00:00,-45,-70
2015-07-31 00:00:00,95,70
