Date,PX_LAST,PX_BID
2026-06-30 00:00:00,69.5,69.94
2026-06-29 00:00:00,70.75,70.38
2026-06-26 00:00:00,69.23,70.07
2026-06-25 00:00:00,71.92,71.35
2026-06-24 00:00:00,70.34,69.75
2026-06-23 00:00:00,73.21,73
2026-06-22 00:00:00,74.82,
2026-06-18 00:00:00,76.6,74.5
2026-06-17 00:00:00,76.79,75.53
2026-06-16 00:00:00,76.05,76.35
2026-06-15 00:00:00,80.75,81.1
2026-06-12 00:00:00,84.88,84
2026-06-11 00:00:00,87.71,85.88
2026-06-10 00:00:00,90.03,91.85
2026-06-09 00:00:00,88.2,88.15
2026-06-08 00:00:00,91.3,91.25
2026-06-05 00:00:00,90.54,90.2
2026-06-04 00:00:00,93.04,92.82
2026-06-03 00:00:00,96.02,96.05
2026-06-02 00:00:00,93.76,93.25
2026-06-01 00:00:00,92.16,92.37
2026-05-29 00:00:00,87.36,87.5
2026-05-28 00:00:00,88.9,88.5
2026-05-27 00:00:00,88.68,89.25
2026-05-26 00:00:00,93.89,93.42
2026-05-22 00:00:00,96.6,96.9
2026-05-21 00:00:00,96.35,97.78
2026-05-20 00:00:00,98.26,98.75
2026-05-19 00:00:00,107.77,
2026-05-18 00:00:00,108.66,105.42
2026-05-15 00:00:00,105.42,105
2026-05-14 00:00:00,101.17,102
2026-05-13 00:00:00,101.02,100.69
2026-05-12 00:00:00,102.18,101.99
2026-05-11 00:00:00,98.07,98.21
2026-05-08 00:00:00,95.42,94.6
2026-05-07 00:00:00,94.81,97.5
2026-05-06 00:00:00,95.08,96.12
2026-05-05 00:00:00,102.27,102.32
2026-05-04 00:00:00,106.42,104.6
2026-05-01 00:00:00,101.94,102.03
2026-04-30 00:00:00,105.07,105.3
2026-04-29 00:00:00,106.88,108.41
2026-04-28 00:00:00,99.93,99.5
2026-04-27 00:00:00,96.37,96.61
2026-04-24 00:00:00,94.4,94.65
2026-04-23 00:00:00,95.85,96.9
2026-04-22 00:00:00,92.96,92.42
2026-04-21 00:00:00,92.13,
2026-04-20 00:00:00,89.61,80.2
2026-04-17 00:00:00,83.85,84.25
2026-04-16 00:00:00,94.69,93
2026-04-15 00:00:00,91.29,91.32
2026-04-14 00:00:00,91.28,91.95
2026-04-13 00:00:00,99.08,97.61
2026-04-10 00:00:00,96.57,95.55
2026-04-09 00:00:00,97.87,97.86
2026-04-08 00:00:00,94.41,96.03
2026-04-07 00:00:00,112.95,110
2026-04-06 00:00:00,112.41,112.5
2026-04-03 00:00:00,111.54,112
2026-04-02 00:00:00,111.54,112
2026-04-01 00:00:00,100.12,98.74
2026-03-31 00:00:00,101.38,101.4
2026-03-30 00:00:00,102.88,104.92
2026-03-27 00:00:00,99.64,101.1
2026-03-26 00:00:00,94.48,93.7
2026-03-25 00:00:00,90.32,91.25
2026-03-24 00:00:00,92.35,88.29
2026-03-23 00:00:00,88.13,88.85
2026-03-20 00:00:00,98.32,
2026-03-19 00:00:00,96.14,90
2026-03-18 00:00:00,96.32,98.88
2026-03-17 00:00:00,96.21,95.96
2026-03-16 00:00:00,93.5,93.6
2026-03-13 00:00:00,98.71,99.15
2026-03-12 00:00:00,95.73,96.32
2026-03-11 00:00:00,87.25,88.02
2026-03-10 00:00:00,83.45,86.3
2026-03-09 00:00:00,94.77,84.9
2026-03-06 00:00:00,90.9,90.6
2026-03-05 00:00:00,81.01,78.8
2026-03-04 00:00:00,74.66,76.03
2026-03-03 00:00:00,74.56,74.66
2026-03-02 00:00:00,71.23,70.95
2026-02-27 00:00:00,67.02,67.15
2026-02-26 00:00:00,65.21,65.39
2026-02-25 00:00:00,65.42,65.53
2026-02-24 00:00:00,65.63,66.08
2026-02-23 00:00:00,66.31,66.27
2026-02-20 00:00:00,66.39,
2026-02-19 00:00:00,66.43,64.1
2026-02-18 00:00:00,65.19,64.88
2026-02-17 00:00:00,62.33,62.27
2026-02-13 00:00:00,62.89,62.76
2026-02-12 00:00:00,62.84,62.89
2026-02-11 00:00:00,64.63,64.88
