Date,PX_LAST
2026-05-31 00:00:00,2360
2026-04-30 00:00:00,2350
2026-03-31 00:00:00,2630
2026-02-28 00:00:00,2310
2026-01-31 00:00:00,2620
2025-12-31 00:00:00,2700
2025-11-30 00:00:00,2530
2025-10-31 00:00:00,2450
2025-09-30 00:00:00,2590
2025-08-31 00:00:00,2760
2025-07-31 00:00:00,2560
2025-06-30 00:00:00,2350
2025-05-31 00:00:00,2400
2025-04-30 00:00:00,2920
2025-03-31 00:00:00,2390
2025-02-28 00:00:00,2180
2025-01-31 00:00:00,2530
2024-12-31 00:00:00,2520
2024-11-30 00:00:00,2240
2024-10-31 00:00:00,2310
2024-09-30 00:00:00,2440
2024-08-31 00:00:00,2570
2024-07-31 00:00:00,2170
2024-06-30 00:00:00,2310
2024-05-31 00:00:00,2260
2024-04-30 00:00:00,2350
2024-03-31 00:00:00,2330
2024-02-29 00:00:00,2200
2024-01-31 00:00:00,2460
2023-12-31 00:00:00,2480
2023-11-30 00:00:00,2440
2023-10-31 00:00:00,2310
2023-09-30 00:00:00,2240
2023-08-31 00:00:00,2700
2023-07-31 00:00:00,1970
2023-06-30 00:00:00,2130
2023-05-31 00:00:00,2560
2023-04-30 00:00:00,2100
2023-03-31 00:00:00,2020
2023-02-28 00:00:00,2280
2023-01-31 00:00:00,2360
2022-12-31 00:00:00,2100
2022-11-30 00:00:00,2410
2022-10-31 00:00:00,1870
2022-09-30 00:00:00,2270
2022-08-31 00:00:00,2270
2022-07-31 00:00:00,1900
2022-06-30 00:00:00,2060
2022-05-31 00:00:00,2190
2022-04-30 00:00:00,1880
2022-03-31 00:00:00,2180
2022-02-28 00:00:00,2080
2022-01-31 00:00:00,2090
2021-12-31 00:00:00,2060
2021-11-30 00:00:00,2190
2021-10-31 00:00:00,1800
2021-09-30 00:00:00,2110
2021-08-31 00:00:00,1890
2021-07-31 00:00:00,1890
2021-06-30 00:00:00,1670
2021-05-31 00:00:00,1940
2021-04-30 00:00:00,1920
2021-03-31 00:00:00,2170
2021-02-28 00:00:00,1800
