Date,PX_LAST,PX_BID
2026-06-30 00:00:00,72.92,72.92
2026-06-29 00:00:00,73.15,72.67
2026-06-26 00:00:00,71.99,73.02
2026-06-25 00:00:00,75.26,74.79
2026-06-24 00:00:00,73.74,73.1
2026-06-23 00:00:00,77.08,76.98
2026-06-22 00:00:00,77.9,78.14
2026-06-19 00:00:00,80.57,80.37
2026-06-18 00:00:00,79.85,79.2
2026-06-17 00:00:00,79.55,78.57
2026-06-16 00:00:00,78.96,79.32
2026-06-15 00:00:00,83.17,83.37
2026-06-12 00:00:00,87.33,86.76
2026-06-11 00:00:00,90.38,89.12
2026-06-10 00:00:00,93.1,94.93
2026-06-09 00:00:00,91.45,92.31
2026-06-08 00:00:00,94.25,94.08
2026-06-05 00:00:00,93.09,92.78
2026-06-04 00:00:00,95.03,95.24
2026-06-03 00:00:00,97.81,97.37
2026-06-02 00:00:00,96,95.87
2026-06-01 00:00:00,94.98,95.33
2026-05-29 00:00:00,92.05,91.99
2026-05-28 00:00:00,93.71,93.41
2026-05-27 00:00:00,94.29,94.85
2026-05-26 00:00:00,99.58,99.29
2026-05-25 00:00:00,96.14,96.3
2026-05-22 00:00:00,103.54,104.04
2026-05-21 00:00:00,102.58,104.87
2026-05-20 00:00:00,105.02,105.16
2026-05-19 00:00:00,111.28,110.93
2026-05-18 00:00:00,112.1,109.69
2026-05-15 00:00:00,109.26,109.22
2026-05-14 00:00:00,105.72,106.53
2026-05-13 00:00:00,105.63,105.72
2026-05-12 00:00:00,107.77,107.59
2026-05-11 00:00:00,104.21,104.52
2026-05-08 00:00:00,101.29,100.25
2026-05-07 00:00:00,100.06,103.17
2026-05-06 00:00:00,101.27,101.87
2026-05-05 00:00:00,109.87,110.31
2026-05-04 00:00:00,114.44,113.87
2026-05-01 00:00:00,108.17,109.15
2026-04-30 00:00:00,114.01,114.08
2026-04-29 00:00:00,118.03,121.28
2026-04-28 00:00:00,111.26,111.17
2026-04-27 00:00:00,108.23,108.31
2026-04-24 00:00:00,105.33,105.57
2026-04-23 00:00:00,105.07,106.01
2026-04-22 00:00:00,101.91,101.51
2026-04-21 00:00:00,98.48,98.99
2026-04-20 00:00:00,95.48,93.8
2026-04-17 00:00:00,90.38,92.42
2026-04-16 00:00:00,99.39,98.21
2026-04-15 00:00:00,94.93,94.87
2026-04-14 00:00:00,94.79,95.25
2026-04-13 00:00:00,99.36,97.96
2026-04-10 00:00:00,95.2,94.26
2026-04-09 00:00:00,95.92,96.4
2026-04-08 00:00:00,94.75,96.59
2026-04-07 00:00:00,109.27,103.4
2026-04-06 00:00:00,109.77,109.57
2026-04-02 00:00:00,109.03,109.24
2026-04-01 00:00:00,101.16,100.12
2026-03-31 00:00:00,118.35,118.27
2026-03-30 00:00:00,112.78,114.49
2026-03-27 00:00:00,112.57,114
2026-03-26 00:00:00,108.01,105.8
2026-03-25 00:00:00,102.22,103.09
