Date,PX_LAST,PX_BID
2026-06-30 00:00:00,666337,
2026-06-29 00:00:00,664030,
2026-06-26 00:00:00,662802,
2026-06-25 00:00:00,660768,
2026-06-24 00:00:00,658924,
2026-06-23 00:00:00,655834,
2026-06-22 00:00:00,654038,
2026-06-18 00:00:00,652197,
2026-06-17 00:00:00,650414,
2026-06-16 00:00:00,650631,
2026-06-15 00:00:00,650598,
2026-06-12 00:00:00,650412,
2026-06-11 00:00:00,649770,
2026-06-10 00:00:00,648843,
2026-06-09 00:00:00,647761,
2026-06-08 00:00:00,646267,
2026-06-05 00:00:00,644546,
2026-06-04 00:00:00,642709,
2026-06-03 00:00:00,642164,
2026-06-02 00:00:00,642045,
2026-06-01 00:00:00,642098,
2026-05-29 00:00:00,640181,
2026-05-28 00:00:00,638224,
2026-05-27 00:00:00,637409,
2026-05-26 00:00:00,636451,
2026-05-22 00:00:00,633977,
2026-05-21 00:00:00,633680,
2026-05-20 00:00:00,633039,
2026-05-19 00:00:00,632474,
2026-05-18 00:00:00,629676,
2026-05-15 00:00:00,627195,
2026-05-14 00:00:00,625346,
2026-05-13 00:00:00,624028,
2026-05-12 00:00:00,623005,
2026-05-11 00:00:00,621778,
2026-05-08 00:00:00,621029,
2026-05-07 00:00:00,619866,
2026-05-06 00:00:00,618470,
2026-05-05 00:00:00,616825,
2026-05-04 00:00:00,615852,
2026-05-01 00:00:00,615159,
2026-04-30 00:00:00,611485,
2026-04-29 00:00:00,608735,
2026-04-28 00:00:00,607344,
2026-04-27 00:00:00,607936,
2026-04-24 00:00:00,606336,
2026-04-23 00:00:00,605283,
2026-04-22 00:00:00,603745,
2026-04-21 00:00:00,600635,
2026-04-20 00:00:00,595509,
2026-04-17 00:00:00,594503,
2026-04-16 00:00:00,592634,
2026-04-15 00:00:00,590435,
2026-04-14 00:00:00,586563,
2026-04-13 00:00:00,586465,
2026-04-10 00:00:00,586507,
2026-04-09 00:00:00,586510,
2026-04-08 00:00:00,586476,
2026-04-07 00:00:00,587130,
2026-04-06 00:00:00,587142,
2026-04-02 00:00:00,587780,
2026-04-01 00:00:00,588238,
2026-03-31 00:00:00,587166,
2026-03-30 00:00:00,588121,
2026-03-27 00:00:00,588919,
2026-03-26 00:00:00,589715,
2026-03-25 00:00:00,588680,
2026-03-24 00:00:00,588219,
2026-03-23 00:00:00,587468,
2026-03-20 00:00:00,588704,
2026-03-19 00:00:00,588804,
2026-03-18 00:00:00,588677,
2026-03-17 00:00:00,588364,
2026-03-16 00:00:00,589762,
2026-03-13 00:00:00,591645,
2026-03-12 00:00:00,592243,
2026-03-11 00:00:00,592489,
2026-03-10 00:00:00,594405,
2026-03-09 00:00:00,596438,
2026-03-06 00:00:00,597938,
2026-03-05 00:00:00,599662,
2026-03-04 00:00:00,600948,
2026-03-03 00:00:00,601338,
2026-03-02 00:00:00,601716,
2026-02-27 00:00:00,601541,
2026-02-26 00:00:00,601048,
2026-02-25 00:00:00,601037,
2026-02-24 00:00:00,601565,
2026-02-23 00:00:00,600436,
2026-02-20 00:00:00,598702,
2026-02-19 00:00:00,597210,
2026-02-18 00:00:00,595518,
2026-02-17 00:00:00,593178,
2026-02-13 00:00:00,591462,
2026-02-12 00:00:00,590525,
2026-02-11 00:00:00,592536,
2026-02-10 00:00:00,591459,
2026-02-09 00:00:00,590211,
2026-02-06 00:00:00,589081,
2026-02-05 00:00:00,586429,
2026-02-04 00:00:00,584184,
2026-02-03 00:00:00,582292,
2026-02-02 00:00:00,579774,
2026-01-30 00:00:00,577724,
2026-01-29 00:00:00,575133,
2026-01-28 00:00:00,572277,
2026-01-27 00:00:00,568865,
2026-01-26 00:00:00,565645,
2026-01-23 00:00:00,562605,
2026-01-22 00:00:00,559348,
2026-01-21 00:00:00,554904,
2026-01-20 00:00:00,547629,
2026-01-16 00:00:00,542914,
2026-01-15 00:00:00,538717,
2026-01-14 00:00:00,533587,
2026-01-13 00:00:00,529497,
2026-01-12 00:00:00,520441,
2026-01-09 00:00:00,517999,
2026-01-08 00:00:00,514957,
2026-01-07 00:00:00,512471,
2026-01-06 00:00:00,508881,
2026-01-05 00:00:00,503373,
2026-01-02 00:00:00,499841,
2025-12-31 00:00:00,498061,
2025-12-30 00:00:00,490722,
2025-12-29 00:00:00,488322,
2025-12-26 00:00:00,482942,
2025-12-24 00:00:00,479540,
2025-12-23 00:00:00,471162,
2025-12-22 00:00:00,466886,
2025-12-19 00:00:00,462204,
2025-12-18 00:00:00,459564,
2025-12-17 00:00:00,456986,
2025-12-16 00:00:00,454638,
2025-12-15 00:00:00,452817,
2025-12-12 00:00:00,450618,
2025-12-11 00:00:00,447298,
2025-12-10 00:00:00,445166,
2025-12-09 00:00:00,443047,
2025-12-08 00:00:00,439510,
2025-12-05 00:00:00,436853,
2025-12-04 00:00:00,435831,
2025-12-03 00:00:00,434283,
2025-12-02 00:00:00,431938,
2025-12-01 00:00:00,429346,
2025-11-28 00:00:00,418727,
2025-11-26 00:00:00,417666,
2025-11-25 00:00:00,415880,
2025-11-24 00:00:00,409385,
2025-11-21 00:00:00,402876,
2025-11-20 00:00:00,398513,
2025-11-19 00:00:00,391678,
2025-11-18 00:00:00,389288,
2025-11-17 00:00:00,384517,
2025-11-14 00:00:00,381296,
2025-11-13 00:00:00,379439,
2025-11-12 00:00:00,378303,
2025-11-11 00:00:00,376631,
2025-11-10 00:00:00,372304,
2025-11-07 00:00:00,369369,
2025-11-06 00:00:00,366419,
2025-11-05 00:00:00,363368,
2025-11-04 00:00:00,360491,
2025-11-03 00:00:00,358486,
2025-10-31 00:00:00,355660,
2025-10-30 00:00:00,348662,
2025-10-29 00:00:00,346662,
2025-10-28 00:00:00,348367,
2025-10-27 00:00:00,347741,
2025-10-24 00:00:00,347961,
2025-10-23 00:00:00,347498,
2025-10-22 00:00:00,346499,
2025-10-21 00:00:00,345924,
2025-10-20 00:00:00,346616,
2025-10-17 00:00:00,345581,
2025-10-16 00:00:00,344652,
2025-10-15 00:00:00,343235,
2025-10-14 00:00:00,342280,
2025-10-13 00:00:00,340875,
2025-10-10 00:00:00,339525,
2025-10-09 00:00:00,338159,
2025-10-08 00:00:00,335521,
2025-10-07 00:00:00,333574,
2025-10-06 00:00:00,329850,
2025-10-03 00:00:00,327073,
2025-10-02 00:00:00,324949,
2025-10-01 00:00:00,323960,
2025-09-30 00:00:00,324087,
2025-09-29 00:00:00,323207,
2025-09-26 00:00:00,322284,
2025-09-25 00:00:00,321056,
2025-09-24 00:00:00,318229,
2025-09-23 00:00:00,318386,
2025-09-22 00:00:00,318285,
2025-09-19 00:00:00,316774,
2025-09-18 00:00:00,315206,
2025-09-17 00:00:00,312842,
2025-09-16 00:00:00,312868,
2025-09-15 00:00:00,311847,
2025-09-12 00:00:00,310487,
2025-09-11 00:00:00,309834,
2025-09-10 00:00:00,308706,
2025-09-09 00:00:00,307696,
2025-09-08 00:00:00,305779,
2025-09-05 00:00:00,305345,
2025-09-04 00:00:00,302744,
2025-09-03 00:00:00,284400,
2025-09-02 00:00:00,281075,
2025-08-29 00:00:00,277843,
2025-08-28 00:00:00,275226,
2025-08-27 00:00:00,273767,
2025-08-26 00:00:00,272105,
2025-08-25 00:00:00,272500,
2025-08-22 00:00:00,271482,
2025-08-21 00:00:00,271696,
2025-08-20 00:00:00,270536,
2025-08-19 00:00:00,269943,
2025-08-18 00:00:00,269070,
2025-08-15 00:00:00,267195,
2025-08-14 00:00:00,266804,
2025-08-13 00:00:00,266795,
2025-08-12 00:00:00,265889,
2025-08-11 00:00:00,265196,
2025-08-08 00:00:00,264140,
2025-08-07 00:00:00,263296,
2025-08-06 00:00:00,263104,
2025-08-05 00:00:00,262190,
2025-08-04 00:00:00,261180,
2025-08-01 00:00:00,259681,
2025-07-31 00:00:00,257915,
2025-07-30 00:00:00,255948,
2025-07-29 00:00:00,253431,
2025-07-28 00:00:00,250819,
2025-07-25 00:00:00,248635,
2025-07-24 00:00:00,247859,
