Date,PX_LAST
2020-08-31 00:00:00,6.56
2020-07-31 00:00:00,6.56
2020-06-30 00:00:00,6.56
2020-05-31 00:00:00,6.63
2020-04-30 00:00:00,6.69
2020-03-31 00:00:00,7.19
2020-02-29 00:00:00,7.25
2020-01-31 00:00:00,7.25
2019-12-31 00:00:00,7.25
2019-11-30 00:00:00,7.25
2019-10-31 00:00:00,7.5
2019-09-30 00:00:00,7.25
2019-08-31 00:00:00,7.5
2019-07-31 00:00:00,7.5
2019-06-30 00:00:00,7.5
2019-05-31 00:00:00,7.5
2019-04-30 00:00:00,8.5
2019-03-31 00:00:00,8
2019-02-28 00:00:00,8.13
2019-01-31 00:00:00,7.5
2018-12-31 00:00:00,7.5
2018-11-30 00:00:00,7.5
2018-10-31 00:00:00,7.25
2018-09-30 00:00:00,7.5
2018-08-31 00:00:00,7.4
2018-07-31 00:00:00,6.9
2018-06-30 00:00:00,7
2018-05-31 00:00:00,6.25
2018-04-30 00:00:00,6.25
2018-03-31 00:00:00,6.25
2018-02-28 00:00:00,6
2018-01-31 00:00:00,5.75
2017-12-31 00:00:00,5.75
2017-11-30 00:00:00,5.5
2017-10-31 00:00:00,5.4
2017-09-30 00:00:00,5.5
2017-08-31 00:00:00,5
2017-02-28 00:00:00,5.25
2016-10-31 00:00:00,5.5
2016-09-30 00:00:00,5.75
2016-07-31 00:00:00,6.25
2016-06-30 00:00:00,5.88
2016-05-31 00:00:00,6.25
2016-04-30 00:00:00,6.5
2016-03-31 00:00:00,6
2016-02-29 00:00:00,5.75
2016-01-31 00:00:00,5.75
2015-12-31 00:00:00,5.5
2015-10-31 00:00:00,6
2015-09-30 00:00:00,6
2015-08-31 00:00:00,6
2015-07-31 00:00:00,6
2015-06-30 00:00:00,5.88
2015-05-31 00:00:00,6
2015-04-30 00:00:00,6.25
2015-02-28 00:00:00,6.75
2014-12-31 00:00:00,6.13
