Date,PX_LAST
2026-06-30 00:00:00,-3775
2026-05-29 00:00:00,-7974
2026-04-30 00:00:00,-6234
2026-03-31 00:00:00,5451
2026-02-27 00:00:00,3475
2026-01-30 00:00:00,-3455
2025-12-31 00:00:00,-1934
2025-11-28 00:00:00,574
2025-10-31 00:00:00,5202
2025-09-30 00:00:00,1792
2025-08-29 00:00:00,2415
2025-07-31 00:00:00,7698
2025-06-30 00:00:00,3845
2025-05-30 00:00:00,-4304
2025-04-30 00:00:00,-2696
2025-03-31 00:00:00,6165
2025-02-28 00:00:00,3614
2025-01-31 00:00:00,8664
2024-12-31 00:00:00,-1178
2024-11-29 00:00:00,-5073
2024-10-31 00:00:00,-515
2024-09-30 00:00:00,3889
2024-08-30 00:00:00,-6873
2024-07-31 00:00:00,-3436
2024-06-28 00:00:00,-12157
2024-05-31 00:00:00,1233
2024-04-30 00:00:00,7265
2024-03-29 00:00:00,3210
2024-02-29 00:00:00,4199
2024-01-31 00:00:00,1234
2023-12-29 00:00:00,-5503
2023-11-30 00:00:00,1610
2023-10-31 00:00:00,773
2023-09-29 00:00:00,-2224
2023-08-31 00:00:00,-10584
2023-07-31 00:00:00,-17049
2023-06-30 00:00:00,-1508
2023-05-31 00:00:00,4489
2023-04-28 00:00:00,-1281
2023-03-31 00:00:00,-3739
2023-02-28 00:00:00,1166
2023-01-31 00:00:00,4140
2022-12-30 00:00:00,1694
2022-11-30 00:00:00,-12581
2022-10-31 00:00:00,-3115
2022-09-30 00:00:00,-1356
2022-08-31 00:00:00,-3326
2022-07-29 00:00:00,4467
2022-06-30 00:00:00,-2762
2022-05-31 00:00:00,-5068
2022-04-29 00:00:00,1303
2022-03-31 00:00:00,-3449
2022-02-28 00:00:00,-2597
2022-01-31 00:00:00,-1047
2021-12-31 00:00:00,-2144
2021-11-30 00:00:00,-909
2021-10-29 00:00:00,3290
2021-09-30 00:00:00,4578
2021-08-31 00:00:00,-7169
2021-07-30 00:00:00,3627
2021-06-30 00:00:00,-6718
2021-05-31 00:00:00,-5079
2021-04-30 00:00:00,-7990
2021-03-31 00:00:00,-876
2021-02-26 00:00:00,21563
2021-01-29 00:00:00,-994
2020-12-31 00:00:00,-6065
2020-11-30 00:00:00,-679
2020-10-30 00:00:00,-7998
2020-09-30 00:00:00,-1980
2020-08-31 00:00:00,-9362
2020-07-31 00:00:00,-7373
2020-06-30 00:00:00,-7195
2020-05-29 00:00:00,-2077
2020-04-30 00:00:00,8991
2020-03-31 00:00:00,13833
2020-02-28 00:00:00,784
2020-01-31 00:00:00,3355
2019-12-31 00:00:00,-11463
2019-11-29 00:00:00,-4856
2019-10-31 00:00:00,5702
2019-09-30 00:00:00,3104
2019-08-30 00:00:00,-4771
2019-07-31 00:00:00,-8496
2019-06-28 00:00:00,-1085
2019-05-31 00:00:00,6771
2019-04-30 00:00:00,9934
2019-03-29 00:00:00,7238
2019-02-28 00:00:00,-8647
2019-01-31 00:00:00,919
2018-12-31 00:00:00,7
2018-11-30 00:00:00,-7323
2018-10-31 00:00:00,3217
2018-09-28 00:00:00,7975
2018-08-31 00:00:00,-4302
2018-07-31 00:00:00,3803
2018-06-29 00:00:00,1245
2018-05-31 00:00:00,-3620
2018-04-30 00:00:00,6218
2018-03-30 00:00:00,-4617
2018-02-28 00:00:00,3019
2018-01-31 00:00:00,6776
2017-12-29 00:00:00,-7419
2017-11-30 00:00:00,-3429
2017-10-31 00:00:00,-2435
2017-09-29 00:00:00,-6023
2017-08-31 00:00:00,-5392
2017-07-31 00:00:00,-1527
2017-06-30 00:00:00,-6299
2017-05-31 00:00:00,-6428
2017-04-28 00:00:00,-930
2017-03-31 00:00:00,1566
2017-02-28 00:00:00,1501
2017-01-31 00:00:00,6466
2016-12-30 00:00:00,-7051
2016-11-30 00:00:00,-884
2016-10-31 00:00:00,14420
2016-09-30 00:00:00,-2976
2016-08-31 00:00:00,2276
2016-07-29 00:00:00,1413
2016-06-30 00:00:00,-4053
2016-05-31 00:00:00,-1366
2016-04-29 00:00:00,2784
2016-03-31 00:00:00,2299
2016-02-29 00:00:00,10374
2016-01-29 00:00:00,7792
2015-12-31 00:00:00,2629
2015-11-30 00:00:00,1177
2015-10-30 00:00:00,2847
2015-09-30 00:00:00,3955
2015-08-31 00:00:00,4667
2015-07-31 00:00:00,-4407
2015-06-30 00:00:00,2386
2015-05-29 00:00:00,-1948
2015-04-30 00:00:00,1910
2015-03-31 00:00:00,4766
2015-02-27 00:00:00,10303
2015-01-30 00:00:00,6333
2014-12-31 00:00:00,-1754
2014-11-28 00:00:00,-3689
2014-10-31 00:00:00,460
2014-09-30 00:00:00,-1363
2014-08-29 00:00:00,-905
2014-07-31 00:00:00,-3697
2014-06-30 00:00:00,-3155
2014-05-30 00:00:00,-3431
2014-04-30 00:00:00,1698
2014-03-31 00:00:00,-2379
2014-02-28 00:00:00,1429
2014-01-31 00:00:00,440
2013-12-31 00:00:00,-7007
2013-11-29 00:00:00,-5585
2013-10-31 00:00:00,4087
2013-09-30 00:00:00,5472
2013-08-30 00:00:00,-1836
2013-07-31 00:00:00,431
2013-06-28 00:00:00,-10347
2013-05-31 00:00:00,-6267
2013-04-30 00:00:00,6696
2013-03-29 00:00:00,2707
2013-02-28 00:00:00,1130
2013-01-31 00:00:00,5947
2012-12-31 00:00:00,-11120
2012-11-30 00:00:00,-2357
2012-10-31 00:00:00,-2045
2012-09-28 00:00:00,-482
2012-08-31 00:00:00,-7426
2012-07-31 00:00:00,-6522
2012-06-29 00:00:00,-4270
2012-05-31 00:00:00,2213
2012-04-30 00:00:00,2840
2012-03-30 00:00:00,9009
2012-02-29 00:00:00,4160
2012-01-31 00:00:00,4175
2011-12-30 00:00:00,2209
2011-11-30 00:00:00,3932
2011-10-31 00:00:00,1826
2011-09-30 00:00:00,-4679
2011-08-31 00:00:00,5281
2011-07-29 00:00:00,950
2011-06-30 00:00:00,-4375
2011-05-31 00:00:00,2878
