Date,PX_LAST,PX_BID
2026-06-30 00:00:00,1.1422,1.1421
2026-05-29 00:00:00,1.1659,1.1653
2026-04-30 00:00:00,1.1731,1.1729
2026-03-31 00:00:00,1.1553,1.1552
2026-02-27 00:00:00,1.1812,1.1802
2026-01-30 00:00:00,1.1851,1.1847
2025-12-31 00:00:00,1.1746,1.1744
2025-11-28 00:00:00,1.1598,1.1591
2025-10-31 00:00:00,1.1537,1.1533
2025-09-30 00:00:00,1.1734,1.1733
2025-08-29 00:00:00,1.1686,1.1681
2025-07-31 00:00:00,1.1415,1.1414
2025-06-30 00:00:00,1.1787,1.1786
2025-05-30 00:00:00,1.1347,1.1341
2025-04-30 00:00:00,1.1328,1.1326
2025-03-31 00:00:00,1.0816,1.0813
2025-02-28 00:00:00,1.0375,1.0371
2025-01-31 00:00:00,1.0362,1.0356
2024-12-31 00:00:00,1.0354,1.0352
2024-11-29 00:00:00,1.0577,1.0572
2024-10-31 00:00:00,1.0884,1.0883
2024-09-30 00:00:00,1.1135,1.1134
2024-08-30 00:00:00,1.1048,1.1044
2024-07-31 00:00:00,1.0826,1.0825
2024-06-28 00:00:00,1.0713,1.071
2024-05-31 00:00:00,1.0848,1.0843
2024-04-30 00:00:00,1.0666,1.0665
2024-03-29 00:00:00,1.079,1.0781
2024-02-29 00:00:00,1.0805,1.0804
2024-01-31 00:00:00,1.0818,1.0817
2023-12-29 00:00:00,1.1039,1.1034
2023-11-30 00:00:00,1.0888,1.0886
2023-10-31 00:00:00,1.0575,1.0573
2023-09-29 00:00:00,1.0573,1.0566
2023-08-31 00:00:00,1.0843,1.0842
2023-07-31 00:00:00,1.0997,1.0996
2023-06-30 00:00:00,1.0909,1.0902
2023-05-31 00:00:00,1.0689,1.0688
2023-04-28 00:00:00,1.1019,1.101
2023-03-31 00:00:00,1.0839,1.0832
2023-02-28 00:00:00,1.0576,1.0572
2023-01-31 00:00:00,1.0863,1.086
2022-12-30 00:00:00,1.0705,1.0695
2022-11-30 00:00:00,1.0406,1.0404
2022-10-31 00:00:00,0.9882,0.9877
2022-09-30 00:00:00,0.9802,0.9793
2022-08-31 00:00:00,1.0054,1.0051
2022-07-29 00:00:00,1.022,1.021
2022-06-30 00:00:00,1.0484,1.0482
2022-05-31 00:00:00,1.0734,1.073
2022-04-29 00:00:00,1.0545,1.0532
2022-03-31 00:00:00,1.1067,1.1065
2022-02-28 00:00:00,1.1219,1.1217
2022-01-31 00:00:00,1.1235,1.1232
2021-12-31 00:00:00,1.137,1.1346
2021-11-30 00:00:00,1.1338,1.1334
2021-10-29 00:00:00,1.1558,1.1552
2021-09-30 00:00:00,1.158,1.1575
2021-08-31 00:00:00,1.1809,1.1808
2021-07-30 00:00:00,1.187,1.1865
2021-06-30 00:00:00,1.1858,1.1855
2021-05-31 00:00:00,1.2227,1.2224
2021-04-30 00:00:00,1.202,1.2016
2021-03-31 00:00:00,1.173,1.173
2021-02-26 00:00:00,1.2075,1.2071
2021-01-29 00:00:00,1.2136,1.213
