Date,PX_LAST
2014-12-31 00:00:00,567
2014-11-30 00:00:00,611
2014-10-31 00:00:00,568
2014-09-30 00:00:00,570
2014-08-31 00:00:00,594
2014-07-31 00:00:00,559
2014-06-30 00:00:00,536
2014-05-31 00:00:00,550
2014-04-30 00:00:00,581
2014-03-31 00:00:00,447
2014-02-28 00:00:00,416
2014-01-31 00:00:00,439
2013-12-31 00:00:00,444
2013-11-30 00:00:00,488
2013-10-31 00:00:00,466
2013-09-30 00:00:00,437
2013-08-31 00:00:00,465
2013-07-31 00:00:00,443
2013-06-30 00:00:00,433
2013-05-31 00:00:00,451
2013-04-30 00:00:00,464
2013-03-31 00:00:00,446
2013-02-28 00:00:00,469
2013-01-31 00:00:00,487
2012-12-31 00:00:00,446
2012-11-30 00:00:00,470
2012-10-31 00:00:00,463
2012-09-30 00:00:00,443
2012-08-31 00:00:00,457
2012-07-31 00:00:00,447
2012-06-30 00:00:00,435
2012-05-31 00:00:00,458
2012-04-30 00:00:00,460
2012-03-31 00:00:00,424
2012-02-29 00:00:00,452
2012-01-31 00:00:00,465
2011-12-31 00:00:00,440
2011-11-30 00:00:00,475
2011-10-31 00:00:00,460
2011-09-30 00:00:00,442
2011-08-31 00:00:00,458
2011-07-31 00:00:00,441
2011-06-30 00:00:00,434
2011-05-31 00:00:00,444
2011-04-30 00:00:00,421
2011-03-31 00:00:00,396
2011-02-28 00:00:00,427
2011-01-31 00:00:00,439
2010-12-31 00:00:00,424
2010-11-30 00:00:00,374
2010-10-31 00:00:00,391
2010-09-30 00:00:00,375
2010-08-31 00:00:00,386
2010-07-31 00:00:00,377
2010-06-30 00:00:00,358
2010-05-31 00:00:00,381
2010-04-30 00:00:00,356
2010-03-31 00:00:00,326
2010-02-28 00:00:00,346
2010-01-31 00:00:00,344
2009-12-31 00:00:00,336
2009-11-30 00:00:00,324
2009-10-31 00:00:00,332
2009-09-30 00:00:00,332
2009-08-31 00:00:00,319
2009-07-31 00:00:00,321
2009-06-30 00:00:00,333
2009-05-31 00:00:00,385
2009-04-30 00:00:00,367
2009-03-31 00:00:00,380
2009-02-28 00:00:00,420
2009-01-31 00:00:00,389
2008-12-31 00:00:00,394
2008-11-30 00:00:00,368
2008-10-31 00:00:00,375
2008-09-30 00:00:00,354
2008-08-31 00:00:00,347
2008-07-31 00:00:00,342
