Date,PX_LAST
2014-12-31 00:00:00,833
2014-11-30 00:00:00,835
2014-10-31 00:00:00,821
2014-09-30 00:00:00,795
2014-08-31 00:00:00,848
2014-07-31 00:00:00,783
2014-06-30 00:00:00,789
2014-05-31 00:00:00,784
2014-04-30 00:00:00,792
2014-03-31 00:00:00,768
2014-02-28 00:00:00,770
2014-01-31 00:00:00,794
2013-12-31 00:00:00,773
2013-11-30 00:00:00,747
2013-10-31 00:00:00,730
2013-09-30 00:00:00,747
2013-08-31 00:00:00,786
2013-07-31 00:00:00,761
2013-06-30 00:00:00,760
2013-05-31 00:00:00,780
2013-04-30 00:00:00,801
2013-03-31 00:00:00,855
2013-02-28 00:00:00,823
2013-01-31 00:00:00,844
2012-12-31 00:00:00,822
2012-11-30 00:00:00,810
2012-10-31 00:00:00,842
2012-09-30 00:00:00,894
2012-08-31 00:00:00,924
2012-07-31 00:00:00,868
2012-06-30 00:00:00,882
2012-05-31 00:00:00,902
2012-04-30 00:00:00,918
2012-03-31 00:00:00,883
2012-02-29 00:00:00,928
2012-01-31 00:00:00,942
2011-12-31 00:00:00,953
2011-11-30 00:00:00,939
2011-10-31 00:00:00,981
2011-09-30 00:00:00,1084
2011-08-31 00:00:00,1117
2011-07-31 00:00:00,1119
2011-06-30 00:00:00,1065
2011-05-31 00:00:00,1129
2011-04-30 00:00:00,1106
2011-03-31 00:00:00,1152
2011-02-28 00:00:00,1190
2011-01-31 00:00:00,1140
2010-12-31 00:00:00,1153
2010-11-30 00:00:00,1050
2010-10-31 00:00:00,1112
2010-09-30 00:00:00,1025
2010-08-31 00:00:00,1118
2010-07-31 00:00:00,1022
2010-06-30 00:00:00,990
2010-05-31 00:00:00,1022
2010-04-30 00:00:00,1004
2010-03-31 00:00:00,973
2010-02-28 00:00:00,1013
2010-01-31 00:00:00,1022
2009-12-31 00:00:00,1003
2009-11-30 00:00:00,1010
2009-10-31 00:00:00,1032
2009-09-30 00:00:00,1037
2009-08-31 00:00:00,1052
2009-07-31 00:00:00,1002
2009-06-30 00:00:00,1067
2009-05-31 00:00:00,1128
2009-04-30 00:00:00,1217
2009-03-31 00:00:00,1296
2009-02-28 00:00:00,1387
2009-01-31 00:00:00,1446
2008-12-31 00:00:00,1442
2008-11-30 00:00:00,1396
2008-10-31 00:00:00,1378
2008-09-30 00:00:00,1391
2008-08-31 00:00:00,1416
2008-07-31 00:00:00,1284
2008-06-30 00:00:00,1275
2008-05-31 00:00:00,1340
2008-04-30 00:00:00,1320
2008-03-31 00:00:00,1305
2008-02-29 00:00:00,1245
2008-01-31 00:00:00,1304
2007-12-31 00:00:00,1243
2007-11-30 00:00:00,1179
2007-10-31 00:00:00,1236
2007-09-30 00:00:00,1262
2007-08-31 00:00:00,1321
2007-07-31 00:00:00,1228
2007-06-30 00:00:00,1220
2007-05-31 00:00:00,1215
2007-04-30 00:00:00,1219
2007-03-31 00:00:00,1209
2007-02-28 00:00:00,1231
2007-01-31 00:00:00,1263
2006-12-31 00:00:00,1285
2006-11-30 00:00:00,1200
2006-10-31 00:00:00,1213
2006-09-30 00:00:00,1207
2006-08-31 00:00:00,1230
2006-07-31 00:00:00,1283
2006-06-30 00:00:00,1270
2006-05-31 00:00:00,1295
2006-04-30 00:00:00,1320
2006-03-31 00:00:00,1268
2006-02-28 00:00:00,1346
2006-01-31 00:00:00,1425
2005-12-31 00:00:00,1463
2005-11-30 00:00:00,1429
2005-10-31 00:00:00,1465
2005-09-30 00:00:00,1484
2005-08-31 00:00:00,1546
2005-07-31 00:00:00,1424
2005-06-30 00:00:00,1428
2005-05-31 00:00:00,1498
2005-04-30 00:00:00,1520
2005-03-31 00:00:00,1589
2005-02-28 00:00:00,1532
2005-01-31 00:00:00,1569
2004-12-31 00:00:00,1567
2004-11-30 00:00:00,1464
2004-10-31 00:00:00,1473
2004-09-30 00:00:00,1478
2004-08-31 00:00:00,1520
2004-07-31 00:00:00,1456
2004-06-30 00:00:00,1438
2004-05-31 00:00:00,1520
2004-04-30 00:00:00,1357
2004-03-31 00:00:00,1344
