Date,PX_LAST
2014-12-31 00:00:00,682
2014-11-30 00:00:00,696
2014-10-31 00:00:00,724
2014-09-30 00:00:00,696
2014-08-31 00:00:00,664
2014-07-31 00:00:00,679
2014-06-30 00:00:00,657
2014-05-31 00:00:00,687
2014-04-30 00:00:00,722
2014-03-31 00:00:00,667
2014-02-28 00:00:00,676
2014-01-31 00:00:00,633
2013-12-31 00:00:00,598
2013-11-30 00:00:00,606
2013-10-31 00:00:00,614
2013-09-30 00:00:00,609
2013-08-31 00:00:00,642
2013-07-31 00:00:00,643
2013-06-30 00:00:00,657
2013-05-31 00:00:00,632
2013-04-30 00:00:00,648
2013-03-31 00:00:00,653
2013-02-28 00:00:00,648
2013-01-31 00:00:00,613
2012-12-31 00:00:00,632
2012-11-30 00:00:00,586
2012-10-31 00:00:00,577
2012-09-30 00:00:00,609
2012-08-31 00:00:00,617
2012-07-31 00:00:00,638
2012-06-30 00:00:00,574
2012-05-31 00:00:00,616
2012-04-30 00:00:00,608
2012-03-31 00:00:00,599
2012-02-29 00:00:00,590
2012-01-31 00:00:00,627
2011-12-31 00:00:00,575
2011-11-30 00:00:00,578
2011-10-31 00:00:00,578
2011-09-30 00:00:00,586
2011-08-31 00:00:00,629
2011-07-31 00:00:00,631
2011-06-30 00:00:00,610
2011-05-31 00:00:00,634
2011-04-30 00:00:00,627
2011-03-31 00:00:00,621
2011-02-28 00:00:00,592
2011-01-31 00:00:00,609
2010-12-31 00:00:00,544
2010-11-30 00:00:00,545
2010-10-31 00:00:00,597
2010-09-30 00:00:00,575
2010-08-31 00:00:00,571
2010-07-31 00:00:00,586
2010-06-30 00:00:00,556
2010-05-31 00:00:00,560
2010-04-30 00:00:00,545
2010-03-31 00:00:00,534
2010-02-28 00:00:00,549
2010-01-31 00:00:00,559
2009-12-31 00:00:00,522
2009-11-30 00:00:00,500
2009-10-31 00:00:00,519
2009-09-30 00:00:00,539
2009-08-31 00:00:00,561
2009-07-31 00:00:00,558
2009-06-30 00:00:00,529
2009-05-31 00:00:00,604
2009-04-30 00:00:00,589
2009-03-31 00:00:00,630
2009-02-28 00:00:00,656
2009-01-31 00:00:00,685
2008-12-31 00:00:00,668
2008-11-30 00:00:00,710
2008-10-31 00:00:00,723
2008-09-30 00:00:00,742
2008-08-31 00:00:00,773
2008-07-31 00:00:00,764
2008-06-30 00:00:00,751
2008-05-31 00:00:00,773
2008-04-30 00:00:00,754
2008-03-31 00:00:00,760
2008-02-29 00:00:00,757
2008-01-31 00:00:00,785
2007-12-31 00:00:00,787
2007-11-30 00:00:00,768
2007-10-31 00:00:00,753
2007-09-30 00:00:00,753
2007-08-31 00:00:00,770
2007-07-31 00:00:00,755
2007-06-30 00:00:00,749
2007-05-31 00:00:00,828
2007-04-30 00:00:00,851
2007-03-31 00:00:00,859
2007-02-28 00:00:00,844
2007-01-31 00:00:00,885
2006-12-31 00:00:00,853
2006-11-30 00:00:00,852
2006-10-31 00:00:00,852
2006-09-30 00:00:00,854
2006-08-31 00:00:00,857
2006-07-31 00:00:00,888
2006-06-30 00:00:00,884
2006-05-31 00:00:00,907
2006-04-30 00:00:00,902
2006-03-31 00:00:00,875
2006-02-28 00:00:00,908
2006-01-31 00:00:00,904
2005-12-31 00:00:00,878
2005-11-30 00:00:00,942
2005-10-31 00:00:00,935
2005-09-30 00:00:00,932
2005-08-31 00:00:00,1015
2005-07-31 00:00:00,1038
2005-06-30 00:00:00,985
2005-05-31 00:00:00,978
2005-04-30 00:00:00,944
2005-03-31 00:00:00,936
2005-02-28 00:00:00,907
2005-01-31 00:00:00,915
2004-12-31 00:00:00,899
2004-11-30 00:00:00,876
2004-10-31 00:00:00,869
2004-09-30 00:00:00,863
2004-08-31 00:00:00,893
2004-07-31 00:00:00,896
2004-06-30 00:00:00,919
2004-05-31 00:00:00,923
2004-04-30 00:00:00,900
2004-03-31 00:00:00,916
2004-02-29 00:00:00,924
2004-01-31 00:00:00,925
2003-12-31 00:00:00,889
2003-11-30 00:00:00,903
2003-10-31 00:00:00,884
2003-09-30 00:00:00,903
2003-08-31 00:00:00,959
2003-07-31 00:00:00,961
2003-06-30 00:00:00,980
2003-05-31 00:00:00,1025
2003-04-30 00:00:00,993
2003-03-31 00:00:00,1018
2003-02-28 00:00:00,997
2003-01-31 00:00:00,990
2002-12-31 00:00:00,965
2002-11-30 00:00:00,946
2002-10-31 00:00:00,969
2002-09-30 00:00:00,981
2002-08-31 00:00:00,924
2002-07-31 00:00:00,952
2002-06-30 00:00:00,925
2002-05-31 00:00:00,924
2002-04-30 00:00:00,934
2002-03-31 00:00:00,949
2002-02-28 00:00:00,918
2002-01-31 00:00:00,949
2001-12-31 00:00:00,940
2001-11-30 00:00:00,980
2001-10-31 00:00:00,980
2001-09-30 00:00:00,1001
2001-08-31 00:00:00,1017
2001-07-31 00:00:00,1063
2001-06-30 00:00:00,1069
2001-05-31 00:00:00,1101
2001-04-30 00:00:00,1109
2001-03-31 00:00:00,1110
2001-02-28 00:00:00,1107
2001-01-31 00:00:00,1130
2000-12-31 00:00:00,1069
2000-11-30 00:00:00,1147
2000-10-31 00:00:00,1161
2000-09-30 00:00:00,1158
2000-08-31 00:00:00,1160
2000-07-31 00:00:00,1164
2000-06-30 00:00:00,1141
2000-05-31 00:00:00,1192
2000-04-30 00:00:00,1198
2000-03-31 00:00:00,1176
2000-02-29 00:00:00,1200
2000-01-31 00:00:00,1227
1999-12-31 00:00:00,1215
1999-11-30 00:00:00,1230
1999-10-31 00:00:00,1275
1999-09-30 00:00:00,1225
1999-08-31 00:00:00,1263
1999-07-31 00:00:00,1249
1999-06-30 00:00:00,1209
1999-05-31 00:00:00,1206
1999-04-30 00:00:00,1185
1999-03-31 00:00:00,1194
1999-02-28 00:00:00,1213
1999-01-31 00:00:00,1280
1998-12-31 00:00:00,1371
1998-11-30 00:00:00,1342
1998-10-31 00:00:00,1346
1998-09-30 00:00:00,1356
1998-08-31 00:00:00,1371
1998-07-31 00:00:00,1380
1998-06-30 00:00:00,1375
1998-05-31 00:00:00,1415
1998-04-30 00:00:00,1418
1998-03-31 00:00:00,1438
1998-02-28 00:00:00,1459
1998-01-31 00:00:00,1483
1997-12-31 00:00:00,1453
1997-11-30 00:00:00,1445
1997-10-31 00:00:00,1428
1997-09-30 00:00:00,1436
1997-08-31 00:00:00,1439
1997-07-31 00:00:00,1441
1997-06-30 00:00:00,1440
1997-05-31 00:00:00,1421
1997-04-30 00:00:00,1436
1997-03-31 00:00:00,1473
1997-02-28 00:00:00,1466
1997-01-31 00:00:00,1461
