Date,PX_LAST
2014-12-31 00:00:00,77
2014-11-30 00:00:00,80
2014-10-31 00:00:00,81
2014-09-30 00:00:00,79
2014-08-31 00:00:00,73
2014-07-31 00:00:00,70
2014-06-30 00:00:00,66
2014-05-31 00:00:00,69
2014-04-30 00:00:00,87
2014-03-31 00:00:00,80
2014-02-28 00:00:00,76
2014-01-31 00:00:00,82
2013-12-31 00:00:00,73
2013-11-30 00:00:00,75
2013-10-31 00:00:00,80
2013-09-30 00:00:00,67
2013-08-31 00:00:00,76
2013-07-31 00:00:00,80
2013-06-30 00:00:00,87
2013-05-31 00:00:00,74
2013-04-30 00:00:00,72
2013-03-31 00:00:00,77
2013-02-28 00:00:00,72
2013-01-31 00:00:00,75
2012-12-31 00:00:00,69
2012-11-30 00:00:00,58
2012-10-31 00:00:00,98
2012-09-30 00:00:00,67
2012-08-31 00:00:00,74
2012-07-31 00:00:00,85
2012-06-30 00:00:00,82
2012-05-31 00:00:00,89
2012-04-30 00:00:00,97
2012-03-31 00:00:00,92
2012-02-29 00:00:00,92
2012-01-31 00:00:00,104
2011-12-31 00:00:00,92
2011-11-30 00:00:00,87
2011-10-31 00:00:00,89
2011-09-30 00:00:00,86
2011-08-31 00:00:00,88
2011-07-31 00:00:00,92
2011-06-30 00:00:00,89
2011-05-31 00:00:00,87
2011-04-30 00:00:00,92
2011-03-31 00:00:00,83
2011-02-28 00:00:00,83
2011-01-31 00:00:00,98
2010-12-31 00:00:00,80
2010-11-30 00:00:00,84
2010-10-31 00:00:00,75
2010-09-30 00:00:00,83
2010-08-31 00:00:00,81
2010-07-31 00:00:00,90
2010-06-30 00:00:00,91
2010-05-31 00:00:00,103
2010-04-30 00:00:00,101
2010-03-31 00:00:00,100
2010-02-28 00:00:00,106
2010-01-31 00:00:00,101
2009-12-31 00:00:00,108
2009-11-30 00:00:00,106
2009-10-31 00:00:00,99
2009-09-30 00:00:00,94
2009-08-31 00:00:00,103
2009-07-31 00:00:00,97
2009-06-30 00:00:00,103
2009-05-31 00:00:00,109
2009-04-30 00:00:00,110
2009-03-31 00:00:00,111
2009-02-28 00:00:00,117
2009-01-31 00:00:00,117
2008-12-31 00:00:00,120
2008-11-30 00:00:00,136
2008-10-31 00:00:00,137
2008-09-30 00:00:00,132
2008-08-31 00:00:00,151
2008-07-31 00:00:00,137
2008-06-30 00:00:00,134
2008-05-31 00:00:00,145
2008-04-30 00:00:00,141
2008-03-31 00:00:00,143
2008-02-29 00:00:00,137
2008-01-31 00:00:00,165
2007-12-31 00:00:00,131
2007-11-30 00:00:00,134
2007-10-31 00:00:00,134
2007-09-30 00:00:00,133
2007-08-31 00:00:00,140
2007-07-31 00:00:00,157
2007-06-30 00:00:00,146
2007-05-31 00:00:00,149
2007-04-30 00:00:00,148
2007-03-31 00:00:00,144
2007-02-28 00:00:00,141
2007-01-31 00:00:00,153
2006-12-31 00:00:00,144
2006-11-30 00:00:00,129
2006-10-31 00:00:00,137
2006-09-30 00:00:00,131
2006-08-31 00:00:00,137
2006-07-31 00:00:00,132
2006-06-30 00:00:00,132
2006-05-31 00:00:00,125
2006-04-30 00:00:00,134
2006-03-31 00:00:00,128
2006-02-28 00:00:00,136
2006-01-31 00:00:00,152
2005-12-31 00:00:00,143
2005-11-30 00:00:00,145
2005-10-31 00:00:00,141
2005-09-30 00:00:00,141
2005-08-31 00:00:00,154
2005-07-31 00:00:00,157
2005-06-30 00:00:00,149
2005-05-31 00:00:00,149
2005-04-30 00:00:00,145
2005-03-31 00:00:00,141
2005-02-28 00:00:00,144
2005-01-31 00:00:00,149
2004-12-31 00:00:00,135
2004-11-30 00:00:00,122
2004-10-31 00:00:00,124
2004-09-30 00:00:00,120
2004-08-31 00:00:00,122
2004-07-31 00:00:00,128
2004-06-30 00:00:00,114
2004-05-31 00:00:00,122
2004-04-30 00:00:00,125
2004-03-31 00:00:00,130
2004-02-29 00:00:00,110
2004-01-31 00:00:00,112
2003-12-31 00:00:00,109
2003-11-30 00:00:00,120
2003-10-31 00:00:00,122
2003-09-30 00:00:00,110
2003-08-31 00:00:00,125
2003-07-31 00:00:00,120
2003-06-30 00:00:00,118
2003-05-31 00:00:00,104
2003-04-30 00:00:00,100
2003-03-31 00:00:00,109
2003-02-28 00:00:00,127
2003-01-31 00:00:00,103
2002-12-31 00:00:00,107
2002-11-30 00:00:00,102
2002-10-31 00:00:00,100
2002-09-30 00:00:00,107
2002-08-31 00:00:00,107
2002-07-31 00:00:00,104
2002-06-30 00:00:00,98
2002-05-31 00:00:00,95
2002-04-30 00:00:00,95
2002-03-31 00:00:00,101
2002-02-28 00:00:00,93
2002-01-31 00:00:00,98
2001-12-31 00:00:00,97
2001-11-30 00:00:00,110
2001-10-31 00:00:00,101
2001-09-30 00:00:00,112
2001-08-31 00:00:00,114
2001-07-31 00:00:00,113
2001-06-30 00:00:00,123
2001-05-31 00:00:00,128
2001-04-30 00:00:00,124
2001-03-31 00:00:00,130
2001-02-28 00:00:00,144
2001-01-31 00:00:00,148
2000-12-31 00:00:00,126
2000-11-30 00:00:00,120
2000-10-31 00:00:00,124
2000-09-30 00:00:00,140
2000-08-31 00:00:00,157
2000-07-31 00:00:00,151
2000-06-30 00:00:00,140
2000-05-31 00:00:00,143
2000-04-30 00:00:00,151
2000-03-31 00:00:00,153
2000-02-29 00:00:00,161
2000-01-31 00:00:00,161
1999-12-31 00:00:00,151
1999-11-30 00:00:00,141
1999-10-31 00:00:00,152
1999-09-30 00:00:00,139
1999-08-31 00:00:00,140
1999-07-31 00:00:00,141
1999-06-30 00:00:00,151
1999-05-31 00:00:00,146
1999-04-30 00:00:00,144
1999-03-31 00:00:00,137
1999-02-28 00:00:00,164
1999-01-31 00:00:00,155
1998-12-31 00:00:00,143
1998-11-30 00:00:00,140
1998-10-31 00:00:00,158
1998-09-30 00:00:00,150
1998-08-31 00:00:00,153
1998-07-31 00:00:00,153
1998-06-30 00:00:00,153
1998-05-31 00:00:00,157
1998-04-30 00:00:00,166
1998-03-31 00:00:00,162
1998-02-28 00:00:00,183
1998-01-31 00:00:00,190
1997-12-31 00:00:00,168
1997-11-30 00:00:00,163
1997-10-31 00:00:00,173
1997-09-30 00:00:00,144
1997-08-31 00:00:00,146
1997-07-31 00:00:00,134
1997-06-30 00:00:00,136
1997-05-31 00:00:00,135
1997-04-30 00:00:00,133
1997-03-31 00:00:00,139
1997-02-28 00:00:00,121
1997-01-31 00:00:00,133
