Date,PX_LAST
2014-12-31 00:00:00,2478
2014-11-30 00:00:00,2525
2014-10-31 00:00:00,2522
2014-09-30 00:00:00,2461
2014-08-31 00:00:00,2490
2014-07-31 00:00:00,2393
2014-06-30 00:00:00,2362
2014-05-31 00:00:00,2406
2014-04-30 00:00:00,2502
2014-03-31 00:00:00,2261
2014-02-28 00:00:00,2229
2014-01-31 00:00:00,2228
2013-12-31 00:00:00,2167
2013-11-30 00:00:00,2175
2013-10-31 00:00:00,2155
2013-09-30 00:00:00,2133
2013-08-31 00:00:00,2259
2013-07-31 00:00:00,2227
2013-06-30 00:00:00,2217
2013-05-31 00:00:00,2240
2013-04-30 00:00:00,2285
2013-03-31 00:00:00,2316
2013-02-28 00:00:00,2333
2013-01-31 00:00:00,2304
2012-12-31 00:00:00,2268
2012-11-30 00:00:00,2245
2012-10-31 00:00:00,2351
2012-09-30 00:00:00,2333
2012-08-31 00:00:00,2413
2012-07-31 00:00:00,2358
2012-06-30 00:00:00,2302
2012-05-31 00:00:00,2399
2012-04-30 00:00:00,2416
2012-03-31 00:00:00,2329
2012-02-29 00:00:00,2389
2012-01-31 00:00:00,2474
2011-12-31 00:00:00,2391
2011-11-30 00:00:00,2401
2011-10-31 00:00:00,2430
2011-09-30 00:00:00,2529
2011-08-31 00:00:00,2661
2011-07-31 00:00:00,2639
2011-06-30 00:00:00,2521
2011-05-31 00:00:00,2651
2011-04-30 00:00:00,2587
2011-03-31 00:00:00,2606
2011-02-28 00:00:00,2648
2011-01-31 00:00:00,2633
2010-12-31 00:00:00,2519
2010-11-30 00:00:00,2382
2010-10-31 00:00:00,2452
2010-09-30 00:00:00,2381
2010-08-31 00:00:00,2452
2010-07-31 00:00:00,2362
2010-06-30 00:00:00,2252
2010-05-31 00:00:00,2392
2010-04-30 00:00:00,2268
2010-03-31 00:00:00,2196
2010-02-28 00:00:00,2271
2010-01-31 00:00:00,2295
2009-12-31 00:00:00,2228
2009-11-30 00:00:00,2184
2009-10-31 00:00:00,2268
2009-09-30 00:00:00,2279
2009-08-31 00:00:00,2305
2009-07-31 00:00:00,2249
2009-06-30 00:00:00,2305
2009-05-31 00:00:00,2511
2009-04-30 00:00:00,2579
2009-03-31 00:00:00,2753
2009-02-28 00:00:00,2932
2009-01-31 00:00:00,3010
2008-12-31 00:00:00,2959
2008-11-30 00:00:00,2941
2008-10-31 00:00:00,2961
2008-09-30 00:00:00,2981
2008-08-31 00:00:00,3024
2008-07-31 00:00:00,2894
2008-06-30 00:00:00,2826
2008-05-31 00:00:00,2947
2008-04-30 00:00:00,2862
2008-03-31 00:00:00,2850
2008-02-29 00:00:00,2777
2008-01-31 00:00:00,2944
2007-12-31 00:00:00,2848
2007-11-30 00:00:00,2746
2007-10-31 00:00:00,2779
2007-09-30 00:00:00,2869
2007-08-31 00:00:00,2948
2007-07-31 00:00:00,2867
2007-06-30 00:00:00,2810
2007-05-31 00:00:00,2913
2007-04-30 00:00:00,2941
2007-03-31 00:00:00,2883
2007-02-28 00:00:00,2903
2007-01-31 00:00:00,3006
2006-12-31 00:00:00,2943
2006-11-30 00:00:00,2839
2006-10-31 00:00:00,2876
2006-09-30 00:00:00,2887
2006-08-31 00:00:00,2927
2006-07-31 00:00:00,3021
2006-06-30 00:00:00,2999
2006-05-31 00:00:00,3065
2006-04-30 00:00:00,3095
2006-03-31 00:00:00,2997
2006-02-28 00:00:00,3136
2006-01-31 00:00:00,3235
2005-12-31 00:00:00,3189
2005-11-30 00:00:00,3207
2005-10-31 00:00:00,3229
2005-09-30 00:00:00,3233
2005-08-31 00:00:00,3393
2005-07-31 00:00:00,3275
2005-06-30 00:00:00,3214
2005-05-31 00:00:00,3288
2005-04-30 00:00:00,3167
2005-03-31 00:00:00,3252
2005-02-28 00:00:00,3171
2005-01-31 00:00:00,3227
2004-12-31 00:00:00,3182
2004-11-30 00:00:00,3039
2004-10-31 00:00:00,3058
2004-09-30 00:00:00,2999
2004-08-31 00:00:00,3083
2004-07-31 00:00:00,3004
2004-06-30 00:00:00,2976
2004-05-31 00:00:00,3092
2004-04-30 00:00:00,2916
2004-03-31 00:00:00,2931
2004-02-29 00:00:00,2967
2004-01-31 00:00:00,3042
2003-12-31 00:00:00,2973
2003-11-30 00:00:00,2934
2003-10-31 00:00:00,2888
2003-09-30 00:00:00,2934
2003-08-31 00:00:00,3055
2003-07-31 00:00:00,2991
2003-06-30 00:00:00,2995
2003-05-31 00:00:00,3032
2003-04-30 00:00:00,2996
2003-03-31 00:00:00,3013
2003-02-28 00:00:00,2978
2003-01-31 00:00:00,3007
2002-12-31 00:00:00,2940
2002-11-30 00:00:00,2855
2002-10-31 00:00:00,2865
2002-09-30 00:00:00,2873
2002-08-31 00:00:00,2866
2002-07-31 00:00:00,2865
2002-06-30 00:00:00,2896
2002-05-31 00:00:00,2919
2002-04-30 00:00:00,2929
2002-03-31 00:00:00,2955
2002-02-28 00:00:00,2947
2002-01-31 00:00:00,2995
2001-12-31 00:00:00,3020
2001-11-30 00:00:00,3011
2001-10-31 00:00:00,3075
2001-09-30 00:00:00,3127
2001-08-31 00:00:00,3169
2001-07-31 00:00:00,3148
2001-06-30 00:00:00,3095
2001-05-31 00:00:00,3212
2001-04-30 00:00:00,3186
2001-03-31 00:00:00,3193
2001-02-28 00:00:00,3205
2001-01-31 00:00:00,3245
2000-12-31 00:00:00,3092
2000-11-30 00:00:00,3066
2000-10-31 00:00:00,3146
2000-09-30 00:00:00,3162
2000-08-31 00:00:00,3199
2000-07-31 00:00:00,3111
2000-06-30 00:00:00,3059
2000-05-31 00:00:00,3136
2000-04-30 00:00:00,3131
2000-03-31 00:00:00,3119
2000-02-29 00:00:00,3180
2000-01-31 00:00:00,3232
1999-12-31 00:00:00,3181
1999-11-30 00:00:00,3145
1999-10-31 00:00:00,3190
1999-09-30 00:00:00,3145
1999-08-31 00:00:00,3195
1999-07-31 00:00:00,3126
1999-06-30 00:00:00,3077
1999-05-31 00:00:00,3121
1999-04-30 00:00:00,3129
1999-03-31 00:00:00,3113
1999-02-28 00:00:00,3252
1999-01-31 00:00:00,3336
1998-12-31 00:00:00,3155
1998-11-30 00:00:00,3058
1998-10-31 00:00:00,3101
1998-09-30 00:00:00,3103
1998-08-31 00:00:00,3129
1998-07-31 00:00:00,3068
1998-06-30 00:00:00,3029
1998-05-31 00:00:00,3139
1998-04-30 00:00:00,3198
1998-03-31 00:00:00,3177
1998-02-28 00:00:00,3267
1998-01-31 00:00:00,3281
1997-12-31 00:00:00,3163
1997-11-30 00:00:00,3163
1997-10-31 00:00:00,3104
1997-09-30 00:00:00,3128
1997-08-31 00:00:00,3166
1997-07-31 00:00:00,3067
1997-06-30 00:00:00,3058
1997-05-31 00:00:00,3045
1997-04-30 00:00:00,3047
1997-03-31 00:00:00,3096
1997-02-28 00:00:00,3052
1997-01-31 00:00:00,3149
