Date,PX_LAST,PX_BID
2026-06-30 00:00:00,6.11,
2026-06-29 00:00:00,6,5.9725
2026-06-26 00:00:00,6.11,6.17
2026-06-25 00:00:00,6.205,6.18
2026-06-24 00:00:00,6.1725,6.125
2026-06-23 00:00:00,6.1825,6.1675
2026-06-22 00:00:00,6.335,6.31
2026-06-18 00:00:00,6.44,6.3925
2026-06-17 00:00:00,6.525,6.455
2026-06-16 00:00:00,6.3375,6.33
2026-06-15 00:00:00,6.4,6.385
2026-06-12 00:00:00,6.345,6.3175
2026-06-11 00:00:00,6.3475,6.33
2026-06-10 00:00:00,6.305,6.33
2026-06-09 00:00:00,6.3075,6.29
2026-06-08 00:00:00,6.2975,6.27
2026-06-05 00:00:00,6.2075,6.19
2026-06-04 00:00:00,6.2025,6.185
2026-06-03 00:00:00,6.24,6.22
2026-06-02 00:00:00,6.3475,6.33
2026-06-01 00:00:00,6.47,6.4975
2026-05-29 00:00:00,6.4975,6.46
2026-05-28 00:00:00,6.6525,6.65
2026-05-27 00:00:00,6.6975,6.67
2026-05-26 00:00:00,6.7625,6.76
2026-05-22 00:00:00,6.82,6.8025
2026-05-21 00:00:00,6.87,6.875
2026-05-20 00:00:00,6.9875,6.985
2026-05-19 00:00:00,7.0375,7.04
2026-05-18 00:00:00,7.0375,7.0075
2026-05-15 00:00:00,6.88,6.885
2026-05-14 00:00:00,7.0275,
2026-05-13 00:00:00,7.14,6.48
2026-05-12 00:00:00,7.205,6.48
2026-05-11 00:00:00,6.735,6.48
2026-05-08 00:00:00,6.725,6.48
2026-05-07 00:00:00,6.5475,6.48
2026-05-06 00:00:00,6.7575,6.48
2026-05-05 00:00:00,6.7725,6.48
2026-05-04 00:00:00,6.825,5.8025
2026-05-01 00:00:00,6.825,5.8025
2026-04-30 00:00:00,6.78,6.51
2026-04-29 00:00:00,6.9025,6.6
2026-04-28 00:00:00,6.9675,6.65
2026-04-27 00:00:00,6.6725,6.6175
2026-04-24 00:00:00,6.59,6.5
2026-04-23 00:00:00,6.6675,6.65
2026-04-22 00:00:00,6.3775,6.3525
2026-04-21 00:00:00,6.435,6.3725
2026-04-20 00:00:00,6.35,6.31
2026-04-17 00:00:00,6.3675,6.275
2026-04-16 00:00:00,6.4275,6.375
2026-04-15 00:00:00,6.255,6.15
2026-04-14 00:00:00,6.2275,6.13
2026-04-13 00:00:00,6.0325,6
2026-04-10 00:00:00,5.9075,5.84
2026-04-09 00:00:00,5.905,5.86
2026-04-08 00:00:00,5.9525,6.0525
2026-04-07 00:00:00,6.075,6.0525
2026-04-06 00:00:00,6.0825,6.03
2026-04-03 00:00:00,,6.1125
2026-04-02 00:00:00,6.1575,6.1125
2026-04-01 00:00:00,6.1375,6.11
2026-03-31 00:00:00,6.355,6.36
2026-03-30 00:00:00,6.2625,6.2725
2026-03-27 00:00:00,6.3275,6.29
2026-03-26 00:00:00,6.2675,6.2525
2026-03-25 00:00:00,6.1775,6.1075
2026-03-24 00:00:00,6.04,6.0325
2026-03-23 00:00:00,6.0325,5.95
2026-03-20 00:00:00,6.0625,6.03
2026-03-19 00:00:00,6.2725,6.3
2026-03-18 00:00:00,6.26,6.21
2026-03-17 00:00:00,6.0675,6.02
2026-03-16 00:00:00,6.165,6.165
2026-03-13 00:00:00,6.1875,
2026-03-12 00:00:00,6.015,
2026-03-11 00:00:00,6.015,
2026-03-10 00:00:00,5.9675,
2026-03-09 00:00:00,6.0775,
2026-03-06 00:00:00,6.115,5.3225
2026-03-05 00:00:00,5.8525,5.3225
2026-03-04 00:00:00,5.6525,5.3225
2026-03-03 00:00:00,5.705,5.3225
2026-03-02 00:00:00,5.67,5.3225
2026-02-27 00:00:00,5.7275,5.7075
2026-02-26 00:00:00,5.515,5.4725
2026-02-25 00:00:00,5.525,5.45
2026-02-24 00:00:00,5.5425,5.505
2026-02-23 00:00:00,5.6,5.595
2026-02-20 00:00:00,5.7225,5.64
2026-02-19 00:00:00,5.655,5.5625
2026-02-18 00:00:00,5.51,5.475
2026-02-17 00:00:00,5.3875,5.3725
2026-02-13 00:00:00,5.425,5.4
2026-02-12 00:00:00,5.54,5.5325
2026-02-11 00:00:00,5.385,5.385
2026-02-10 00:00:00,5.305,5.28
2026-02-09 00:00:00,5.2875,5.2775
2026-02-06 00:00:00,5.3125,5.2875
2026-02-05 00:00:00,5.385,5.38
2026-02-04 00:00:00,5.3025,5.285
2026-02-03 00:00:00,5.3475,5.3475
2026-02-02 00:00:00,5.3525,5.32
2026-01-30 00:00:00,5.4475,5.4475
2026-01-29 00:00:00,5.47,5.45
2026-01-28 00:00:00,5.4225,5.39
2026-01-27 00:00:00,5.3275,5.3125
2026-01-26 00:00:00,5.2975,5.2925
2026-01-23 00:00:00,5.4075,5.37
2026-01-22 00:00:00,5.2575,5.2425
2026-01-21 00:00:00,5.1975,5.185
2026-01-20 00:00:00,5.23,5.2075
2026-01-16 00:00:00,5.2725,5.28
2026-01-15 00:00:00,5.1725,5.1675
2026-01-14 00:00:00,5.2225,5.22
2026-01-13 00:00:00,5.195,5.195
2026-01-12 00:00:00,5.2675,5.25
2026-01-09 00:00:00,5.3025,5.29
2026-01-08 00:00:00,5.3025,5.2875
