Date,PX_LAST,PX_BID
2026-06-30 00:00:00,145500,143000
2026-05-31 00:00:00,173500,171000
2026-04-30 00:00:00,172500,170000
2026-03-31 00:00:00,157500,155000
2026-02-28 00:00:00,158500,156000
2026-01-31 00:00:00,152500,150000
2025-12-31 00:00:00,119000,118000
2025-11-30 00:00:00,92000,91000
2025-10-31 00:00:00,81000,80000
2025-09-30 00:00:00,73000,72000
2025-08-31 00:00:00,79000,78000
2025-07-31 00:00:00,70500,69500
2025-06-30 00:00:00,61400,60400
2025-05-31 00:00:00,60500,59500
2025-04-30 00:00:00,67300,66300
2025-03-31 00:00:00,73500,72500
2025-02-28 00:00:00,74500,73500
2025-01-31 00:00:00,76500,75500
2024-12-31 00:00:00,75500,74500
2024-11-30 00:00:00,78000,77000
2024-10-31 00:00:00,72500,71000
2024-09-30 00:00:00,75500,74000
2024-08-31 00:00:00,75000,73500
2024-07-31 00:00:00,81500,80000
2024-06-30 00:00:00,91500,90000
2024-05-31 00:00:00,105500,104000
2024-04-30 00:00:00,110500,109000
2024-03-31 00:00:00,107500,106000
2024-02-29 00:00:00,101500,100000
2024-01-31 00:00:00,95500,93000
2023-12-31 00:00:00,96500,94000
2023-11-30 00:00:00,115500,113000
2023-10-31 00:00:00,163500,161000
2023-09-30 00:00:00,166500,164000
2023-08-31 00:00:00,201500,199000
2023-07-31 00:00:00,264500,262000
2023-06-30 00:00:00,307500,305000
2023-05-31 00:00:00,297500,295000
2023-04-30 00:00:00,177500,175000
2023-03-31 00:00:00,229500,227000
2023-02-28 00:00:00,370500,368000
2023-01-31 00:00:00,474500,472000
2022-12-31 00:00:00,519500,517000
2022-11-30 00:00:00,577500,575000
2022-10-31 00:00:00,565500,563000
2022-09-30 00:00:00,510500,508000
2022-08-31 00:00:00,492500,490000
2022-07-31 00:00:00,476500,474000
2022-06-30 00:00:00,475500,473000
2022-05-31 00:00:00,468500,466000
2022-04-30 00:00:00,462500,460000
2022-03-31 00:00:00,496500,494000
2022-02-28 00:00:00,483500,481000
2022-01-31 00:00:00,377500,375000
2021-12-31 00:00:00,277500,275000
2021-11-30 00:00:00,198500,196000
2021-10-31 00:00:00,192500,190000
2021-09-30 00:00:00,176000,175000
2021-08-31 00:00:00,117000,116000
2021-07-31 00:00:00,91000,90000
2021-06-30 00:00:00,87000,86000
2021-05-31 00:00:00,89000,88000
2021-04-30 00:00:00,89000,88000
2021-03-31 00:00:00,88000,87000
2021-02-28 00:00:00,81000,80000
2021-01-31 00:00:00,72000,71000
2020-12-31 00:00:00,52500,51500
2020-11-30 00:00:00,44000,43000
2020-10-31 00:00:00,41000,40000
2020-09-30 00:00:00,40500,39500
2020-08-31 00:00:00,39800,38800
2020-07-31 00:00:00,39500,38500
2020-06-30 00:00:00,40500,39000
2020-05-31 00:00:00,42500,41000
2020-04-30 00:00:00,45000,43500
2020-03-31 00:00:00,46500,45000
2020-02-29 00:00:00,49000,47500
2020-01-31 00:00:00,49000,47500
2019-12-31 00:00:00,49500,48000
2019-11-30 00:00:00,54000,52500
2019-10-31 00:00:00,58500,57000
2019-09-30 00:00:00,59000,57500
2019-08-31 00:00:00,61500,60000
2019-07-31 00:00:00,67000,65500
2019-06-30 00:00:00,73500,72000
2019-05-31 00:00:00,77000,75500
2019-04-30 00:00:00,76500,75000
2019-03-31 00:00:00,76500,75000
2019-02-28 00:00:00,78500,77000
2019-01-31 00:00:00,77500,76000
2018-12-31 00:00:00,79500,78000
2018-11-30 00:00:00,80000,78000
2018-10-31 00:00:00,78000,76000
2018-09-30 00:00:00,80500,78000
2018-08-31 00:00:00,84000,81000
2018-07-31 00:00:00,103000,100000
2018-06-30 00:00:00,123000,120000
2018-05-31 00:00:00,133000,130000
2018-04-30 00:00:00,143500,140000
2018-03-31 00:00:00,154500,151000
2018-02-28 00:00:00,154500,151000
2018-01-31 00:00:00,154500,151000
2017-12-31 00:00:00,166000,162000
2017-11-30 00:00:00,171000,167000
2017-10-31 00:00:00,171000,167000
2017-09-30 00:00:00,163000,159000
2017-08-31 00:00:00,156000,152000
2017-07-31 00:00:00,148500,144000
2017-06-30 00:00:00,145500,141000
2017-05-31 00:00:00,141000,137000
2017-04-30 00:00:00,134000,130000
2017-03-31 00:00:00,132000,128000
2017-02-28 00:00:00,128000,124000
2017-01-31 00:00:00,126000,122000
2016-12-31 00:00:00,126000,122000
2016-11-30 00:00:00,124500,121000
2016-10-31 00:00:00,123500,120000
2016-09-30 00:00:00,127000,122000
2016-08-31 00:00:00,129000,124000
2016-07-31 00:00:00,151000,146000
2016-06-30 00:00:00,160000,155000
2016-05-31 00:00:00,168000,162000
2016-04-30 00:00:00,170000,165000
2016-03-31 00:00:00,171500,167000
2016-02-29 00:00:00,168500,166000
2016-01-31 00:00:00,153000,150000
2015-12-31 00:00:00,129000,128000
2015-11-30 00:00:00,82000,81000
2015-10-31 00:00:00,66000,65000
2015-09-30 00:00:00,52000,51000
2015-08-31 00:00:00,51500,50500
2015-07-31 00:00:00,51000,50000
2015-06-30 00:00:00,50500,49500
2015-05-31 00:00:00,49000,48000
2015-04-30 00:00:00,49000,48000
2015-03-31 00:00:00,46500,45500
2015-02-28 00:00:00,44700,43700
2015-01-31 00:00:00,44700,43700
2014-12-31 00:00:00,43000,42000
2014-11-30 00:00:00,41500,40500
2014-10-31 00:00:00,41000,40000
2014-09-30 00:00:00,41000,40000
2014-08-31 00:00:00,39500,38500
2014-07-31 00:00:00,39500,38500
2014-06-30 00:00:00,39000,38000
2014-05-31 00:00:00,40000,39000
2014-04-30 00:00:00,40000,39000
2014-03-31 00:00:00,41000,40000
2014-02-28 00:00:00,41000,40000
2014-01-31 00:00:00,41000,40000
2013-12-31 00:00:00,40000,39000
2013-11-30 00:00:00,40000,39000
2013-10-31 00:00:00,41000,40000
2013-09-30 00:00:00,41500,40500
2013-08-31 00:00:00,42000,41000
2013-07-31 00:00:00,42500,41500
2013-06-30 00:00:00,43000,42000
2013-05-31 00:00:00,43000,42000
2013-04-30 00:00:00,43500,42500
2013-03-31 00:00:00,43500,42500
2013-02-28 00:00:00,43500,42500
2013-01-31 00:00:00,43000,42000
2012-12-31 00:00:00,43000,42000
2012-11-30 00:00:00,43000,42000
2012-10-31 00:00:00,43000,42000
2012-09-30 00:00:00,43000,42000
2012-08-31 00:00:00,43000,42000
2012-07-31 00:00:00,43000,42000
2012-06-30 00:00:00,43000,42000
2012-05-31 00:00:00,41500,40500
2012-04-30 00:00:00,40000,39000
2012-03-31 00:00:00,39000,38000
2012-02-29 00:00:00,39000,38000
2012-01-31 00:00:00,39000,38000
2011-12-31 00:00:00,38000,37000
2011-11-30 00:00:00,38000,37000
2011-10-31 00:00:00,38000,37000
2011-09-30 00:00:00,38000,37000
2011-08-31 00:00:00,38000,37000
2011-07-31 00:00:00,38000,37000
2011-06-30 00:00:00,38000,37000
