Date,PX_LAST
2026-06-30 00:00:00,2225
2026-05-31 00:00:00,2610
2026-04-30 00:00:00,2560
2026-03-31 00:00:00,2360
2026-02-28 00:00:00,2385
2026-01-31 00:00:00,2175
2025-12-31 00:00:00,1550
2025-11-30 00:00:00,1217.5
2025-10-31 00:00:00,985
2025-09-30 00:00:00,835
2025-08-31 00:00:00,895
2025-07-31 00:00:00,762.5
2025-06-30 00:00:00,625
2025-05-31 00:00:00,625
2025-04-30 00:00:00,765
2025-03-31 00:00:00,827.5
2025-02-28 00:00:00,880
2025-01-31 00:00:00,885
2024-12-31 00:00:00,850
2024-11-30 00:00:00,855
2024-10-31 00:00:00,750
2024-09-30 00:00:00,790
2024-08-31 00:00:00,780
2024-07-31 00:00:00,920
2024-06-30 00:00:00,1100
2024-05-31 00:00:00,1115
2024-04-30 00:00:00,1135
2024-03-31 00:00:00,1110
2024-02-29 00:00:00,950
2024-01-31 00:00:00,900
2023-12-31 00:00:00,1000
2023-11-30 00:00:00,1490
2023-10-31 00:00:00,1850
2023-09-30 00:00:00,2400
