Date,PX_LAST
2026-06-30 00:00:00,2260
2026-05-31 00:00:00,2571
2026-04-30 00:00:00,2540
2026-03-31 00:00:00,2313
2026-02-28 00:00:00,2372
2026-01-31 00:00:00,2070
2025-12-31 00:00:00,1548
2025-11-30 00:00:00,1150
2025-10-31 00:00:00,944
2025-09-30 00:00:00,858
2025-08-31 00:00:00,894
2025-07-31 00:00:00,766
2025-06-30 00:00:00,630
2025-05-31 00:00:00,676
2025-04-30 00:00:00,773
2025-03-31 00:00:00,819
2025-02-28 00:00:00,840
2025-01-31 00:00:00,845
2024-12-31 00:00:00,816
2024-11-30 00:00:00,815
2024-10-31 00:00:00,745
2024-09-30 00:00:00,769
2024-08-31 00:00:00,770
2024-07-31 00:00:00,916
2024-06-30 00:00:00,1079
2024-05-31 00:00:00,1110
2024-04-30 00:00:00,1135
2024-03-31 00:00:00,1099
2024-02-29 00:00:00,948
2024-01-31 00:00:00,938
2023-12-31 00:00:00,1315
2023-11-30 00:00:00,1789
2023-10-31 00:00:00,2110
2023-09-30 00:00:00,2860
2023-08-31 00:00:00,3220
2023-07-31 00:00:00,3465
2023-06-30 00:00:00,4030
2023-05-31 00:00:00,4135
2023-04-30 00:00:00,3735
2023-03-31 00:00:00,4380
2023-02-28 00:00:00,5325
2023-01-31 00:00:00,5475
2022-12-31 00:00:00,5505
2022-11-30 00:00:00,5480
2022-10-31 00:00:00,5400
2022-09-30 00:00:00,5230
2022-08-31 00:00:00,5110
2022-07-31 00:00:00,5000
2022-06-30 00:00:00,4970
2022-05-31 00:00:00,4795
2022-04-30 00:00:00,3805
2022-03-31 00:00:00,2895
2022-02-28 00:00:00,2665
2022-01-31 00:00:00,2530
2021-12-31 00:00:00,2150
2021-11-30 00:00:00,1900
2021-10-31 00:00:00,1315
2021-09-30 00:00:00,1065
2021-08-31 00:00:00,910
2021-07-31 00:00:00,750
2021-06-30 00:00:00,720
2021-05-31 00:00:00,645
2021-04-30 00:00:00,610
2021-03-31 00:00:00,535
2021-02-28 00:00:00,445
2021-01-31 00:00:00,435
2020-12-31 00:00:00,417.5
2020-11-30 00:00:00,405
2020-10-31 00:00:00,392.5
2020-09-30 00:00:00,387.5
2020-08-31 00:00:00,387.5
2020-07-31 00:00:00,392.5
2020-06-30 00:00:00,405
2020-05-31 00:00:00,425
2020-04-30 00:00:00,455
2020-03-31 00:00:00,475
2020-02-29 00:00:00,492.5
2020-01-31 00:00:00,492.5
2019-12-31 00:00:00,507.5
2019-11-30 00:00:00,530
2019-10-31 00:00:00,540
2019-09-30 00:00:00,540
2019-08-31 00:00:00,590
2019-07-31 00:00:00,620
