Date,PX_LAST
2026-06-30 00:00:00,2327.5
2026-05-31 00:00:00,2611.25
2026-04-30 00:00:00,2407.5
2026-03-31 00:00:00,2297
2026-02-28 00:00:00,1940
2026-01-31 00:00:00,2200
2025-12-31 00:00:00,1430
2025-11-30 00:00:00,1170
2025-10-31 00:00:00,890
2025-09-30 00:00:00,795
2025-08-31 00:00:00,937.5
2025-07-31 00:00:00,710
2025-06-30 00:00:00,590
2025-05-31 00:00:00,635
2025-04-30 00:00:00,836
2025-03-31 00:00:00,848
2025-02-28 00:00:00,838
2025-01-31 00:00:00,870
2024-12-31 00:00:00,825
2024-11-30 00:00:00,834
2024-10-31 00:00:00,740
2024-09-30 00:00:00,790
2024-08-31 00:00:00,845
2024-07-31 00:00:00,935
2024-06-30 00:00:00,1040
2024-05-31 00:00:00,1175
2024-04-30 00:00:00,1017.5
2024-03-31 00:00:00,940
2024-02-29 00:00:00,850
2024-01-31 00:00:00,850
2023-12-31 00:00:00,1300
2023-11-30 00:00:00,1675
2023-10-31 00:00:00,2600
2023-09-30 00:00:00,3120
2023-08-31 00:00:00,3200
2023-07-31 00:00:00,3500
2023-06-30 00:00:00,3500
2023-05-31 00:00:00,3700
2023-04-30 00:00:00,5000
2023-03-31 00:00:00,5050
2023-02-28 00:00:00,6000
2023-01-31 00:00:00,6000
2022-12-31 00:00:00,6401
2022-11-30 00:00:00,5903
2022-10-31 00:00:00,5128
2022-09-30 00:00:00,4994
2022-08-31 00:00:00,4875
2022-07-31 00:00:00,4750
2022-06-30 00:00:00,4975
2022-05-31 00:00:00,4728
2022-04-30 00:00:00,4225
2022-03-31 00:00:00,3263
2022-02-28 00:00:00,2340
2022-01-31 00:00:00,2400
2021-12-31 00:00:00,1650
2021-11-30 00:00:00,1525
2021-10-31 00:00:00,1300
2021-09-30 00:00:00,1445
2021-08-31 00:00:00,775
2021-07-31 00:00:00,925
2021-06-30 00:00:00,600
2021-05-31 00:00:00,575
2021-04-30 00:00:00,563
2021-03-31 00:00:00,540
2021-02-28 00:00:00,460
2021-01-31 00:00:00,415
2020-12-31 00:00:00,390
2020-11-30 00:00:00,380
2020-10-31 00:00:00,375
2020-09-30 00:00:00,375
2020-08-31 00:00:00,375
2020-07-31 00:00:00,390
2020-06-30 00:00:00,393
2020-05-31 00:00:00,415
2020-04-30 00:00:00,425
2020-03-31 00:00:00,430
2020-02-29 00:00:00,463
2020-01-31 00:00:00,468
2019-12-31 00:00:00,480
2019-11-30 00:00:00,498
2019-10-31 00:00:00,515
2019-09-30 00:00:00,543
2019-08-31 00:00:00,575
2019-07-31 00:00:00,585
2019-06-30 00:00:00,615
2019-05-31 00:00:00,620
2019-04-30 00:00:00,640
2019-03-31 00:00:00,675
2019-02-28 00:00:00,675
2019-01-31 00:00:00,725
2018-12-31 00:00:00,875
2018-11-30 00:00:00,875
2018-10-31 00:00:00,890
2018-09-30 00:00:00,890
2018-08-31 00:00:00,890
2018-07-31 00:00:00,915
2018-06-30 00:00:00,915
2018-05-31 00:00:00,870
2018-04-30 00:00:00,870
2018-03-31 00:00:00,880
2018-02-28 00:00:00,880
2018-01-31 00:00:00,880
