Date,PX_LAST,PX_BID
2026-06-30 00:00:00,2265,2240
2026-05-31 00:00:00,2570,2560
2026-04-30 00:00:00,2450,2440
2026-03-31 00:00:00,2100,2090
2026-02-28 00:00:00,2015,2005
2026-01-31 00:00:00,2255,2245
2025-12-31 00:00:00,1405,1395
2025-11-30 00:00:00,1145,1135
2025-10-31 00:00:00,950,940
2025-09-30 00:00:00,830,820
2025-08-31 00:00:00,920,910
2025-07-31 00:00:00,815,805
2025-06-30 00:00:00,625,615
2025-05-31 00:00:00,610,600
2025-04-30 00:00:00,785,775
2025-03-31 00:00:00,805,795
2025-02-28 00:00:00,815,805
2025-01-31 00:00:00,815,805
2024-12-31 00:00:00,790,780
2024-11-30 00:00:00,790,780
2024-10-31 00:00:00,750,740
2024-09-30 00:00:00,740,730
2024-08-31 00:00:00,770,760
2024-07-31 00:00:00,940,930
2024-06-30 00:00:00,1060,1050
2024-05-31 00:00:00,1210,1200
2024-04-30 00:00:00,1240,1230
2024-03-31 00:00:00,1210,1200
2024-02-29 00:00:00,1010,1000
2024-01-31 00:00:00,1000,990
2023-12-31 00:00:00,1180,1170
2023-11-30 00:00:00,1480,1470
2023-10-31 00:00:00,2010,2000
2023-09-30 00:00:00,2290,2280
2023-08-31 00:00:00,3010,3000
2023-07-31 00:00:00,3810,3800
2023-06-30 00:00:00,4090,4080
2023-05-31 00:00:00,4030,4020
2023-04-30 00:00:00,4090,4080
2023-03-31 00:00:00,4610,4600
2023-02-28 00:00:00,5800,5790
2023-01-31 00:00:00,5970,5960
2022-12-31 00:00:00,6010,6000
2022-11-30 00:00:00,6110,6100
2022-10-31 00:00:00,6000,5990
2022-09-30 00:00:00,5590,5580
2022-08-31 00:00:00,4990,4980
2022-07-31 00:00:00,4720,4710
2022-06-30 00:00:00,4500,4490
2022-05-31 00:00:00,4500,4490
2022-04-30 00:00:00,3510,3500
2022-03-31 00:00:00,2810,2800
2022-02-28 00:00:00,2720,2710
2022-01-31 00:00:00,2710,2700
2021-12-31 00:00:00,2560,2550
2021-11-30 00:00:00,2290,2280
2021-10-31 00:00:00,1430,1420
2021-09-30 00:00:00,1110,1100
2021-08-31 00:00:00,930,920
2021-07-31 00:00:00,760,750
2021-06-30 00:00:00,690,680
2021-05-31 00:00:00,640,630
2021-04-30 00:00:00,630,620
2021-03-31 00:00:00,550,540
2021-02-28 00:00:00,445,435
2021-01-31 00:00:00,430,420
2020-12-31 00:00:00,405,395
2020-11-30 00:00:00,392,382
2020-10-31 00:00:00,392,382
2020-09-30 00:00:00,390,380
2020-08-31 00:00:00,390,380
2020-07-31 00:00:00,395,385
2020-06-30 00:00:00,415,400
2020-05-31 00:00:00,430,415
2020-04-30 00:00:00,450,435
2020-03-31 00:00:00,465,450
2020-02-29 00:00:00,490,475
2020-01-31 00:00:00,490,475
2019-12-31 00:00:00,500,485
2019-11-30 00:00:00,525,510
2019-10-31 00:00:00,535,520
2019-09-30 00:00:00,555,540
2019-08-31 00:00:00,585,570
2019-07-31 00:00:00,605,590
2019-06-30 00:00:00,620,605
2019-05-31 00:00:00,635,620
2019-04-30 00:00:00,655,640
2019-03-31 00:00:00,685,670
2019-02-28 00:00:00,695,680
2019-01-31 00:00:00,685,670
2018-12-31 00:00:00,725,710
2018-11-30 00:00:00,725,710
2018-10-31 00:00:00,755,740
2018-09-30 00:00:00,805,790
2018-08-31 00:00:00,805,790
2018-07-31 00:00:00,845,830
2018-06-30 00:00:00,895,880
2018-05-31 00:00:00,925,910
2018-04-30 00:00:00,965,950
2018-03-31 00:00:00,965,950
2018-02-28 00:00:00,965,950
2018-01-31 00:00:00,965,950
