Date,PX_LAST,PX_BID
2026-06-30 00:00:00,3085.5,3105
2026-06-29 00:00:00,3088,3098.5
2026-06-26 00:00:00,3179.5,3198
2026-06-25 00:00:00,3164.5,3181.5
2026-06-24 00:00:00,3122.5,3114.5
2026-06-23 00:00:00,3232.5,3257
2026-06-22 00:00:00,3364,3360
2026-06-19 00:00:00,3396.5,3395.5
2026-06-18 00:00:00,3386.5,3394
2026-06-17 00:00:00,3410.5,3420.5
2026-06-16 00:00:00,3388.5,3389
2026-06-15 00:00:00,3379.5,3381.5
2026-06-12 00:00:00,3535,3541.5
2026-06-11 00:00:00,3502,3524.5
2026-06-10 00:00:00,3466,3480.5
2026-06-09 00:00:00,3547.5,3530.5
2026-06-08 00:00:00,3604,3606
2026-06-05 00:00:00,3592,3603
2026-06-04 00:00:00,3666,3670
2026-06-03 00:00:00,3703.5,3700.5
2026-06-02 00:00:00,3752.5,3760.5
2026-06-01 00:00:00,3716,3732
2026-05-29 00:00:00,3666.5,3671
2026-05-28 00:00:00,3659.5,3681
2026-05-27 00:00:00,3636,3626
2026-05-26 00:00:00,3672.5,3671.5
2026-05-22 00:00:00,3649.5,3655
2026-05-21 00:00:00,3637,3638
2026-05-20 00:00:00,3622.5,3628
2026-05-19 00:00:00,3602.5,3587
2026-05-18 00:00:00,3569,3557.5
2026-05-15 00:00:00,3563,3571
2026-05-14 00:00:00,3657.5,3658
2026-05-13 00:00:00,3652.5,3651
2026-05-12 00:00:00,3562,3572.5
2026-05-11 00:00:00,3579.5,3581.5
2026-05-08 00:00:00,3503,3500
2026-05-07 00:00:00,3493,3490
2026-05-06 00:00:00,3522.5,3536.5
2026-05-05 00:00:00,3589.5,3572.5
2026-05-01 00:00:00,3522,3504
2026-04-30 00:00:00,3474,3480
2026-04-29 00:00:00,3488.5,3487
2026-04-28 00:00:00,3538.5,3535.8
2026-04-27 00:00:00,3578,3572.5
2026-04-24 00:00:00,3591,3591
2026-04-23 00:00:00,3620,3597.5
2026-04-22 00:00:00,3613.5,3618
2026-04-21 00:00:00,3557,3531.5
2026-04-20 00:00:00,3557.5,3547
2026-04-17 00:00:00,3564.5,3545
2026-04-16 00:00:00,3643.5,3644
2026-04-15 00:00:00,3621.5,3620.5
2026-04-14 00:00:00,3563,3584
2026-04-13 00:00:00,3607.5,3625
2026-04-10 00:00:00,3498.5,3509
2026-04-09 00:00:00,3444,3447.5
2026-04-08 00:00:00,3455,3475
2026-04-07 00:00:00,3476,3466.5
2026-04-02 00:00:00,3469.5,3465.5
2026-04-01 00:00:00,3531.5,3527
2026-03-31 00:00:00,3467,3435.5
2026-03-30 00:00:00,3401,3443
2026-03-27 00:00:00,3296,3282.5
2026-03-26 00:00:00,3269.5,3255
2026-03-25 00:00:00,3242.5,3239.5
2026-03-24 00:00:00,3260.5,3245.5
2026-03-23 00:00:00,3199,3226.5
2026-03-20 00:00:00,3215,3194
2026-03-19 00:00:00,3252,3241.5
2026-03-18 00:00:00,3400,3416.5
2026-03-17 00:00:00,3399.5,3362
2026-03-16 00:00:00,3395.5,3391.5
2026-03-13 00:00:00,3439.5,3438
2026-03-12 00:00:00,3516.5,3525
2026-03-11 00:00:00,3457,3451
2026-03-10 00:00:00,3406,3388
2026-03-09 00:00:00,3385.5,3385
2026-03-06 00:00:00,3446,3431.5
2026-03-05 00:00:00,3296,3292
