Date,PX_LAST,PX_BID
2026-06-30 00:00:00,3069.87,2900
2026-06-29 00:00:00,3084.21,2900
2026-06-26 00:00:00,3172.8,2900
2026-06-25 00:00:00,3153.2,2900
2026-06-24 00:00:00,3105.75,2900
2026-06-23 00:00:00,3229.04,3248.5
2026-06-22 00:00:00,3360.54,3349
2026-06-19 00:00:00,3400.22,3398
2026-06-18 00:00:00,3390.27,3394.5
2026-06-17 00:00:00,3408.98,3413
2026-06-16 00:00:00,3371.94,3100
2026-06-15 00:00:00,3358.39,3356
2026-06-12 00:00:00,3532.76,3536
2026-06-11 00:00:00,3508.05,3525.5
2026-06-10 00:00:00,3466.13,3491
2026-06-09 00:00:00,3562.67,3538.5
2026-06-08 00:00:00,3651.85,3642.5
2026-06-05 00:00:00,3646.89,3649
2026-06-04 00:00:00,3738.21,3738.5
2026-06-03 00:00:00,3771.72,3762.5
2026-06-02 00:00:00,3850.59,3855
2026-06-01 00:00:00,3820.56,3833
2026-05-29 00:00:00,3767.68,3771
2026-05-28 00:00:00,3752.03,3761.5
2026-05-27 00:00:00,3710.42,3694.5
2026-05-26 00:00:00,3745.73,3701.5
2026-05-22 00:00:00,3720.28,3685
2026-05-21 00:00:00,3706.72,3668
2026-05-20 00:00:00,3677.06,3658
2026-05-19 00:00:00,3652.63,3617
2026-05-18 00:00:00,3627.76,3599
2026-05-15 00:00:00,3628.41,3601
2026-05-14 00:00:00,3741.23,3688
2026-05-13 00:00:00,3728.62,3681
2026-05-12 00:00:00,3629.74,3602.5
2026-05-11 00:00:00,3650.4,3611.5
2026-05-08 00:00:00,3562.63,3530
2026-05-07 00:00:00,3541.95,3520
2026-05-06 00:00:00,3574.6,3566.5
2026-05-05 00:00:00,3652.13,3602.5
2026-05-01 00:00:00,3585.81,3564
2026-04-30 00:00:00,3530.17,3510
2026-04-29 00:00:00,3547.02,3517
2026-04-28 00:00:00,3594.76,3566.5
2026-04-27 00:00:00,3644.1,3602.5
2026-04-24 00:00:00,3668.57,3621
2026-04-23 00:00:00,3692.23,3627.5
2026-04-22 00:00:00,3670.57,3648
2026-04-21 00:00:00,3606.35,3551.5
2026-04-20 00:00:00,3590.76,3567
2026-04-17 00:00:00,3589.95,3565
2026-04-16 00:00:00,3678.45,3664
2026-04-15 00:00:00,3659.02,3655.5
2026-04-14 00:00:00,3619.16,3624
2026-04-13 00:00:00,3686.9,3692
2026-04-10 00:00:00,3565.2,3579
2026-04-09 00:00:00,3474.81,3473.5
2026-04-08 00:00:00,3498.47,3516
2026-04-07 00:00:00,3544.82,3522
2026-04-02 00:00:00,3539.68,3527
2026-04-01 00:00:00,3595.99,3577
2026-03-31 00:00:00,3521.15,3475.5
2026-03-30 00:00:00,3448.21,3483
2026-03-27 00:00:00,3357.23,3100
2026-03-26 00:00:00,3328.4,3100
2026-03-25 00:00:00,3292.34,3100
2026-03-24 00:00:00,3307.87,3100
2026-03-23 00:00:00,3229.63,3100
2026-03-20 00:00:00,3252.58,3100
2026-03-19 00:00:00,3289.6,3095
2026-03-18 00:00:00,3432.38,3444.5
2026-03-17 00:00:00,3404.88,3100
2026-03-16 00:00:00,3428.5,3350
2026-03-13 00:00:00,3470.33,3463.5
2026-03-12 00:00:00,3550.35,3549
2026-03-11 00:00:00,3483.51,3100
2026-03-10 00:00:00,3429.51,3100
2026-03-09 00:00:00,3407.97,3350
2026-03-06 00:00:00,3493.4,3100
2026-03-05 00:00:00,3293.14,3100
2026-03-04 00:00:00,3344.41,3100
2026-03-03 00:00:00,3255.36,3100
2026-03-02 00:00:00,3184.21,2900
2026-02-27 00:00:00,3127.91,3127
2026-02-26 00:00:00,3144.86,2900
2026-02-25 00:00:00,3150.1,3152.5
2026-02-24 00:00:00,3066.88,2919
2026-02-23 00:00:00,3061.51,2900
2026-02-20 00:00:00,3078.88,2900
2026-02-19 00:00:00,3040.57,2900
2026-02-18 00:00:00,3055.49,2900
2026-02-17 00:00:00,2998.52,2919
2026-02-16 00:00:00,3016.99,2919
2026-02-13 00:00:00,3042.23,2919
2026-02-12 00:00:00,3067.84,2919
2026-02-11 00:00:00,3071.12,2919
2026-02-10 00:00:00,3058.66,2919
2026-02-09 00:00:00,3099.33,2919
2026-02-06 00:00:00,3062.68,2919
2026-02-05 00:00:00,3001.23,2919
2026-02-04 00:00:00,3041.78,2900
2026-02-03 00:00:00,3083.51,2900
2026-02-02 00:00:00,3033.68,2900
2026-01-30 00:00:00,3117.34,3000
2026-01-29 00:00:00,3195.25,3060
2026-01-28 00:00:00,3252.17,3060
2026-01-27 00:00:00,3201.29,3060
2026-01-26 00:00:00,3181.19,3060
2026-01-23 00:00:00,3165.25,3060
2026-01-22 00:00:00,3113.52,3060
2026-01-21 00:00:00,3101.02,3060
2026-01-20 00:00:00,3094.88,3000
2026-01-19 00:00:00,3174.1,3177
2026-01-16 00:00:00,3142.85,3100
2026-01-15 00:00:00,3168.92,2900
2026-01-14 00:00:00,3202.58,2900
2026-01-13 00:00:00,3219.59,2900
2026-01-12 00:00:00,3194.9,2900
2026-01-09 00:00:00,3144.3,2900
2026-01-08 00:00:00,3084.63,3083
2026-01-07 00:00:00,3071.17,3059
2026-01-06 00:00:00,3106.3,2700
2026-01-05 00:00:00,3057.81,2700
2026-01-02 00:00:00,2990.56,2700
2025-12-31 00:00:00,2968,2700
2025-12-30 00:00:00,2947.6,2947.5
2025-12-29 00:00:00,2914.49,2700
2025-12-24 00:00:00,2925.83,2700
2025-12-23 00:00:00,2903.41,2902
2025-12-22 00:00:00,2901.02,2700
2025-12-19 00:00:00,2904.85,2700
2025-12-18 00:00:00,2871.73,2861
2025-12-17 00:00:00,2857.81,2700
2025-12-16 00:00:00,2833.17,2700
2025-12-15 00:00:00,2821.51,2840.75
2025-12-12 00:00:00,2835.95,2820
2025-12-11 00:00:00,2873.32,2700
2025-12-10 00:00:00,2838.49,2700
2025-12-09 00:00:00,2824.14,2700
2025-12-08 00:00:00,2855.86,2700
2025-12-05 00:00:00,2868.28,2700
2025-12-04 00:00:00,2873.75,2700
2025-12-03 00:00:00,2866.02,2700
2025-12-02 00:00:00,2835.37,2700
2025-12-01 00:00:00,2865.49,2700
2025-11-28 00:00:00,2842.05,2835.5
2025-11-27 00:00:00,2800.05,2700
2025-11-26 00:00:00,2834.16,2700
2025-11-25 00:00:00,2770.05,2700
2025-11-24 00:00:00,2779.2,2700
2025-11-21 00:00:00,2755.13,2700
