Date,PX_LAST,PX_BID
2026-06-30 00:00:00,13375,13379
2026-06-29 00:00:00,13278.5,13335.5
2026-06-26 00:00:00,13357.5,13319.5
2026-06-25 00:00:00,13270,13299.5
2026-06-24 00:00:00,13086.5,13026
2026-06-23 00:00:00,13371,13374.5
2026-06-22 00:00:00,13649,13671
2026-06-19 00:00:00,13595,13587.5
2026-06-18 00:00:00,13690.5,13656
2026-06-17 00:00:00,13814.5,13822
2026-06-16 00:00:00,13774,13812
2026-06-15 00:00:00,13745,13796
2026-06-12 00:00:00,13698,13713.5
2026-06-11 00:00:00,13482.5,13573
2026-06-10 00:00:00,13515.5,13447.5
2026-06-09 00:00:00,13615,13550
2026-06-08 00:00:00,13615.5,13590
2026-06-05 00:00:00,13519.5,13515.5
2026-06-04 00:00:00,13932,13905
2026-06-03 00:00:00,13825,13785.5
2026-06-02 00:00:00,14040.5,13984.5
2026-06-01 00:00:00,13832,13875.5
2026-05-29 00:00:00,13636,13606
2026-05-28 00:00:00,13701.5,13741.5
2026-05-27 00:00:00,13531,13514
2026-05-26 00:00:00,13623.5,13610
2026-05-22 00:00:00,13667.5,13615
2026-05-21 00:00:00,13515.5,13610
2026-05-20 00:00:00,13655.5,13640
2026-05-19 00:00:00,13411,13426
2026-05-18 00:00:00,13587.5,13585
2026-05-15 00:00:00,13555,13536
2026-05-14 00:00:00,13938.5,13975.5
2026-05-13 00:00:00,14153,14083
2026-05-12 00:00:00,14021,14075
2026-05-11 00:00:00,13943,13914
2026-05-08 00:00:00,13573,13533.5
2026-05-07 00:00:00,13393,13319
2026-05-06 00:00:00,13392,13387.5
2026-05-05 00:00:00,13134.5,13095.5
2026-05-01 00:00:00,12996.5,12948
2026-04-30 00:00:00,12987,13006.5
2026-04-29 00:00:00,13004.5,12991
2026-04-28 00:00:00,13036.5,13023
2026-04-27 00:00:00,13213,13228
2026-04-24 00:00:00,13309.5,13289.5
2026-04-23 00:00:00,13355.5,13306.5
2026-04-22 00:00:00,13433,13470
2026-04-21 00:00:00,13230.5,13155
2026-04-20 00:00:00,13275,13245.5
2026-04-17 00:00:00,13347,13335.5
2026-04-16 00:00:00,13270.5,13240
2026-04-15 00:00:00,13247.5,13271.5
2026-04-14 00:00:00,13284.5,13287.5
2026-04-13 00:00:00,13053.5,13121
2026-04-10 00:00:00,12845.5,12852
2026-04-09 00:00:00,12681.5,12702
2026-04-08 00:00:00,12709,12706
2026-04-07 00:00:00,12313,12323.5
2026-04-02 00:00:00,12359.5,12341
2026-04-01 00:00:00,12434.5,12463.5
2026-03-31 00:00:00,12335.5,12378
2026-03-30 00:00:00,12223.5,12184.5
2026-03-27 00:00:00,12195,12138.5
2026-03-26 00:00:00,12147,12120.5
2026-03-25 00:00:00,12321.5,12287.5
2026-03-24 00:00:00,12100.5,12099
2026-03-23 00:00:00,12167,12220.5
2026-03-20 00:00:00,11929.5,11833
2026-03-19 00:00:00,12146.5,12206.5
2026-03-18 00:00:00,12395.5,12340
2026-03-17 00:00:00,12775,12776
2026-03-16 00:00:00,12855.5,12917.5
2026-03-13 00:00:00,12780.5,12736
2026-03-12 00:00:00,12999.5,12943.5
2026-03-11 00:00:00,13042,13046
2026-03-10 00:00:00,13140,13096.5
2026-03-09 00:00:00,12954,12916
2026-03-06 00:00:00,12862,12870
2026-03-05 00:00:00,12902,12858
2026-03-04 00:00:00,13057.5,13021.5
2026-03-03 00:00:00,12955,12964.5
2026-03-02 00:00:00,13108,13078.5
2026-02-27 00:00:00,13343.5,13296
2026-02-26 00:00:00,13304.5,13257.5
2026-02-25 00:00:00,13322.5,13337.5
2026-02-24 00:00:00,13166.5,13195
