Date,PX_LAST,PX_BID
2026-06-30 00:00:00,13348.9,13348
2026-06-29 00:00:00,13252.81,13298.5
2026-06-26 00:00:00,13335.92,13225.5
2026-06-25 00:00:00,13227.58,13205.5
2026-06-24 00:00:00,13029.71,12932
2026-06-23 00:00:00,13302.84,13280.5
2026-06-22 00:00:00,13580.37,13588.5
2026-06-19 00:00:00,13526.62,13500
2026-06-18 00:00:00,13624.19,13562
2026-06-17 00:00:00,13763.45,13728
2026-06-16 00:00:00,13699.9,13729.5
2026-06-15 00:00:00,13669.66,13723.5
2026-06-12 00:00:00,13645.33,13656
2026-06-11 00:00:00,13448.01,13489.5
2026-06-10 00:00:00,13466.23,13363
2026-06-09 00:00:00,13573.34,13502.5
2026-06-08 00:00:00,13592.08,13519
2026-06-05 00:00:00,13490.32,13460
2026-06-04 00:00:00,13920.49,13845
2026-06-03 00:00:00,13802.37,13686
2026-06-02 00:00:00,14036.66,13885
2026-06-01 00:00:00,13808.12,13843.5
2026-05-29 00:00:00,13599.71,13506.5
2026-05-28 00:00:00,13656.19,13673.5
2026-05-27 00:00:00,13465.16,13446
2026-05-26 00:00:00,13565.69,13530
2026-05-22 00:00:00,13614.84,13515.5
2026-05-21 00:00:00,13455.86,13510.5
2026-05-20 00:00:00,13595.63,13540.5
2026-05-19 00:00:00,13333.9,13343
2026-05-18 00:00:00,13532.18,13522
2026-05-15 00:00:00,13503.11,13450.5
2026-05-14 00:00:00,13894.74,13879.5
2026-05-13 00:00:00,14109.48,14040
2026-05-12 00:00:00,13958.9,13979
2026-05-11 00:00:00,13893.11,13847.5
2026-05-08 00:00:00,13515.39,13437.5
2026-05-07 00:00:00,13331.26,13238
2026-05-06 00:00:00,13319.94,13296.5
2026-05-05 00:00:00,13059.15,13002.5
2026-05-01 00:00:00,12916.4,12850
2026-04-30 00:00:00,12910.76,12906.5
2026-04-29 00:00:00,12924.39,12903
2026-04-28 00:00:00,12951.12,12923
2026-04-27 00:00:00,13139.25,13128
2026-04-24 00:00:00,13246.81,13189.5
2026-04-23 00:00:00,13300.69,13206.5
2026-04-22 00:00:00,13374.19,13397
2026-04-21 00:00:00,13163.82,13077
2026-04-20 00:00:00,13199.54,13164
2026-04-17 00:00:00,13281.92,12570
2026-04-16 00:00:00,13206.2,13165
2026-04-15 00:00:00,13188.66,13214.5
2026-04-14 00:00:00,13252.99,13222.5
2026-04-13 00:00:00,12996.39,13036
2026-04-10 00:00:00,12819.36,12742
2026-04-09 00:00:00,12585.91,12587
2026-04-08 00:00:00,12611.86,12500
2026-04-07 00:00:00,12228.36,12200
2026-04-02 00:00:00,12287.94,12100
2026-04-01 00:00:00,12349.09,12032
2026-03-31 00:00:00,12256.76,12100
2026-03-30 00:00:00,12140.95,12050
2026-03-27 00:00:00,12124.14,12062.5
2026-03-26 00:00:00,12076.79,12041
2026-03-25 00:00:00,12250.27,12000
2026-03-24 00:00:00,12008.77,11900
2026-03-23 00:00:00,12081.74,12130.5
2026-03-20 00:00:00,11834.73,11730
2026-03-19 00:00:00,12046.38,11700
2026-03-18 00:00:00,12288.28,12219.5
2026-03-17 00:00:00,12661.53,12661
2026-03-16 00:00:00,12753.5,12600
2026-03-13 00:00:00,12677.8,12631
2026-03-12 00:00:00,12897.39,12838.5
2026-03-11 00:00:00,12940.1,12825
2026-03-10 00:00:00,13047.61,13005.5
2026-03-09 00:00:00,12886.78,12847
2026-03-06 00:00:00,12817.14,12815
2026-03-05 00:00:00,12857.44,12806
2026-03-04 00:00:00,13038.47,12966.5
2026-03-03 00:00:00,12911.05,12869.5
2026-03-02 00:00:00,13033.99,13000
2026-02-27 00:00:00,13294.03,13224
2026-02-26 00:00:00,13234.97,12550
2026-02-25 00:00:00,13245.98,13230
2026-02-24 00:00:00,13078.3,13087.5
2026-02-23 00:00:00,12784.9,12680
2026-02-20 00:00:00,12880.95,12680
2026-02-19 00:00:00,12713.58,12736
2026-02-18 00:00:00,12816.75,12450
2026-02-17 00:00:00,12510.13,12548.5
2026-02-16 00:00:00,12738.37,12707
2026-02-13 00:00:00,12774.57,12600
2026-02-12 00:00:00,12780.79,12753.5
2026-02-11 00:00:00,13090.49,13149
2026-02-10 00:00:00,13031.9,13006
2026-02-09 00:00:00,13099.13,13097
2026-02-06 00:00:00,12923.05,12700
2026-02-05 00:00:00,12825.42,12750
2026-02-04 00:00:00,12962.66,12937
2026-02-03 00:00:00,13408.6,13323
2026-02-02 00:00:00,12832.33,12800
2026-01-30 00:00:00,13067.62,12970.5
2026-01-29 00:00:00,13524.24,12750
2026-01-28 00:00:00,12985.41,13013
2026-01-27 00:00:00,12912.7,12928
2026-01-26 00:00:00,13127.93,12750
2026-01-23 00:00:00,13048.94,13051.5
2026-01-22 00:00:00,12672.66,12500
2026-01-21 00:00:00,12780.89,12638
2026-01-20 00:00:00,12855.34,12900.5
2026-01-19 00:00:00,13033.05,12960
2026-01-16 00:00:00,12864.52,12868
2026-01-15 00:00:00,13143.6,12980
2026-01-14 00:00:00,13232.79,13139.5
2026-01-13 00:00:00,13254.23,13213
