Date,PX_LAST,PX_BID
2026-06-30 00:00:00,55859,55360
2026-06-29 00:00:00,55858,55360
2026-06-26 00:00:00,55870,55370
2026-06-25 00:00:00,55865,55365
2026-06-24 00:00:00,55853,55355
2026-06-23 00:00:00,55852,55350
2026-06-22 00:00:00,55851,55350
2026-06-19 00:00:00,55863,55365
2026-06-18 00:00:00,55858,55360
2026-06-17 00:00:00,55862,55360
2026-06-16 00:00:00,55845,55345
2026-06-15 00:00:00,55845,55345
2026-06-12 00:00:00,55862,55360
2026-06-11 00:00:00,55856.5,55355
2026-06-10 00:00:00,55846,55345
2026-06-09 00:00:00,55846,55345
2026-06-08 00:00:00,55846,55345
2026-06-05 00:00:00,55863,55365
2026-06-04 00:00:00,55858,55360
2026-06-03 00:00:00,55847,55345
2026-06-02 00:00:00,55847,55345
2026-06-01 00:00:00,55847,55345
2026-05-29 00:00:00,55863.5,55365
2026-05-28 00:00:00,55858,55360
2026-05-27 00:00:00,55847,55345
2026-05-26 00:00:00,55846.5,55345
2026-05-22 00:00:00,55868,55370
2026-05-21 00:00:00,55862.5,55360
2026-05-20 00:00:00,55846,55345
2026-05-19 00:00:00,55845.5,55345
2026-05-18 00:00:00,55844.5,55345
2026-05-15 00:00:00,55858.25,55360
2026-05-14 00:00:00,55854,55355
2026-05-13 00:00:00,55845.75,55345
2026-05-12 00:00:00,55845.5,55345
2026-05-11 00:00:00,55845.25,55345
2026-05-08 00:00:00,55859,55360
2026-05-07 00:00:00,55854.75,55355
2026-05-06 00:00:00,55846,55345
2026-05-05 00:00:00,55845.5,55345
2026-05-01 00:00:00,55863,55365
2026-04-30 00:00:00,55863,55365
2026-04-29 00:00:00,55850,55350
2026-04-28 00:00:00,55850,55350
2026-04-27 00:00:00,55850,55350
2026-04-24 00:00:00,55858,55360
2026-04-23 00:00:00,55858,55360
2026-04-22 00:00:00,55849,55350
2026-04-21 00:00:00,55849,55350
2026-04-20 00:00:00,55849,55350
2026-04-17 00:00:00,55858,55360
2026-04-16 00:00:00,55858,55360
2026-04-15 00:00:00,55849,55350
2026-04-14 00:00:00,55850,55350
2026-04-13 00:00:00,55851,55350
2026-04-10 00:00:00,55862,55360
2026-04-09 00:00:00,55862,55360
2026-04-08 00:00:00,55851,55350
2026-04-07 00:00:00,55851,55350
2026-04-02 00:00:00,55873,55375
2026-04-01 00:00:00,55873,55375
2026-03-31 00:00:00,55851,55350
2026-03-30 00:00:00,55846,55345
2026-03-27 00:00:00,55862.5,55360
2026-03-26 00:00:00,55857,55355
2026-03-25 00:00:00,55846,55345
2026-03-24 00:00:00,55846,55345
2026-03-23 00:00:00,55846,55345
2026-03-20 00:00:00,55845.5,55345
2026-03-19 00:00:00,55840,55340
2026-03-18 00:00:00,55845,55345
2026-03-17 00:00:00,55845,55345
2026-03-16 00:00:00,55845,55345
2026-03-13 00:00:00,55861.5,55360
2026-03-12 00:00:00,55856,55355
2026-03-11 00:00:00,55845,55345
2026-03-10 00:00:00,55845,55345
2026-03-09 00:00:00,55846,55345
2026-03-06 00:00:00,55862.5,55360
2026-03-05 00:00:00,55857,55355
2026-03-04 00:00:00,55846,55345
2026-03-03 00:00:00,55846,55345
2026-03-02 00:00:00,55846,55345
2026-02-27 00:00:00,55873,55375
2026-02-26 00:00:00,55872.5,55370
2026-02-25 00:00:00,55856.5,55355
2026-02-24 00:00:00,55851,55350
2026-02-23 00:00:00,55866.5,55365
2026-02-20 00:00:00,55872,55370
2026-02-19 00:00:00,55871.5,55370
2026-02-18 00:00:00,55860,55360
2026-02-17 00:00:00,55854.5,55355
2026-02-16 00:00:00,55862,55360
2026-02-13 00:00:00,55865.5,55365
2026-02-12 00:00:00,55870,55370
2026-02-11 00:00:00,55852.5,55350
2026-02-10 00:00:00,55847,55345
2026-02-09 00:00:00,55854.5,55355
2026-02-06 00:00:00,55858,55360
2026-02-05 00:00:00,55856.5,55355
2026-02-04 00:00:00,55840,55340
2026-02-03 00:00:00,55834,55335
2026-02-02 00:00:00,55846,55345
2026-01-30 00:00:00,55845,55345
2026-01-29 00:00:00,55844,55345
2026-01-28 00:00:00,55832,55330
2026-01-27 00:00:00,55831,55330
2026-01-26 00:00:00,55826,55325
2026-01-23 00:00:00,55838,55340
2026-01-22 00:00:00,55837,55335
2026-01-21 00:00:00,55825,55325
2026-01-20 00:00:00,55824,55325
2026-01-19 00:00:00,55819,55320
2026-01-16 00:00:00,55832,55330
2026-01-15 00:00:00,55836,55335
2026-01-14 00:00:00,55824,55325
2026-01-13 00:00:00,55826,55325
2026-01-12 00:00:00,55822,55320
2026-01-09 00:00:00,55840,55340
2026-01-08 00:00:00,55841,55340
2026-01-07 00:00:00,55834,55335
2026-01-06 00:00:00,55830,53875
2026-01-05 00:00:00,54370,52385
2026-01-02 00:00:00,52910,52410
2025-12-31 00:00:00,52917,52415
2025-12-30 00:00:00,52910.5,51845
2025-12-29 00:00:00,52337,51835
2025-12-24 00:00:00,52365.5,51865
2025-12-23 00:00:00,52367,51865
2025-12-22 00:00:00,52346,51845
2025-12-19 00:00:00,52363,51865
2025-12-18 00:00:00,52364,51865
2025-12-17 00:00:00,52356,51855
2025-12-16 00:00:00,52358,51860
2025-12-15 00:00:00,52354,51855
2025-12-12 00:00:00,52370.75,51870
2025-12-11 00:00:00,52371,51870
2025-12-10 00:00:00,52360,51290
2025-12-09 00:00:00,51789.5,51290
2025-12-08 00:00:00,51784,51285
2025-12-05 00:00:00,51800,50560
2025-12-04 00:00:00,51061,49115
2025-12-03 00:00:00,49605.5,49105
2025-12-02 00:00:00,49605.5,49105
2025-12-01 00:00:00,49600,47635
2025-11-28 00:00:00,48144,47645
2025-11-27 00:00:00,48139,47640
2025-11-26 00:00:00,48128,47630
2025-11-25 00:00:00,48133,47635
2025-11-24 00:00:00,48128,47630
2025-11-21 00:00:00,48144,47645
2025-11-20 00:00:00,48139,47640
2025-11-19 00:00:00,48128,47630
2025-11-18 00:00:00,48128,47630
2025-11-17 00:00:00,48128,47630
2025-11-14 00:00:00,48146,47645
2025-11-13 00:00:00,48142,47640
2025-11-12 00:00:00,48135,47635
2025-11-11 00:00:00,48136,47635
2025-11-10 00:00:00,48137,47635
2025-11-07 00:00:00,48159,47660
2025-11-06 00:00:00,48151,47650
2025-11-05 00:00:00,48143,47645
2025-11-04 00:00:00,48144,47645
2025-11-03 00:00:00,48145,47645
2025-10-31 00:00:00,48163,47665
2025-10-30 00:00:00,48159,47660
2025-10-29 00:00:00,48151,47650
2025-10-28 00:00:00,48152,47650
2025-10-27 00:00:00,48153,47655
2025-10-24 00:00:00,48171,47670
2025-10-23 00:00:00,48167,47665
2025-10-22 00:00:00,48160,46200
2025-10-21 00:00:00,46700,44740
2025-10-20 00:00:00,45240,43265
2025-10-17 00:00:00,43780,41820
2025-10-16 00:00:00,42318,41820
2025-10-15 00:00:00,42309,41810
2025-10-14 00:00:00,42309,41810
2025-10-13 00:00:00,42309,41810
2025-10-10 00:00:00,42320,40960
2025-10-09 00:00:00,41460,39515
2025-10-08 00:00:00,40000,38040
2025-10-07 00:00:00,38540,35550
2025-10-06 00:00:00,36050,36050
2025-10-03 00:00:00,34589,34090
2025-10-02 00:00:00,34584,34085
2025-10-01 00:00:00,34568,34070
2025-09-30 00:00:00,34576,34075
2025-09-29 00:00:00,34575,34075
2025-09-26 00:00:00,34569.5,34070
2025-09-25 00:00:00,34586,33635
2025-09-24 00:00:00,34120,33620
2025-09-23 00:00:00,34119,33620
2025-09-22 00:00:00,34118,33620
2025-09-19 00:00:00,34126,33625
2025-09-18 00:00:00,34125,34125
2025-09-17 00:00:00,32896,32395
2025-09-16 00:00:00,32896,32395
2025-09-15 00:00:00,32895.5,32395
2025-09-12 00:00:00,32906,32405
2025-09-11 00:00:00,32906.5,32405
2025-09-10 00:00:00,32895.5,32395
2025-09-09 00:00:00,32896,32395
2025-09-08 00:00:00,32896,32395
2025-09-05 00:00:00,32907,32405
2025-09-04 00:00:00,32907,32405
2025-09-03 00:00:00,32896.5,32395
2025-09-02 00:00:00,32896.5,32395
2025-09-01 00:00:00,32896.5,32395
2025-08-29 00:00:00,32907,32405
2025-08-28 00:00:00,32907,32405
2025-08-27 00:00:00,32885.5,32385
2025-08-26 00:00:00,32890.5,32390
2025-08-22 00:00:00,32911.5,32410
2025-08-21 00:00:00,32906,32405
2025-08-20 00:00:00,32890,32390
2025-08-19 00:00:00,32890,32390
2025-08-18 00:00:00,32888.5,32390
2025-08-15 00:00:00,32901.25,32400
2025-08-14 00:00:00,32897,32395
2025-08-13 00:00:00,32888.5,32390
2025-08-12 00:00:00,32889,32390
2025-08-11 00:00:00,32884.5,32385
2025-08-08 00:00:00,32901.75,32400
2025-08-07 00:00:00,32897.5,32395
2025-08-06 00:00:00,32889,32390
2025-08-05 00:00:00,32889,32390
2025-08-04 00:00:00,32889,32390
2025-08-01 00:00:00,32901.5,32400
2025-07-31 00:00:00,32897.5,32395
2025-07-30 00:00:00,32889,32390
2025-07-29 00:00:00,32889.5,32390
2025-07-28 00:00:00,32889.5,32390
2025-07-25 00:00:00,32902.5,32400
2025-07-24 00:00:00,32898,32600
2025-07-23 00:00:00,32890,32390
2025-07-22 00:00:00,32890,32390
2025-07-21 00:00:00,32889.5,32390
2025-07-18 00:00:00,32902.5,32400
2025-07-17 00:00:00,32898.5,32400
2025-07-16 00:00:00,32889.5,32390
2025-07-15 00:00:00,32889,32390
2025-07-14 00:00:00,32889.5,32390
2025-07-11 00:00:00,32906.25,32405
2025-07-10 00:00:00,32901,32400
2025-07-09 00:00:00,32890.5,32390
2025-07-08 00:00:00,32890.5,32390
2025-07-07 00:00:00,32890.5,32390
2025-07-04 00:00:00,32906.5,32405
2025-07-03 00:00:00,32901.5,32400
2025-07-02 00:00:00,32906.5,32405
2025-07-01 00:00:00,32890.5,32390
2025-06-30 00:00:00,32890.5,32390
2025-06-27 00:00:00,32906.5,32405
2025-06-26 00:00:00,32901,32400
2025-06-25 00:00:00,32890.5,32390
2025-06-24 00:00:00,32890.5,32390
2025-06-23 00:00:00,32890.5,32390
2025-06-20 00:00:00,32906.5,32405
2025-06-19 00:00:00,32901,32400
2025-06-18 00:00:00,32890,32390
2025-06-17 00:00:00,32895,32395
2025-06-16 00:00:00,32890,32390
2025-06-13 00:00:00,32906,32405
2025-06-12 00:00:00,32900.5,32400
2025-06-11 00:00:00,32889,32390
2025-06-10 00:00:00,32889,32390
2025-06-09 00:00:00,32889,32390
2025-06-06 00:00:00,32906,32770
2025-06-05 00:00:00,33266,32765
2025-06-04 00:00:00,33255,32755
2025-06-03 00:00:00,33254,32755
2025-06-02 00:00:00,33254,32755
2025-05-30 00:00:00,33269.5,32770
2025-05-29 00:00:00,33264,32765
2025-05-28 00:00:00,33253,32755
2025-05-27 00:00:00,33253,32755
2025-05-23 00:00:00,33274,32775
2025-05-22 00:00:00,33269,32770
2025-05-21 00:00:00,33252,32750
2025-05-20 00:00:00,33252,32750
2025-05-19 00:00:00,33251,32750
2025-05-16 00:00:00,33264,32765
2025-05-15 00:00:00,33260,32760
2025-05-14 00:00:00,33252,32750
2025-05-13 00:00:00,33252,32750
2025-05-12 00:00:00,33252,
2025-05-09 00:00:00,33265,32765
2025-05-08 00:00:00,33261,32760
2025-05-07 00:00:00,33252,32750
2025-05-06 00:00:00,33252,32750
2025-05-02 00:00:00,33270,32770
2025-05-01 00:00:00,33266,32765
2025-04-30 00:00:00,33258,32760
2025-04-29 00:00:00,33258,32760
2025-04-28 00:00:00,33258,32760
2025-04-25 00:00:00,33267,32765
2025-04-24 00:00:00,33267,32765
2025-04-23 00:00:00,33258,32760
2025-04-22 00:00:00,33258,32760
2025-04-17 00:00:00,33275,32775
2025-04-16 00:00:00,33275,32775
2025-04-15 00:00:00,33260,32760
2025-04-14 00:00:00,33262,32760
2025-04-11 00:00:00,33278,32780
2025-04-10 00:00:00,33284,32785
2025-04-09 00:00:00,33290,32790
2025-04-08 00:00:00,33296,32795
2025-04-07 00:00:00,33302,32800
2025-04-04 00:00:00,33302,33025
2025-04-03 00:00:00,33549,33050
2025-04-02 00:00:00,33554,33095
2025-04-01 00:00:00,33599,33100
2025-03-31 00:00:00,33604,33105
2025-03-28 00:00:00,33620,33000
2025-03-27 00:00:00,33500,32765
2025-03-26 00:00:00,33269,32770
2025-03-25 00:00:00,33274,32775
2025-03-24 00:00:00,33279,32780
2025-03-21 00:00:00,33300,32800
2025-03-20 00:00:00,33300,35360
2025-03-19 00:00:00,35859,35360
2025-03-18 00:00:00,35870,35370
2025-03-17 00:00:00,35876,35375
2025-03-14 00:00:00,35900,35400
2025-03-13 00:00:00,35900,32795
2025-03-12 00:00:00,33300,33290
2025-03-11 00:00:00,28950,26990
2025-03-10 00:00:00,27498,26210
2025-03-07 00:00:00,26730,25500
2025-03-06 00:00:00,26000,24495
2025-03-05 00:00:00,25000,23695
2025-03-04 00:00:00,24200,23495
2025-03-03 00:00:00,24000,23270
2025-02-28 00:00:00,23800,23800
2025-02-27 00:00:00,22850,22200
2025-02-26 00:00:00,22700,21600
2025-02-25 00:00:00,22100,20865
2025-02-24 00:00:00,21388,20890
2025-02-21 00:00:00,21399,20900
2025-02-20 00:00:00,21403,20905
2025-02-19 00:00:00,21408,20910
2025-02-18 00:00:00,21408,20910
2025-02-17 00:00:00,21422,20920
2025-02-14 00:00:00,21431.5,20930
2025-02-13 00:00:00,21436,20935
2025-02-12 00:00:00,21440,20940
2025-02-11 00:00:00,21440,20940
2025-02-10 00:00:00,21453,20955
2025-02-07 00:00:00,21462,20960
2025-02-06 00:00:00,21466,20965
2025-02-05 00:00:00,21466,20965
2025-02-04 00:00:00,21466,20965
2025-02-03 00:00:00,21483,20985
2025-01-31 00:00:00,21492,20990
2025-01-30 00:00:00,21492,20990
2025-01-29 00:00:00,21496,20995
2025-01-28 00:00:00,21500,23200
2025-01-27 00:00:00,23700,23750
2025-01-24 00:00:00,24267,23765
2025-01-23 00:00:00,24271,23770
2025-01-22 00:00:00,24275,23775
2025-01-21 00:00:00,24275,23775
2025-01-20 00:00:00,24275,23775
2025-01-17 00:00:00,24296,23795
2025-01-16 00:00:00,24300,23800
2025-01-15 00:00:00,24300,23800
2025-01-14 00:00:00,24300,23800
2025-01-13 00:00:00,24300,23800
2025-01-10 00:00:00,24300,23800
2025-01-09 00:00:00,24300,23800
2025-01-08 00:00:00,24300,23800
2025-01-07 00:00:00,24300,23800
2025-01-06 00:00:00,24300,23800
2025-01-03 00:00:00,24300,23800
2025-01-02 00:00:00,24300,23800
2024-12-31 00:00:00,24300,23800
2024-12-30 00:00:00,24300,23800
2024-12-27 00:00:00,24300,23800
2024-12-24 00:00:00,24300,23800
2024-12-23 00:00:00,24300,23800
2024-12-20 00:00:00,24300,23800
2024-12-19 00:00:00,24300,23800
2024-12-18 00:00:00,24300,23800
2024-12-17 00:00:00,24300,23800
2024-12-16 00:00:00,24300,23800
2024-12-13 00:00:00,24300,23800
2024-12-12 00:00:00,24300,23800
2024-12-11 00:00:00,24300,23800
2024-12-10 00:00:00,24300,23800
2024-12-09 00:00:00,24300,23800
2024-12-06 00:00:00,24300,23800
2024-12-05 00:00:00,24300,23800
2024-12-04 00:00:00,24300,23800
2024-12-03 00:00:00,24300,23800
2024-12-02 00:00:00,24300,23800
2024-11-29 00:00:00,24300,23800
2024-11-28 00:00:00,24300,23800
2024-11-27 00:00:00,24300,23800
2024-11-26 00:00:00,24300,23800
2024-11-25 00:00:00,24300,23800
2024-11-22 00:00:00,24300,23800
2024-11-21 00:00:00,24300,23800
2024-11-20 00:00:00,24300,23800
2024-11-19 00:00:00,24300,23800
2024-11-18 00:00:00,24300,23800
2024-11-15 00:00:00,24298.25,23800
2024-11-14 00:00:00,24296.5,23795
2024-11-13 00:00:00,24291.25,23790
2024-11-12 00:00:00,24289.5,23790
2024-11-11 00:00:00,24287.75,23790
2024-11-08 00:00:00,24286,23785
2024-11-07 00:00:00,24286,23785
2024-11-06 00:00:00,24279,23780
2024-11-05 00:00:00,24277,23775
2024-11-04 00:00:00,24275,23775
