Date,PX_LAST,PX_BID
2026-06-30 00:00:00,16287,16320
2026-06-29 00:00:00,16311,16350
2026-06-26 00:00:00,16699,16800
2026-06-25 00:00:00,16824,16875
2026-06-24 00:00:00,16818,16785
2026-06-23 00:00:00,17172,17210
2026-06-22 00:00:00,17754,17705
2026-06-19 00:00:00,17580,17540
2026-06-18 00:00:00,17842,17785
2026-06-17 00:00:00,18060,18065
2026-06-16 00:00:00,17996,17935
2026-06-15 00:00:00,17911,17815
2026-06-12 00:00:00,17830,17785
2026-06-11 00:00:00,17693,17790
2026-06-10 00:00:00,17678,17735
2026-06-09 00:00:00,18064,17990
2026-06-08 00:00:00,18341,18380
2026-06-05 00:00:00,18581,18575
2026-06-04 00:00:00,18689,18640
2026-06-03 00:00:00,18871,18820
2026-06-02 00:00:00,19248,19220
2026-06-01 00:00:00,19251,19225
2026-05-29 00:00:00,19062,18950
2026-05-28 00:00:00,19101,19065
2026-05-27 00:00:00,18943,18890
2026-05-26 00:00:00,18973,19000
2026-05-22 00:00:00,18913,18865
2026-05-21 00:00:00,18727,18760
2026-05-20 00:00:00,18929,18860
2026-05-19 00:00:00,18806,18785
2026-05-18 00:00:00,18567,18550
2026-05-15 00:00:00,18497,18560
2026-05-14 00:00:00,18899,18920
2026-05-13 00:00:00,19177,19160
2026-05-12 00:00:00,18952,18900
2026-05-11 00:00:00,19253,19255
2026-05-08 00:00:00,18892,18940
2026-05-07 00:00:00,19143,19085
2026-05-06 00:00:00,19199,19190
2026-05-05 00:00:00,19642,19605
2026-05-01 00:00:00,19365,19375
2026-04-30 00:00:00,19468,19360
2026-04-29 00:00:00,19272,19210
2026-04-28 00:00:00,19450,19430
2026-04-27 00:00:00,19097,19140
2026-04-24 00:00:00,19015,19110
2026-04-23 00:00:00,18737,18755
2026-04-22 00:00:00,18462,18450
2026-04-21 00:00:00,18225,18145
2026-04-20 00:00:00,18250,18235
2026-04-17 00:00:00,18117,17985
2026-04-16 00:00:00,18239,18275
2026-04-15 00:00:00,18133,18200
2026-04-14 00:00:00,18206,18185
2026-04-13 00:00:00,17698,17715
2026-04-10 00:00:00,17241,17290
2026-04-09 00:00:00,17088,17215
2026-04-08 00:00:00,17302,17260
2026-04-07 00:00:00,16948,17000
2026-04-02 00:00:00,17086,17075
2026-04-01 00:00:00,17209,17270
2026-03-31 00:00:00,17110,17180
2026-03-30 00:00:00,17263,17300
2026-03-27 00:00:00,17186,17210
2026-03-26 00:00:00,17253,17155
2026-03-25 00:00:00,17344,17335
2026-03-24 00:00:00,16950,16960
2026-03-23 00:00:00,17082,17165
2026-03-20 00:00:00,17019,16860
2026-03-19 00:00:00,16984,17045
2026-03-18 00:00:00,17151,17160
2026-03-17 00:00:00,17195,17260
2026-03-16 00:00:00,17465,17485
2026-03-13 00:00:00,17266,17295
2026-03-12 00:00:00,17742,17745
2026-03-11 00:00:00,17693,17705
2026-03-10 00:00:00,17488,17515
2026-03-09 00:00:00,17469,17405
2026-03-06 00:00:00,17469,17465
2026-03-05 00:00:00,17218,17205
2026-03-04 00:00:00,17491,17550
2026-03-03 00:00:00,17120,17135
2026-03-02 00:00:00,17160,17200
2026-02-27 00:00:00,17844,17670
2026-02-26 00:00:00,17694,17710
2026-02-25 00:00:00,18085,18035
2026-02-24 00:00:00,17909,17910
2026-02-23 00:00:00,17283,17285
2026-02-20 00:00:00,17350,17405
2026-02-19 00:00:00,17287,17285
2026-02-18 00:00:00,17275,17410
2026-02-17 00:00:00,16861,16825
2026-02-16 00:00:00,17115,17115
2026-02-13 00:00:00,16984,16970
2026-02-12 00:00:00,17428,17245
2026-02-11 00:00:00,17880,18040
2026-02-10 00:00:00,17490,17530
2026-02-09 00:00:00,17349,17405
2026-02-06 00:00:00,17090,17195
2026-02-05 00:00:00,17071,17035
2026-02-04 00:00:00,17379,17310
2026-02-03 00:00:00,17447,17380
2026-02-02 00:00:00,16827,17020
2026-01-30 00:00:00,17954,17545
