Date,PX_LAST,PX_BID
2026-06-30 00:00:00,3551.5,3552
2026-05-29 00:00:00,3540,3541.5
2026-04-30 00:00:00,3361,3362.5
2026-03-31 00:00:00,3226.5,3213
2026-02-27 00:00:00,3317,3306
2026-01-30 00:00:00,3402,3365
2025-12-31 00:00:00,3117.5,3122.5
2025-11-28 00:00:00,3055.5,3049.5
2025-10-31 00:00:00,3055.5,3049.5
2025-09-30 00:00:00,2960,2953
2025-08-29 00:00:00,2819,2813
2025-07-31 00:00:00,2760.5,2762.5
2025-06-30 00:00:00,2751.5,2741
2025-05-30 00:00:00,2620,2630
2025-04-30 00:00:00,2592.5,2580.5
2025-03-31 00:00:00,2852.5,2852
2025-02-28 00:00:00,2793,2795.5
2025-01-31 00:00:00,2742,2746
2024-12-31 00:00:00,2978.5,2985
2024-11-29 00:00:00,3103,3108.5
2024-10-31 00:00:00,3029,3034.5
2024-09-30 00:00:00,3091,3077.5
2024-08-30 00:00:00,2897,2895
2024-07-31 00:00:00,2675.5,2694
2024-06-28 00:00:00,2937.5,2936.5
2024-05-31 00:00:00,2969.5,2983.5
2024-04-30 00:00:00,2926,2906
2024-03-29 00:00:00,2439,2435
2024-02-29 00:00:00,2426,2421
2024-01-31 00:00:00,2527.5,2526
2023-12-29 00:00:00,2658,2662
2023-11-30 00:00:00,2475.5,2470.5
2023-10-31 00:00:00,2429.5,2418
2023-09-29 00:00:00,2649.5,2654
2023-08-31 00:00:00,2430.5,2431.5
2023-07-31 00:00:00,2565,2574.5
2023-06-30 00:00:00,2388,2390.5
2023-05-31 00:00:00,2248.5,2249
2023-04-28 00:00:00,2647.5,2646
2023-03-31 00:00:00,2922.5,2907.5
2023-02-28 00:00:00,3000.5,3031
2023-01-31 00:00:00,3389,3402
2022-12-30 00:00:00,2972.5,2968
2022-11-30 00:00:00,3037.5,3036.5
2022-10-31 00:00:00,2697,2680
2022-09-30 00:00:00,2968,2970
2022-08-31 00:00:00,3459.5,3463
2022-07-29 00:00:00,3308.5,3305.5
2022-06-30 00:00:00,3157,3141
2022-05-31 00:00:00,3913.5,3904
2022-04-29 00:00:00,4107,4046
2022-03-31 00:00:00,4173.5,4167.5
2022-02-28 00:00:00,3666,3652
2022-01-31 00:00:00,3586,3585
2021-12-31 00:00:00,3534,3527
2021-11-30 00:00:00,3200.5,3184
2021-10-29 00:00:00,3378.5,3390
2021-09-30 00:00:00,2988,3013
2021-08-31 00:00:00,3003.5,3003
2021-07-30 00:00:00,3027,3030
2021-06-30 00:00:00,2974.5,2973
2021-05-31 00:00:00,3060,3070
2021-04-30 00:00:00,2926,2917.5
2021-03-31 00:00:00,2818.5,2805
2021-02-26 00:00:00,2792.5,2783
2021-01-29 00:00:00,2579.5,2572
2020-12-31 00:00:00,2751,2749
2020-11-30 00:00:00,2790.5,2777.5
2020-10-30 00:00:00,2523,2518
2020-09-30 00:00:00,2403,2403
2020-08-31 00:00:00,2515,2513
2020-07-31 00:00:00,2318.5,2311
2020-06-30 00:00:00,2047.5,2037.5
2020-05-29 00:00:00,1988,1986.5
2020-04-30 00:00:00,1939.5,1927.5
2020-03-31 00:00:00,1905.5,1906
2020-02-28 00:00:00,2021.5,2019
2020-01-31 00:00:00,2200,2186
2019-12-31 00:00:00,2272,2275
2019-11-29 00:00:00,2273.5,2275
2019-10-31 00:00:00,2482.5,2486
2019-09-30 00:00:00,2378,2363
2019-08-30 00:00:00,2205,2218
2019-07-31 00:00:00,2444,2438
2019-06-28 00:00:00,2495,2491.5
2019-05-31 00:00:00,2524,2521.5
2019-04-30 00:00:00,2825.5,2824
2019-03-29 00:00:00,2923,2909.5
2019-02-28 00:00:00,2778,2757.5
2019-01-31 00:00:00,2719,2723.5
2018-12-31 00:00:00,2467,2452
2018-11-30 00:00:00,2542,2537
2018-10-31 00:00:00,2493,2485.5
2018-09-28 00:00:00,2612,2597
2018-08-31 00:00:00,2457,2471.5
2018-07-31 00:00:00,2625,2630.5
2018-06-29 00:00:00,2854,2855
2018-05-31 00:00:00,3100,3100
2018-04-30 00:00:00,3127,3120
2018-03-30 00:00:00,3274,3270
2018-02-28 00:00:00,3454,3453.5
2018-01-31 00:00:00,3540,3528.5
2017-12-29 00:00:00,3319,3313
2017-11-30 00:00:00,3156,3135
2017-10-31 00:00:00,3265,3261
2017-09-29 00:00:00,3162,3160
2017-08-31 00:00:00,3146,3157.5
2017-07-31 00:00:00,2795,2797
2017-06-30 00:00:00,2758,2763.5
2017-05-31 00:00:00,2600,2600
2017-04-28 00:00:00,2623,2623.5
2017-03-31 00:00:00,2771,2770
2017-02-28 00:00:00,2825,2821
2017-01-31 00:00:00,2860,2867
2016-12-30 00:00:00,2576,2560.5
2016-11-30 00:00:00,2702,2699.5
2016-10-31 00:00:00,2462,2396.5
2016-09-30 00:00:00,2377,2373.5
2016-08-31 00:00:00,2310,2314
2016-07-29 00:00:00,2243,2246.5
2016-06-30 00:00:00,2104.5,2105
2016-05-31 00:00:00,1923,1925
2016-04-29 00:00:00,1938.5,1937
2016-03-31 00:00:00,1817,1813
2016-02-29 00:00:00,1764,1765
2016-01-29 00:00:00,1623,1615
2015-12-31 00:00:00,1609,1607
2015-11-30 00:00:00,1563,1557.5
2015-10-30 00:00:00,1710,1709
2015-09-30 00:00:00,1688.5,1685.5
2015-08-31 00:00:00,1809.5,1811
2015-07-31 00:00:00,1916,1916
2015-06-30 00:00:00,2000,1999
2015-05-29 00:00:00,2188,2184.5
2015-04-30 00:00:00,2345,2340
2015-03-31 00:00:00,2081,2080
2015-02-27 00:00:00,2065,2065
2015-01-30 00:00:00,2125,2119.5
2014-12-31 00:00:00,2178,2177.25
2014-11-28 00:00:00,2215,2210.25
2014-10-31 00:00:00,2307,2307.25
2014-09-30 00:00:00,2288,2271
2014-08-29 00:00:00,2359,2355
2014-07-31 00:00:00,2360,2358
2014-06-30 00:00:00,2217,2216.75
2014-05-30 00:00:00,2054,2052.5
2014-04-30 00:00:00,2040,2041
2014-03-31 00:00:00,1983,1983
2014-02-28 00:00:00,2073,2064.25
2014-01-31 00:00:00,1972,1970.25
2013-12-31 00:00:00,2055,2052
2013-11-29 00:00:00,1887,1879
2013-10-31 00:00:00,1952,1949
2013-09-30 00:00:00,1918,1917.75
2013-08-30 00:00:00,1905,1901.5
2013-07-31 00:00:00,1843,1844
2013-06-28 00:00:00,1853,1855
2013-05-31 00:00:00,1927,1922.25
2013-04-30 00:00:00,1868,1864.5
2013-03-29 00:00:00,1897,1896
2013-02-28 00:00:00,2065,2066.25
2013-01-31 00:00:00,2145,2144.5
2012-12-31 00:00:00,2080,2063
2012-11-30 00:00:00,2046,2050
2012-10-31 00:00:00,1870,1857.25
2012-09-28 00:00:00,2096,2093.5
2012-08-31 00:00:00,1841,1837
2012-07-31 00:00:00,1842,1842
2012-06-29 00:00:00,1877,1877
2012-05-31 00:00:00,1870.5,1880
2012-04-30 00:00:00,2062.5,2057
2012-03-30 00:00:00,2000,2004.5
2012-02-29 00:00:00,2112,2105
2012-01-31 00:00:00,2106,2096.75
2011-12-30 00:00:00,1845,1840
2011-11-30 00:00:00,2071,2064
2011-10-31 00:00:00,2000,1975.25
2011-09-30 00:00:00,1860,1873.25
2011-08-31 00:00:00,2292,2290.25
2011-07-29 00:00:00,2490,2505
2011-06-30 00:00:00,2365,2345
2011-05-31 00:00:00,2266,2260
2011-04-29 00:00:00,2247,2210
2011-03-31 00:00:00,2362,2360
2011-02-28 00:00:00,2520,2516
2011-01-31 00:00:00,2427,2410
2010-12-31 00:00:00,2454,2440.5
2010-11-30 00:00:00,2112,2110
2010-10-29 00:00:00,2423,2420
2010-09-30 00:00:00,2195,2185
2010-08-31 00:00:00,2065,2068
2010-07-30 00:00:00,2025,2008
2010-06-30 00:00:00,1792.5,1760
2010-05-31 00:00:00,1936,1917
2010-04-30 00:00:00,2285,2293
2010-03-31 00:00:00,2375,2370.25
2010-02-26 00:00:00,2195,2190
2010-01-29 00:00:00,2110,2110
2009-12-31 00:00:00,2560,2570
2009-11-30 00:00:00,2322,2312
2009-10-30 00:00:00,2160,2160
2009-09-30 00:00:00,1969,1946.25
2009-08-31 00:00:00,1881,1864
2009-07-31 00:00:00,1750,1748
2009-06-30 00:00:00,1549,1541
2009-05-29 00:00:00,1567,1538
2009-04-30 00:00:00,1425,1415
2009-03-31 00:00:00,1320,1315
2009-02-27 00:00:00,1128,1125
