Date,PX_LAST
2026-06-26 00:00:00,135732
2026-06-18 00:00:00,143875
2026-06-12 00:00:00,188247
2026-06-05 00:00:00,169512
2026-05-29 00:00:00,176414
2026-05-22 00:00:00,183447
2026-05-15 00:00:00,180643
2026-05-08 00:00:00,181333
2026-04-30 00:00:00,192025
2026-04-24 00:00:00,201373
2026-04-17 00:00:00,240456
2026-04-10 00:00:00,266484
2026-04-03 00:00:00,301088
2026-03-27 00:00:00,359135
2026-03-20 00:00:00,411121
2026-03-13 00:00:00,433458
2026-03-06 00:00:00,425145
2026-02-27 00:00:00,391529
2026-02-13 00:00:00,272475
2026-02-06 00:00:00,248911
2026-01-30 00:00:00,233004
2026-01-23 00:00:00,225937
2026-01-16 00:00:00,213515
2026-01-09 00:00:00,180543
2025-12-31 00:00:00,145342
2025-12-26 00:00:00,111703
2025-12-19 00:00:00,95805
2025-12-12 00:00:00,89389
2025-12-05 00:00:00,88905
2025-11-28 00:00:00,97930
2025-11-21 00:00:00,110603
2025-11-14 00:00:00,109407
2025-11-07 00:00:00,115035
2025-10-31 00:00:00,116140
2025-10-24 00:00:00,104792
2025-10-17 00:00:00,110240
2025-10-10 00:00:00,109690
2025-09-30 00:00:00,95034
2025-09-26 00:00:00,98779
2025-09-19 00:00:00,105814
2025-09-12 00:00:00,94054
2025-09-05 00:00:00,81851
2025-08-29 00:00:00,79748
2025-08-22 00:00:00,81698
2025-08-15 00:00:00,86361
2025-08-08 00:00:00,81933
2025-08-01 00:00:00,72543
2025-07-25 00:00:00,73423
2025-07-18 00:00:00,84556
2025-07-11 00:00:00,81462
2025-07-04 00:00:00,84589
2025-06-27 00:00:00,81550
2025-06-20 00:00:00,100814
2025-06-13 00:00:00,101943
2025-06-06 00:00:00,107404
2025-05-30 00:00:00,105791
2025-05-23 00:00:00,98671
2025-05-16 00:00:00,108142
2025-05-09 00:00:00,80705
2025-04-30 00:00:00,89307
2025-04-25 00:00:00,116753
2025-04-18 00:00:00,171611
2025-04-11 00:00:00,182941
2025-04-03 00:00:00,225736
2025-03-28 00:00:00,235296
2025-03-21 00:00:00,256328
2025-03-14 00:00:00,255472
2025-03-07 00:00:00,267376
2025-02-28 00:00:00,268337
2025-02-21 00:00:00,260091
2025-02-14 00:00:00,230281
2025-02-07 00:00:00,184817
2025-01-27 00:00:00,101838
2025-01-24 00:00:00,98049
2025-01-17 00:00:00,88796
2025-01-10 00:00:00,78678
2025-01-03 00:00:00,83174
2024-12-27 00:00:00,74172
2024-12-20 00:00:00,70864
2024-12-13 00:00:00,84557
2024-12-06 00:00:00,97756
2024-11-29 00:00:00,108775
2024-11-22 00:00:00,120236
2024-11-15 00:00:00,130465
2024-11-08 00:00:00,139662
2024-11-01 00:00:00,153221
2024-10-25 00:00:00,163075
2024-10-18 00:00:00,168425
2024-10-11 00:00:00,156485
2024-09-30 00:00:00,141625
2024-09-27 00:00:00,140408
2024-09-20 00:00:00,164938
2024-09-13 00:00:00,185520
2024-09-06 00:00:00,215374
2024-08-30 00:00:00,241745
2024-08-23 00:00:00,251062
2024-08-16 00:00:00,262206
2024-08-09 00:00:00,286305
2024-08-02 00:00:00,295141
2024-07-26 00:00:00,301203
2024-07-19 00:00:00,309182
2024-07-12 00:00:00,316108
2024-07-05 00:00:00,321642
2024-06-28 00:00:00,319521
2024-06-21 00:00:00,322910
2024-06-14 00:00:00,330753
2024-06-07 00:00:00,336964
2024-05-31 00:00:00,321695
2024-05-24 00:00:00,300964
2024-05-17 00:00:00,291020
2024-05-10 00:00:00,290376
2024-04-30 00:00:00,288340
2024-04-26 00:00:00,287498
2024-04-19 00:00:00,300045
2024-04-12 00:00:00,299723
2024-04-03 00:00:00,291849
2024-03-29 00:00:00,290228
2024-03-22 00:00:00,285090
2024-03-15 00:00:00,286395
2024-03-08 00:00:00,239245
2024-03-01 00:00:00,214487
2024-02-23 00:00:00,181323
2024-02-08 00:00:00,86520
2024-02-02 00:00:00,68777
2024-01-26 00:00:00,50532
2024-01-19 00:00:00,47753
2024-01-12 00:00:00,43085
2024-01-05 00:00:00,33130
2023-12-29 00:00:00,30905
2023-12-22 00:00:00,28718
2023-12-15 00:00:00,34396
2023-12-08 00:00:00,30342
2023-12-01 00:00:00,26149
2023-11-24 00:00:00,35878
2023-11-17 00:00:00,31026
2023-11-10 00:00:00,34846
2023-11-03 00:00:00,40516
2023-10-27 00:00:00,36408
2023-10-20 00:00:00,58223
2023-10-13 00:00:00,56894
2023-09-28 00:00:00,38996
2023-09-22 00:00:00,54165
2023-09-15 00:00:00,65146
2023-09-08 00:00:00,54955
2023-09-01 00:00:00,46591
2023-08-25 00:00:00,40585
2023-08-18 00:00:00,39228
2023-08-11 00:00:00,52915
2023-08-04 00:00:00,52152
2023-07-28 00:00:00,61290
2023-07-21 00:00:00,77898
2023-07-14 00:00:00,82690
2023-07-07 00:00:00,74638
2023-06-30 00:00:00,68313
2023-06-21 00:00:00,60424
2023-06-16 00:00:00,61090
2023-06-09 00:00:00,76473
2023-06-02 00:00:00,86648
2023-05-26 00:00:00,86177
2023-05-19 00:00:00,102511
2023-05-12 00:00:00,118383
2023-05-05 00:00:00,134919
2023-04-28 00:00:00,137095
2023-04-21 00:00:00,146016
2023-04-14 00:00:00,149483
2023-04-07 00:00:00,155761
2023-03-31 00:00:00,156576
2023-03-24 00:00:00,161152
2023-03-17 00:00:00,182341
2023-03-10 00:00:00,214972
2023-03-03 00:00:00,240980
2023-02-24 00:00:00,252455
2023-02-17 00:00:00,249598
2023-02-10 00:00:00,242009
2023-02-03 00:00:00,226509
2023-01-20 00:00:00,139967
2023-01-13 00:00:00,102493
2023-01-06 00:00:00,80398
2022-12-30 00:00:00,69268
2022-12-23 00:00:00,54569
2022-12-16 00:00:00,64041
2022-12-09 00:00:00,78546
2022-12-02 00:00:00,65226
2022-11-25 00:00:00,70249
2022-11-18 00:00:00,85817
2022-11-11 00:00:00,76176
2022-11-04 00:00:00,59064
2022-10-28 00:00:00,63440
2022-10-21 00:00:00,89566
2022-10-14 00:00:00,63746
2022-09-30 00:00:00,30459
2022-09-23 00:00:00,36897
2022-09-16 00:00:00,35865
2022-09-09 00:00:00,36371
2022-09-02 00:00:00,37477
2022-08-26 00:00:00,34898
2022-08-19 00:00:00,31205
2022-08-12 00:00:00,41811
