Date,PX_LAST
2026-06-26 00:00:00,74528
2026-06-18 00:00:00,82893
2026-06-12 00:00:00,92382
2026-06-05 00:00:00,95092
2026-05-29 00:00:00,94496
2026-05-22 00:00:00,100664
2026-05-15 00:00:00,98899
2026-05-08 00:00:00,89928
2026-04-30 00:00:00,96664
2026-04-24 00:00:00,112043
2026-04-17 00:00:00,140339
2026-04-10 00:00:00,173576
2026-04-03 00:00:00,199305
2026-03-27 00:00:00,237076
2026-03-20 00:00:00,287852
2026-03-13 00:00:00,315063
2026-03-06 00:00:00,315488
2026-02-27 00:00:00,290594
2026-02-13 00:00:00,196680
2026-02-06 00:00:00,160172
2026-01-30 00:00:00,156851
2026-01-23 00:00:00,146793
2026-01-16 00:00:00,160417
2026-01-09 00:00:00,111216
2025-12-31 00:00:00,81775
2025-12-26 00:00:00,58647
2025-12-19 00:00:00,45739
2025-12-12 00:00:00,32563
2025-12-05 00:00:00,30936
2025-11-28 00:00:00,35244
2025-11-21 00:00:00,49790
2025-11-14 00:00:00,49830
2025-11-07 00:00:00,43394
2025-10-31 00:00:00,39710
2025-10-24 00:00:00,35071
2025-10-17 00:00:00,42849
2025-10-10 00:00:00,29964
2025-09-30 00:00:00,26823
2025-09-26 00:00:00,26557
2025-09-19 00:00:00,31838
2025-09-12 00:00:00,25560
2025-09-05 00:00:00,18927
2025-08-29 00:00:00,21412
2025-08-22 00:00:00,24148
2025-08-15 00:00:00,24560
2025-08-08 00:00:00,21272
2025-08-01 00:00:00,20349
2025-07-25 00:00:00,16133
2025-07-18 00:00:00,38239
2025-07-11 00:00:00,23307
2025-07-04 00:00:00,22307
2025-06-27 00:00:00,25346
2025-06-20 00:00:00,33882
2025-06-13 00:00:00,36269
2025-06-06 00:00:00,32278
2025-05-30 00:00:00,34128
2025-05-23 00:00:00,33406
2025-05-16 00:00:00,63247
2025-05-09 00:00:00,19165
2025-04-30 00:00:00,28166
2025-04-25 00:00:00,41588
2025-04-18 00:00:00,65097
2025-04-11 00:00:00,86564
2025-04-03 00:00:00,125960
2025-03-28 00:00:00,135731
2025-03-21 00:00:00,150060
2025-03-14 00:00:00,157649
2025-03-07 00:00:00,157487
2025-02-28 00:00:00,157557
2025-02-21 00:00:00,154085
2025-02-14 00:00:00,111621
2025-02-07 00:00:00,53008
2025-01-27 00:00:00,25445
2025-01-24 00:00:00,21765
2025-01-17 00:00:00,15191
2025-01-10 00:00:00,12540
2025-01-03 00:00:00,18094
2024-12-27 00:00:00,13011
2024-12-20 00:00:00,19490
2024-12-13 00:00:00,19122
2024-12-06 00:00:00,18808
2024-11-29 00:00:00,21201
2024-11-22 00:00:00,24345
2024-11-15 00:00:00,37456
2024-11-08 00:00:00,38841
2024-11-01 00:00:00,51402
2024-10-25 00:00:00,57543
2024-10-18 00:00:00,63008
2024-10-11 00:00:00,52893
2024-09-30 00:00:00,52132
2024-09-27 00:00:00,51631
2024-09-20 00:00:00,82801
2024-09-13 00:00:00,96884
2024-09-06 00:00:00,113785
2024-08-30 00:00:00,135040
2024-08-23 00:00:00,144371
2024-08-16 00:00:00,166879
2024-08-09 00:00:00,188842
2024-08-02 00:00:00,201848
2024-07-26 00:00:00,213470
2024-07-19 00:00:00,240821
2024-07-12 00:00:00,248480
2024-07-05 00:00:00,250589
2024-06-28 00:00:00,249623
2024-06-21 00:00:00,255240
2024-06-14 00:00:00,266626
2024-06-07 00:00:00,261267
2024-05-31 00:00:00,243524
2024-05-24 00:00:00,223535
2024-05-17 00:00:00,229535
2024-05-10 00:00:00,223629
2024-04-30 00:00:00,201356
2024-04-26 00:00:00,215217
2024-04-19 00:00:00,232914
2024-04-12 00:00:00,229525
2024-04-03 00:00:00,227392
2024-03-29 00:00:00,221227
2024-03-22 00:00:00,207465
2024-03-15 00:00:00,201687
2024-03-08 00:00:00,157470
2024-03-01 00:00:00,132362
2024-02-23 00:00:00,122909
2024-02-08 00:00:00,49525
2024-02-02 00:00:00,20956
2024-01-26 00:00:00,12253
2024-01-19 00:00:00,13557
2024-01-12 00:00:00,4273
2024-01-05 00:00:00,3058
2023-12-29 00:00:00,5977
2023-12-22 00:00:00,6357
2023-12-15 00:00:00,12078
2023-12-08 00:00:00,2573
2023-12-01 00:00:00,2672
2023-11-24 00:00:00,3453
2023-11-17 00:00:00,5235
2023-11-10 00:00:00,1132
2023-11-03 00:00:00,753
2023-10-27 00:00:00,2818
2023-10-20 00:00:00,11419
2023-10-13 00:00:00,12800
2023-09-28 00:00:00,2408
2023-09-22 00:00:00,13891
2023-09-15 00:00:00,13601
2023-09-08 00:00:00,6957
2023-09-01 00:00:00,7285
2023-08-25 00:00:00,9760
2023-08-18 00:00:00,15936
2023-08-11 00:00:00,14414
2023-08-04 00:00:00,10711
2023-07-28 00:00:00,16189
2023-07-21 00:00:00,31643
2023-07-14 00:00:00,24079
2023-07-07 00:00:00,16429
2023-06-30 00:00:00,18605
