Date,PX_LAST
2026-06-30 00:00:00,2205
2026-05-29 00:00:00,2603
2026-04-30 00:00:00,2355
2026-03-31 00:00:00,2355
2026-02-27 00:00:00,2480
2026-01-30 00:00:00,2240
2025-12-31 00:00:00,1610
2025-11-28 00:00:00,1195
2025-10-31 00:00:00,989
2025-09-30 00:00:00,865
2025-08-29 00:00:00,1060
2025-07-31 00:00:00,890
2025-06-30 00:00:00,685
2025-05-30 00:00:00,725
2025-04-30 00:00:00,828
2025-03-31 00:00:00,935
2025-02-28 00:00:00,1013
2025-01-31 00:00:00,1033
2024-12-31 00:00:00,953
2024-10-31 00:00:00,935
