Date,PX_LAST,PX_BID
2026-06-30 00:00:00,17882,17878
2026-05-29 00:00:00,17874,17865
2026-04-30 00:00:00,17353,17345
2026-03-31 00:00:00,16995,16990
2026-02-27 00:00:00,16771,16765
2026-01-30 00:00:00,16785,16780
2025-12-31 00:00:00,16690,16690
2025-11-28 00:00:00,16660,16655
2025-10-31 00:00:00,16630,16625
2025-09-30 00:00:00,16665,16660
2025-08-29 00:00:00,16490,16485
2025-07-31 00:00:00,16455,16450
2025-06-30 00:00:00,16238,16235
2025-05-30 00:00:00,16290,16285
2025-04-30 00:00:00,16601,16597
2025-03-31 00:00:00,16560,16555
2025-02-28 00:00:00,16580,16575
2025-01-31 00:00:00,16300,16295
2024-12-31 00:00:00,16102,16090
2024-11-29 00:00:00,15845,15840
2024-10-31 00:00:00,15697,15690
2024-09-30 00:00:00,15140,15135
2024-08-30 00:00:00,15455,15450
2024-07-31 00:00:00,16260,16255
2024-06-28 00:00:00,16375,16370
2024-05-31 00:00:00,16250,16245
2024-04-30 00:00:00,16260,16255
2024-03-29 00:00:00,15855,15850
2024-02-29 00:00:00,15715,15710
2024-01-31 00:00:00,15780,15775
2023-12-29 00:00:00,15397,15395
2023-11-30 00:00:00,15510,15505
2023-10-31 00:00:00,15885,15880
2023-09-29 00:00:00,15455,15450
2023-08-31 00:00:00,15230,15225
2023-07-31 00:00:00,15080,15075
2023-06-30 00:00:00,14993,14990
2023-05-31 00:00:00,14993,14990
2023-04-28 00:00:00,14670,14665
2023-03-31 00:00:00,14995,14990
2023-02-28 00:00:00,15250,15245
2023-01-31 00:00:00,14990,14985
2022-12-30 00:00:00,15568,15565
2022-11-30 00:00:00,15732,15730
2022-10-31 00:00:00,15598,15595
2022-09-30 00:00:00,15228,15225
2022-08-31 00:00:00,14843,14840
2022-07-29 00:00:00,14833,14830
2022-06-30 00:00:00,14898,14895
2022-05-31 00:00:00,14583,14580
2022-04-29 00:00:00,14497,14495
2022-03-31 00:00:00,14369,14368
2022-02-28 00:00:00,14367,14365
2022-01-31 00:00:00,14383,14380
2021-12-31 00:00:00,14253,14250
2021-11-30 00:00:00,14323,14320
2021-10-29 00:00:00,14168,14165
2021-09-30 00:00:00,14313,14310
2021-08-31 00:00:00,14268,14265
2021-07-30 00:00:00,14463,14460
2021-06-30 00:00:00,14500,14495
2021-05-31 00:00:00,14280,14275
2021-04-30 00:00:00,14445,14440
2021-03-31 00:00:00,14525,14520
2021-02-26 00:00:00,14235,14200
2021-01-29 00:00:00,14030,14020
2020-12-31 00:00:00,14050,14040
2020-11-30 00:00:00,14120,14090
2020-10-30 00:00:00,14625,14620
2020-09-30 00:00:00,14880,14840
2020-08-31 00:00:00,14563,14560
2020-07-31 00:00:00,14600,14530
2020-06-30 00:00:00,14265,14190
2020-05-29 00:00:00,14610,14575
2020-04-30 00:00:00,14882,14825
2020-03-31 00:00:00,16310,16300
2020-02-28 00:00:00,14318,14310
2020-01-31 00:00:00,13655,13650
2019-12-31 00:00:00,13866,13863
2019-11-29 00:00:00,14108,14105
2019-10-31 00:00:00,14041,14035
2019-09-30 00:00:00,14195,14190
2019-08-30 00:00:00,14191,14187
2019-07-31 00:00:00,14022,14020
2019-06-28 00:00:00,14128,14125
2019-05-31 00:00:00,14273,14270
2019-04-30 00:00:00,14259,14255
2019-03-29 00:00:00,14241,14238
2019-02-28 00:00:00,14069,14067
2019-01-31 00:00:00,13973,13970
2018-12-31 00:00:00,14390,14385
2018-11-30 00:00:00,14302,14298
2018-10-31 00:00:00,15203,15200
2018-09-28 00:00:00,14903,14900
2018-08-31 00:00:00,14730,14725
2018-07-31 00:00:00,14420,14415
2018-06-29 00:00:00,14330,14325
2018-05-31 00:00:00,13894,13889
2018-04-30 00:00:00,13913,13910
2018-03-30 00:00:00,13768,13765
2018-02-28 00:00:00,13745,13740
2018-01-31 00:00:00,13389,13387
2017-12-29 00:00:00,13568,13565
2017-11-30 00:00:00,13526,13524
2017-10-31 00:00:00,13563,13560
2017-09-29 00:00:00,13472,13470
2017-08-31 00:00:00,13342,13340
2017-07-31 00:00:00,13325,13324
2017-06-30 00:00:00,13328,13325
2017-05-31 00:00:00,13323,13321
2017-04-28 00:00:00,13329,13327
2017-03-31 00:00:00,13326,13323
2017-02-28 00:00:00,13336,13331
2017-01-31 00:00:00,13352,13348
2016-12-30 00:00:00,13473,13470
2016-11-30 00:00:00,13553,13550
2016-10-31 00:00:00,13048,13047
2016-09-30 00:00:00,13051,13047
2016-08-31 00:00:00,13265,13260
2016-07-29 00:00:00,13099,13097
2016-06-30 00:00:00,13220,13215
2016-05-31 00:00:00,13658,13655
2016-04-29 00:00:00,13197,13195
2016-03-31 00:00:00,13260,13255
2016-02-29 00:00:00,13376,13370
2016-01-29 00:00:00,13776,13770
2015-12-31 00:00:00,13788,13780
2015-11-30 00:00:00,13841,13835
2015-10-30 00:00:00,13695,13685
2015-09-30 00:00:00,14651,14648
2015-08-31 00:00:00,14053,14045
2015-07-31 00:00:00,13531,13527
2015-06-30 00:00:00,13333,13330
2015-05-29 00:00:00,13225,13222
2015-04-30 00:00:00,12964,12960
2015-03-31 00:00:00,13075,13070
2015-02-27 00:00:00,12928,12923
2015-01-30 00:00:00,12670,12665
2014-12-31 00:00:00,12385,12380
2014-11-28 00:00:00,12203,12200
2014-10-31 00:00:00,12085,12080
2014-09-30 00:00:00,12183,12180
2014-08-29 00:00:00,11694,11690
2014-07-31 00:00:00,11580,11575
2014-06-30 00:00:00,11855,11845
2014-05-30 00:00:00,11675,11670
2014-04-30 00:00:00,11562,11558
2014-03-31 00:00:00,11360,11355
2014-02-28 00:00:00,11609,11604
2014-01-31 00:00:00,12210,12205
2013-12-31 00:00:00,12170,12160
