Date,PX_LAST,PX_BID
2026-06-30 00:00:00,46.6577,46.6427
2026-05-29 00:00:00,45.8532,45.791
2026-04-30 00:00:00,45.1866,45.1792
2026-03-31 00:00:00,44.4587,44.4183
2026-02-27 00:00:00,43.9416,43.9194
2026-01-30 00:00:00,43.4925,43.4718
2025-12-31 00:00:00,42.9557,42.9426
2025-11-28 00:00:00,42.49,42.4436
2025-10-31 00:00:00,42.062,42.0371
2025-09-30 00:00:00,41.5883,41.573
2025-08-29 00:00:00,41.1446,41.1268
2025-07-31 00:00:00,40.6284,40.5835
2025-06-30 00:00:00,39.8135,39.7895
2025-05-30 00:00:00,39.198,39.1202
2025-04-30 00:00:00,38.4933,38.4779
2025-03-31 00:00:00,37.9451,37.9217
2025-02-28 00:00:00,36.4685,36.3276
2025-01-31 00:00:00,35.7448,35.6227
2024-12-31 00:00:00,35.3547,35.2995
2024-11-29 00:00:00,34.702,34.6707
2024-10-31 00:00:00,34.2577,34.232
2024-09-30 00:00:00,34.1977,34.1786
2024-08-30 00:00:00,34.0756,34.049
2024-07-31 00:00:00,33.1438,33.1095
2024-06-28 00:00:00,32.7609,32.6484
2024-05-31 00:00:00,32.248,32.2273
2024-04-30 00:00:00,32.4229,32.3759
2024-03-29 00:00:00,32.3755,32.3256
2024-02-29 00:00:00,31.2334,31.178
2024-01-31 00:00:00,30.3398,30.3081
2023-12-29 00:00:00,29.528,29.4814
2023-11-30 00:00:00,28.866,28.8321
2023-10-31 00:00:00,28.3021,28.2599
2023-09-29 00:00:00,27.4223,27.4007
2023-08-31 00:00:00,26.6968,26.6502
2023-07-31 00:00:00,26.9327,26.882
2023-06-30 00:00:00,26.0145,25.9973
2023-05-31 00:00:00,20.762,20.7194
2023-04-28 00:00:00,19.4515,19.4386
2023-03-31 00:00:00,19.1803,19.1656
2023-02-28 00:00:00,18.8837,18.8746
2023-01-31 00:00:00,18.8149,18.8098
2022-12-30 00:00:00,18.71,18.6963
2022-11-30 00:00:00,18.6153,18.5859
2022-10-31 00:00:00,18.6134,18.5875
2022-09-30 00:00:00,18.5287,18.4482
2022-08-31 00:00:00,18.1948,18.1738
2022-07-29 00:00:00,17.9196,17.8686
2022-06-30 00:00:00,16.6985,16.6771
2022-05-31 00:00:00,16.404,16.3748
2022-04-29 00:00:00,14.8541,14.8172
2022-03-31 00:00:00,14.6724,14.651
