Date,PX_LAST,PX_BID
2026-06-30 00:00:00,2.2221,2.2295
2026-05-29 00:00:00,2.0293,2.0357
2026-04-30 00:00:00,1.8802,1.8873
2026-03-31 00:00:00,2.0091,2.0162
2026-02-27 00:00:00,1.6809,1.6878
2026-01-30 00:00:00,1.8931,1.8992
2025-12-31 00:00:00,1.8984,1.9065
2025-11-28 00:00:00,1.758,1.7659
2025-10-31 00:00:00,1.7588,1.7658
2025-09-30 00:00:00,1.7771,1.784
2025-08-29 00:00:00,1.8141,1.8202
2025-07-31 00:00:00,1.9792,1.9862
2025-06-30 00:00:00,1.9286,1.9358
2025-05-30 00:00:00,2.061,2.0682
2025-04-30 00:00:00,1.9202,1.9263
2025-03-31 00:00:00,1.8342,1.8394
2025-02-28 00:00:00,1.8389,1.8441
2025-01-31 00:00:00,2.1083,2.1127
2024-12-31 00:00:00,2.2277,2.2352
2024-11-29 00:00:00,1.9035,1.907
2024-10-31 00:00:00,1.9557,1.9601
2024-09-30 00:00:00,1.5929,1.5963
2024-08-30 00:00:00,1.7502,1.7545
2024-07-31 00:00:00,1.7992,1.8035
2024-06-28 00:00:00,2.107,2.1116
2024-05-31 00:00:00,2.1466,2.1512
2024-04-30 00:00:00,2.2737,2.2792
2024-03-29 00:00:00,1.8736,1.8798
2024-02-29 00:00:00,1.9253,1.9306
2024-01-31 00:00:00,1.6645,1.6704
2023-12-29 00:00:00,1.7056,1.7129
2023-11-30 00:00:00,2.0871,2.0927
2023-10-31 00:00:00,2.5124,2.5182
2023-09-29 00:00:00,2.2286,2.2342
2023-08-31 00:00:00,1.8658,1.8774
2023-07-31 00:00:00,1.5827,1.5939
2023-06-30 00:00:00,1.614,1.6258
2023-05-31 00:00:00,1.4745,1.487
2023-04-28 00:00:00,1.2105,1.2225
2023-03-31 00:00:00,1.1393,1.1537
2023-02-28 00:00:00,1.54,1.5531
2023-01-31 00:00:00,1.259,1.2683
2022-12-30 00:00:00,1.5672,1.5839
2022-11-30 00:00:00,1.2356,1.2498
2022-10-31 00:00:00,1.5309,1.5464
2022-09-30 00:00:00,1.6685,1.6841
2022-08-31 00:00:00,0.7063,0.7178
2022-07-29 00:00:00,0.0934,0.1042
2022-06-30 00:00:00,0.6626,0.6791
2022-05-31 00:00:00,0.1914,0.2054
2022-04-29 00:00:00,-0.0078,0.005
2022-03-31 00:00:00,-0.4934,-0.4829
2022-02-28 00:00:00,-0.7991,-0.7904
2022-01-31 00:00:00,-0.712,-0.704
2021-12-31 00:00:00,-1.1033,-1.0938
2021-11-30 00:00:00,-1.0876,-1.0789
2021-10-29 00:00:00,-1.0366,-1.0279
2021-09-30 00:00:00,-0.8916,-0.8844
2021-08-31 00:00:00,-1.0314,-1.0243
2021-07-30 00:00:00,-1.1798,-1.1729
2021-06-30 00:00:00,-0.88,-0.8726
2021-05-31 00:00:00,-0.8618,-0.8537
2021-04-30 00:00:00,-0.7823,-0.7764
2021-03-31 00:00:00,-0.6363,-0.6274
2021-02-26 00:00:00,-0.7461,-0.7367
2021-01-29 00:00:00,-1.0379,-1.0316
2020-12-31 00:00:00,-1.092,-1.0825
2020-11-30 00:00:00,-0.964,-0.9559
2020-10-30 00:00:00,-0.8362,-0.8288
2020-09-30 00:00:00,-0.9515,-0.9443
2020-08-31 00:00:00,-1.1039,-1.0948
2020-07-31 00:00:00,-1.0293,-1.0216
2020-06-30 00:00:00,-0.7102,-0.6988
2020-05-29 00:00:00,-0.5111,-0.4981
2020-04-30 00:00:00,-0.4354,-0.4232
2020-03-31 00:00:00,-0.2601,-0.25
2020-02-28 00:00:00,-0.2859,-0.2737
2020-01-31 00:00:00,-0.1378,-0.1278
2019-12-31 00:00:00,0.1296,0.1378
2019-11-29 00:00:00,0.1518,0.1616
2019-10-31 00:00:00,0.1373,0.1462
2019-09-30 00:00:00,0.1415,0.1503
2019-08-30 00:00:00,-0.0486,-0.0393
2019-07-31 00:00:00,0.2619,0.2691
2019-06-28 00:00:00,0.3005,0.3077
2019-05-31 00:00:00,0.3814,0.3895
2019-04-30 00:00:00,0.5506,0.5554
2019-03-29 00:00:00,0.5282,0.5338
2019-02-28 00:00:00,0.7688,0.7745
2019-01-31 00:00:00,0.7639,0.7704
2018-12-31 00:00:00,0.9692,0.9744
2018-11-30 00:00:00,1.0193,1.0262
2018-10-31 00:00:00,1.0798,1.085
2018-09-28 00:00:00,0.9139,0.9206
2018-08-31 00:00:00,0.7681,0.7739
2018-07-31 00:00:00,0.8303,0.8369
2018-06-29 00:00:00,0.7328,0.7397
2018-05-31 00:00:00,0.7761,0.7821
2018-04-30 00:00:00,0.7762,0.7813
2018-03-30 00:00:00,0.681,0.6868
2018-02-28 00:00:00,0.74,0.7466
2018-01-31 00:00:00,0.5915,0.5963
2017-12-29 00:00:00,0.4219,0.4294
2017-11-30 00:00:00,0.5377,0.5452
2017-10-31 00:00:00,0.4922,0.4989
2017-09-29 00:00:00,0.4764,0.4838
2017-08-31 00:00:00,0.342,0.3476
2017-07-31 00:00:00,0.4748,0.478
2017-06-30 00:00:00,0.5638,0.5732
2017-05-31 00:00:00,0.3733,0.3791
2017-04-28 00:00:00,0.3529,0.3676
2017-03-31 00:00:00,0.3986,0.4084
2017-02-28 00:00:00,0.3766,0.3806
2017-01-31 00:00:00,0.3926,0.3966
2016-12-30 00:00:00,0.4741,0.4844
2016-11-30 00:00:00,0.4202,0.4303
2016-10-31 00:00:00,0.091,0.0999
2016-09-30 00:00:00,-0.0234,-0.0043
2016-08-31 00:00:00,0.1059,0.117
2016-07-29 00:00:00,-0.0418,-0.0309
2016-06-30 00:00:00,0.0343,0.0478
2016-05-31 00:00:00,0.2718,0.2832
2016-04-29 00:00:00,0.1219,0.1306
2016-03-31 00:00:00,0.1324,0.1473
2016-02-29 00:00:00,0.3003,0.3122
2016-01-29 00:00:00,0.5145,0.5194
2015-12-31 00:00:00,0.701,0.72
2015-11-30 00:00:00,0.5908,0.6052
2015-10-30 00:00:00,0.6067,0.621
2015-09-30 00:00:00,0.5997,0.6138
2015-08-31 00:00:00,0.5723,0.5921
2015-07-31 00:00:00,0.424,0.4473
2015-06-30 00:00:00,0.4553,0.4671
2015-05-29 00:00:00,0.2937,0.3044
2015-04-30 00:00:00,0.0979,0.1092
2015-03-31 00:00:00,0.1423,0.1511
2015-02-27 00:00:00,0.1535,0.167
2015-01-30 00:00:00,-0.0067,0.0003
2014-12-31 00:00:00,0.4689,0.4774
2014-11-28 00:00:00,0.359,0.3657
2014-10-31 00:00:00,0.4021,0.4137
2014-09-30 00:00:00,0.5134,0.5218
2014-08-29 00:00:00,0.2139,0.2171
2014-07-31 00:00:00,0.2883,0.2924
2014-06-30 00:00:00,0.2485,0.2583
2014-05-30 00:00:00,0.2314,0.2402
2014-04-30 00:00:00,0.4545,0.461
2014-03-31 00:00:00,0.5757,0.5831
2014-02-28 00:00:00,0.4588,0.4741
2014-01-31 00:00:00,0.5105,0.5161
2013-12-31 00:00:00,0.7648,0.7744
2013-11-29 00:00:00,0.5613,0.5731
2013-10-31 00:00:00,0.3824,0.3972
2013-09-30 00:00:00,0.4092,0.4239
2013-08-30 00:00:00,0.6751,0.6843
2013-07-31 00:00:00,0.367,0.3782
2013-06-28 00:00:00,0.4526,0.4671
2013-05-31 00:00:00,-0.1077,-0.0965
2013-04-30 00:00:00,-0.6749,-0.6667
2013-03-29 00:00:00,-0.6729,-0.664
2013-02-28 00:00:00,-0.6717,-0.6606
2013-01-31 00:00:00,-0.5837,-0.5734
2012-12-31 00:00:00,-0.7513,-0.7309
2012-11-30 00:00:00,-0.8556,-0.8349
2012-10-31 00:00:00,-0.8139,-0.7984
2012-09-28 00:00:00,-0.7949,-0.7803
2012-08-31 00:00:00,-0.7175,-0.7043
2012-07-31 00:00:00,-0.7235,-0.7097
2012-06-29 00:00:00,-0.4951,-0.4835
2012-05-31 00:00:00,-0.5677,-0.5532
2012-04-30 00:00:00,-0.3571,-0.3401
2012-03-30 00:00:00,-0.139,-0.1194
2012-02-29 00:00:00,-0.3034,-0.2889
2012-01-31 00:00:00,-0.3068,-0.2939
2011-12-30 00:00:00,-0.1243,-0.1023
2011-11-30 00:00:00,-0.0222,-0.0065
2011-10-31 00:00:00,0.0252,0.0456
2011-09-30 00:00:00,0.1439,0.1722
2011-08-31 00:00:00,0.1379,0.162
2011-07-29 00:00:00,0.3516,0.3682
2011-06-30 00:00:00,0.6934,0.7126
2011-05-31 00:00:00,0.7547,0.7722
2011-04-29 00:00:00,0.7061,0.7127
2011-03-31 00:00:00,0.9624,0.969
2011-02-28 00:00:00,1.01,1.0166
2011-01-31 00:00:00,1.0521,1.0587
2010-12-31 00:00:00,0.9645,0.9713
2010-11-30 00:00:00,0.651,0.6575
2010-10-29 00:00:00,0.4462,0.4525
2010-09-30 00:00:00,0.691,0.6975
2010-08-31 00:00:00,0.9181,0.9246
2010-07-30 00:00:00,1.1202,1.1268
2010-06-30 00:00:00,1.0777,1.0846
2010-05-31 00:00:00,1.2453,1.2522
2010-04-30 00:00:00,1.2531,1.26
2010-03-31 00:00:00,1.565,1.5719
2010-02-26 00:00:00,1.4533,1.4602
2010-01-29 00:00:00,1.2644,1.2711
2009-12-31 00:00:00,1.4281,1.435
2009-11-30 00:00:00,1.0796,1.0862
2009-10-30 00:00:00,1.366,1.3727
2009-09-30 00:00:00,1.5316,1.5384
2009-08-31 00:00:00,1.74,1.7469
2009-07-31 00:00:00,1.7052,1.712
2009-06-30 00:00:00,1.764,1.771
2009-05-29 00:00:00,1.618,1.6248
2009-04-30 00:00:00,1.6442,1.651
2009-03-31 00:00:00,1.3523,1.3589
2009-02-27 00:00:00,2.0197,2.0267
2009-01-30 00:00:00,1.7437,1.7505
2008-12-31 00:00:00,2.0886,2.0961
2008-11-28 00:00:00,2.5322,2.54
2008-10-31 00:00:00,3.127,3.135
2008-09-30 00:00:00,2.2359,2.2433
2008-08-29 00:00:00,1.6645,1.6715
2008-07-31 00:00:00,1.6379,1.6449
2008-06-30 00:00:00,1.4246,1.4316
2008-05-30 00:00:00,1.532,1.539
2008-04-30 00:00:00,1.4466,1.4535
2008-03-31 00:00:00,1.0835,1.0901
2008-02-29 00:00:00,1.068,1.0745
2008-01-31 00:00:00,1.2729,1.2795
2007-12-31 00:00:00,1.6984,1.7052
2007-11-30 00:00:00,1.5858,1.5925
2007-10-31 00:00:00,2.113,2.12
2007-09-28 00:00:00,2.2688,2.2758
2007-08-31 00:00:00,2.336,2.343
2007-07-31 00:00:00,2.4119,2.4189
2007-06-29 00:00:00,2.6472,2.6548
2007-05-31 00:00:00,2.5109,2.5183
2007-04-30 00:00:00,2.1845,2.1917
2007-03-30 00:00:00,2.2001,2.2071
2007-02-28 00:00:00,2.1857,2.1927
2007-01-31 00:00:00,2.382,2.3891
2006-12-29 00:00:00,2.4023,2.4096
2006-11-30 00:00:00,2.1477,2.1548
2006-10-31 00:00:00,2.328,2.3352
2006-09-29 00:00:00,2.2707,2.2778
