Date,PX_LAST,PX_BID
2026-06-30 00:00:00,5.8075,5.75
2026-06-29 00:00:00,5.695,5.65
2026-06-26 00:00:00,5.7825,5.7575
2026-06-25 00:00:00,5.91,5.9025
2026-06-24 00:00:00,5.8575,5.8525
2026-06-23 00:00:00,5.8675,5.87
2026-06-22 00:00:00,5.975,5.965
2026-06-18 00:00:00,6.0575,6.045
2026-06-17 00:00:00,6.1275,6.13
2026-06-16 00:00:00,5.96,5.955
2026-06-15 00:00:00,5.8975,5.8975
2026-06-12 00:00:00,5.845,5.8475
2026-06-11 00:00:00,5.8675,5.86
2026-06-10 00:00:00,5.875,5.87
2026-06-09 00:00:00,5.8525,5.85
2026-06-08 00:00:00,5.8325,5.815
2026-06-05 00:00:00,5.8,5.7975
2026-06-04 00:00:00,5.8175,5.8175
2026-06-03 00:00:00,5.8725,5.8675
2026-06-02 00:00:00,6.03,6.0275
2026-06-01 00:00:00,6.0875,6.08
2026-05-29 00:00:00,6.105,6.1
2026-05-28 00:00:00,6.24,6.235
2026-05-27 00:00:00,6.225,6.22
2026-05-26 00:00:00,6.355,6.355
2026-05-22 00:00:00,6.4625,6.47
2026-05-21 00:00:00,6.475,6.48
2026-05-20 00:00:00,6.605,6.61
2026-05-19 00:00:00,6.6725,6.675
2026-05-18 00:00:00,6.645,6.645
2026-05-15 00:00:00,6.3575,6.3525
2026-05-14 00:00:00,6.47,
2026-05-13 00:00:00,6.65,5.595
2026-05-12 00:00:00,6.65,5.595
2026-05-11 00:00:00,6.2225,5.595
2026-05-08 00:00:00,6.075,5.595
2026-05-07 00:00:00,6.0175,5.92
2026-05-06 00:00:00,6.06,5.92
2026-05-05 00:00:00,6.165,6.0825
2026-05-04 00:00:00,6.295,6.0825
2026-05-01 00:00:00,6.245,6.0825
2026-04-30 00:00:00,6.2375,6.08
2026-04-29 00:00:00,6.4225,6.335
2026-04-28 00:00:00,6.49,6.4925
2026-04-27 00:00:00,6.215,6.2225
2026-04-24 00:00:00,6.0825,6.0725
2026-04-23 00:00:00,6.1075,6.125
2026-04-22 00:00:00,5.9925,5.995
2026-04-21 00:00:00,6.05,6.0525
2026-04-20 00:00:00,5.97,5.9575
2026-04-17 00:00:00,5.9125,5.8975
2026-04-16 00:00:00,5.985,6.005
2026-04-15 00:00:00,5.9375,5.93
2026-04-14 00:00:00,5.92,5.9275
2026-04-13 00:00:00,5.8225,5.8175
2026-04-10 00:00:00,5.71,5.695
2026-04-09 00:00:00,5.745,5.735
2026-04-08 00:00:00,5.8025,5.8
2026-04-07 00:00:00,5.98,5.98
2026-04-06 00:00:00,5.9525,5.9575
2026-04-03 00:00:00,,5.975
2026-04-02 00:00:00,5.9825,5.975
2026-04-01 00:00:00,5.975,5.9775
2026-03-31 00:00:00,6.1625,6.185
2026-03-30 00:00:00,6.07,6.0775
2026-03-27 00:00:00,6.05,6.0525
2026-03-26 00:00:00,6.05,6.05
2026-03-25 00:00:00,5.9775,5.995
2026-03-24 00:00:00,5.9,5.9175
2026-03-23 00:00:00,5.8775,5.8925
2026-03-20 00:00:00,5.9525,5.955
2026-03-19 00:00:00,6.08,6.1
2026-03-18 00:00:00,6.0425,6.055
2026-03-17 00:00:00,5.8975,5.9
2026-03-16 00:00:00,5.9725,5.97
2026-03-13 00:00:00,6.185,
2026-03-12 00:00:00,5.9225,5.5825
2026-03-11 00:00:00,5.885,5.5825
2026-03-10 00:00:00,5.8475,5.5825
2026-03-09 00:00:00,5.98,5.5825
2026-03-06 00:00:00,6.1125,5.5825
2026-03-05 00:00:00,5.8275,5.5825
2026-03-04 00:00:00,5.6675,5.5825
2026-03-03 00:00:00,5.7225,5.5825
2026-03-02 00:00:00,5.745,5.5825
2026-02-27 00:00:00,5.9125,5.5825
2026-02-26 00:00:00,5.7175,5.5825
2026-02-25 00:00:00,5.6575,5.6225
2026-02-24 00:00:00,5.675,5.6675
