Date,PX_LAST
2026-06-30 00:00:00,648
2026-05-29 00:00:00,651
2026-04-30 00:00:00,616
2026-03-31 00:00:00,595
2026-02-27 00:00:00,543
2026-01-30 00:00:00,504
2025-12-31 00:00:00,487
2025-11-28 00:00:00,451
2025-10-31 00:00:00,463
2025-09-30 00:00:00,461
2025-08-29 00:00:00,467
2025-07-31 00:00:00,496
2025-06-30 00:00:00,515
2025-05-30 00:00:00,462
2025-04-30 00:00:00,481
2025-03-31 00:00:00,500
2025-02-28 00:00:00,503
2025-01-31 00:00:00,518
2024-12-31 00:00:00,508
2024-11-29 00:00:00,518
2024-10-31 00:00:00,543
2024-09-30 00:00:00,600
2024-08-30 00:00:00,622
2024-07-31 00:00:00,627
2024-06-28 00:00:00,676
2024-05-31 00:00:00,677
2024-04-30 00:00:00,749
2024-03-29 00:00:00,814
2024-02-29 00:00:00,915
2024-01-31 00:00:00,1028
2023-12-29 00:00:00,466
2023-11-30 00:00:00,464
2023-10-31 00:00:00,472
2023-09-29 00:00:00,482
2023-08-31 00:00:00,516
2023-07-31 00:00:00,527
2023-06-30 00:00:00,575
2023-05-31 00:00:00,587
2023-04-28 00:00:00,596
2023-03-31 00:00:00,701
2023-02-28 00:00:00,728
2023-01-31 00:00:00,762
2022-12-30 00:00:00,789
2022-11-30 00:00:00,819
2022-10-31 00:00:00,887
2022-09-30 00:00:00,1003
2022-08-31 00:00:00,1190
2022-07-29 00:00:00,1197
2022-06-30 00:00:00,1402
2022-05-31 00:00:00,1419
2022-04-29 00:00:00,1417
2022-03-31 00:00:00,1492
2022-02-28 00:00:00,1439
2022-01-31 00:00:00,1455
2021-12-31 00:00:00,1547
2021-11-30 00:00:00,1583
2021-10-29 00:00:00,1591
2021-09-30 00:00:00,1625
2021-08-31 00:00:00,1647
2021-07-30 00:00:00,1710
2021-06-30 00:00:00,1649
2021-05-31 00:00:00,1546
2021-04-30 00:00:00,1368
2021-03-31 00:00:00,1490
2021-02-26 00:00:00,1418
2021-01-29 00:00:00,1409
2020-12-31 00:00:00,1316
2020-11-30 00:00:00,1165
2020-10-30 00:00:00,1100
2020-09-30 00:00:00,1294
2020-08-31 00:00:00,1187
2020-07-31 00:00:00,1198
2020-06-30 00:00:00,1229
2020-05-29 00:00:00,1021
2020-04-30 00:00:00,967
2020-03-31 00:00:00,825
2020-02-28 00:00:00,634
2020-01-31 00:00:00,670
2019-12-31 00:00:00,618
2019-11-29 00:00:00,609
2019-10-31 00:00:00,591
2019-09-30 00:00:00,565
2019-08-30 00:00:00,576
2019-07-31 00:00:00,577
2019-06-28 00:00:00,565
2019-05-31 00:00:00,558
2019-04-30 00:00:00,543
2019-03-29 00:00:00,543
2019-02-28 00:00:00,566
2019-01-31 00:00:00,578
2018-12-31 00:00:00,575
2018-11-30 00:00:00,620
2018-10-31 00:00:00,578
2018-09-28 00:00:00,967
2018-08-31 00:00:00,923
2018-07-31 00:00:00,832
2018-06-29 00:00:00,820
2018-05-31 00:00:00,823
2018-04-30 00:00:00,892
2018-03-30 00:00:00,846
2018-02-28 00:00:00,841
2018-01-31 00:00:00,860
2017-12-29 00:00:00,857
2017-11-30 00:00:00,993
2017-10-31 00:00:00,1173
2017-09-29 00:00:00,1228
2017-08-31 00:00:00,1238
2017-07-31 00:00:00,1361
2017-06-30 00:00:00,1437
2017-05-31 00:00:00,1091
2017-04-28 00:00:00,1546
2017-03-31 00:00:00,959
2017-02-28 00:00:00,742
2017-01-31 00:00:00,618
2016-12-30 00:00:00,633
2016-11-30 00:00:00,601
2016-10-31 00:00:00,626
2016-09-30 00:00:00,633
2016-08-31 00:00:00,645
2016-07-29 00:00:00,656
2016-06-30 00:00:00,604
2016-05-31 00:00:00,629
2016-04-29 00:00:00,624
2016-03-31 00:00:00,621
2016-02-29 00:00:00,604
2016-01-29 00:00:00,592
2015-12-31 00:00:00,601
2015-11-30 00:00:00,638
2015-10-30 00:00:00,637
2015-09-30 00:00:00,611
2015-08-31 00:00:00,704
2015-07-31 00:00:00,855
2015-06-30 00:00:00,785
2015-05-29 00:00:00,760
2015-04-30 00:00:00,820
2015-03-31 00:00:00,819
2015-02-27 00:00:00,843
2015-01-30 00:00:00,844
2014-12-31 00:00:00,856
2014-11-28 00:00:00,830
2014-10-31 00:00:00,759
2014-09-30 00:00:00,794
2014-08-29 00:00:00,799
2014-07-31 00:00:00,829
2014-06-30 00:00:00,883
2014-05-30 00:00:00,882
2014-04-30 00:00:00,823
2014-03-31 00:00:00,841
2014-02-28 00:00:00,825
2014-01-31 00:00:00,752
2013-12-31 00:00:00,760
2013-11-29 00:00:00,755
2013-10-31 00:00:00,888
2013-09-30 00:00:00,844
2013-08-30 00:00:00,853
2013-07-31 00:00:00,891
2013-06-28 00:00:00,937
2013-05-31 00:00:00,1013
2013-04-30 00:00:00,1077
2013-03-29 00:00:00,1061
2013-02-28 00:00:00,1048
2013-01-31 00:00:00,987
2012-12-31 00:00:00,964
2012-11-30 00:00:00,979
2012-10-31 00:00:00,1019
2012-09-28 00:00:00,1009
2012-08-31 00:00:00,1005
2012-07-31 00:00:00,964
2012-06-29 00:00:00,863
2012-05-31 00:00:00,876
2012-04-30 00:00:00,579
2012-03-30 00:00:00,542
2012-02-29 00:00:00,473
2012-01-31 00:00:00,478
2011-12-30 00:00:00,464
2011-11-30 00:00:00,531
2011-10-31 00:00:00,689
2011-09-30 00:00:00,698
2011-08-31 00:00:00,698
2011-07-29 00:00:00,740
2011-06-30 00:00:00,775.07
