Date,PX_LAST
2026-06-30 00:00:00,5750
2026-05-29 00:00:00,3473
2026-04-30 00:00:00,2930
2026-03-31 00:00:00,2686
2026-02-27 00:00:00,2191
2026-01-30 00:00:00,2442
2025-12-31 00:00:00,2481
2025-11-28 00:00:00,2089
2025-10-31 00:00:00,2438
2025-09-30 00:00:00,2311
2025-08-29 00:00:00,2332
2025-07-31 00:00:00,2632
2025-06-30 00:00:00,3741
2025-05-30 00:00:00,3738
2025-04-30 00:00:00,2617
2025-03-31 00:00:00,2487
2025-02-28 00:00:00,3477
2025-01-31 00:00:00,4771
2024-12-31 00:00:00,4499
2024-11-29 00:00:00,4250
2024-10-31 00:00:00,4839
2024-09-30 00:00:00,5490
2024-08-30 00:00:00,6248
2024-07-31 00:00:00,6934
2024-06-28 00:00:00,6673
2024-05-31 00:00:00,5390
2024-04-30 00:00:00,3395
2024-03-29 00:00:00,3825
2024-02-29 00:00:00,4486
2024-01-31 00:00:00,4344
2023-12-29 00:00:00,2100
2023-11-30 00:00:00,1971
2023-10-31 00:00:00,1961
2023-09-29 00:00:00,2016
2023-08-31 00:00:00,2217
2023-07-31 00:00:00,2087
2023-06-30 00:00:00,1581
2023-05-31 00:00:00,1798
2023-04-28 00:00:00,1820
2023-03-31 00:00:00,1775
2023-02-28 00:00:00,1959
2023-01-31 00:00:00,2072
2022-12-30 00:00:00,1992
2022-11-30 00:00:00,2069
2022-10-31 00:00:00,2412
2022-09-30 00:00:00,3283
2022-08-31 00:00:00,6127
2022-07-29 00:00:00,7199
2022-06-30 00:00:00,7652
2022-05-31 00:00:00,8720
2022-04-29 00:00:00,8587
2022-03-31 00:00:00,9112
2022-02-28 00:00:00,11030
2022-01-31 00:00:00,10691
2021-12-31 00:00:00,10221
2021-11-30 00:00:00,10085
2021-10-29 00:00:00,10976
2021-09-30 00:00:00,12172
2021-08-31 00:00:00,11362
2021-07-30 00:00:00,10503
2021-06-30 00:00:00,8548
2021-05-31 00:00:00,5742
2021-04-30 00:00:00,4403
2021-03-31 00:00:00,4184
2021-02-26 00:00:00,4391
2021-01-29 00:00:00,4178
2020-12-31 00:00:00,4174
2020-11-30 00:00:00,4048
2020-10-30 00:00:00,4138
2020-09-30 00:00:00,4085
2020-08-31 00:00:00,3508
2020-07-31 00:00:00,2934
2020-06-30 00:00:00,2467
2020-05-29 00:00:00,1675
2020-04-30 00:00:00,1538
2020-03-31 00:00:00,1479
2020-02-28 00:00:00,1474
2020-01-31 00:00:00,1582
2019-12-31 00:00:00,1435
2019-11-29 00:00:00,1352
2019-10-31 00:00:00,1569
2019-09-30 00:00:00,1404
2019-08-30 00:00:00,1374
2019-07-31 00:00:00,1466
2019-06-28 00:00:00,1470
2019-05-31 00:00:00,1262
2019-04-30 00:00:00,1542
2019-03-29 00:00:00,1495
2019-02-28 00:00:00,1590
2019-01-31 00:00:00,2080
2018-12-31 00:00:00,1877
2018-11-30 00:00:00,2429
2018-10-31 00:00:00,2621
2018-09-28 00:00:00,2382
2018-08-31 00:00:00,2116
2018-07-31 00:00:00,1653
2018-06-29 00:00:00,1255
2018-05-31 00:00:00,1317
2018-04-30 00:00:00,1164
2018-03-30 00:00:00,1045
2018-02-28 00:00:00,1486
2018-01-31 00:00:00,1445
2017-12-29 00:00:00,1166
2017-11-30 00:00:00,1145
2017-10-31 00:00:00,1321
2017-09-29 00:00:00,1464
2017-08-31 00:00:00,1561
2017-07-31 00:00:00,1218
2017-06-30 00:00:00,1133
2017-05-31 00:00:00,1257
2017-04-28 00:00:00,1328
2017-03-31 00:00:00,1286
2017-02-28 00:00:00,1776
2017-01-31 00:00:00,2135
2016-12-30 00:00:00,1561
2016-11-30 00:00:00,1689
2016-10-31 00:00:00,1910
2016-09-30 00:00:00,1743
2016-08-31 00:00:00,1183
2016-07-29 00:00:00,1389
2016-06-30 00:00:00,777
2016-05-31 00:00:00,823
2016-04-29 00:00:00,754
2016-03-31 00:00:00,905
2016-02-29 00:00:00,1097
2016-01-29 00:00:00,1439
2015-12-31 00:00:00,816
2015-11-30 00:00:00,926
2015-10-30 00:00:00,1352
2015-09-30 00:00:00,1417
2015-08-31 00:00:00,1614
2015-07-31 00:00:00,1164
2015-06-30 00:00:00,1236
2015-05-29 00:00:00,1507
2015-04-30 00:00:00,1578
2015-03-31 00:00:00,1709
2015-02-27 00:00:00,2124
2015-01-30 00:00:00,1988
2014-12-31 00:00:00,2404
2014-11-28 00:00:00,1998
2014-10-31 00:00:00,2042
2014-09-30 00:00:00,2031
2014-08-29 00:00:00,2051
2014-07-31 00:00:00,1789
2014-06-30 00:00:00,1686
2014-05-30 00:00:00,1891
2014-04-30 00:00:00,1897
2014-03-31 00:00:00,1869
2014-02-28 00:00:00,1909
2014-01-31 00:00:00,2099
2013-12-31 00:00:00,1647
2013-11-29 00:00:00,1736
2013-10-31 00:00:00,1664
2013-09-30 00:00:00,1854
2013-08-30 00:00:00,1878
2013-07-31 00:00:00,1888
2013-06-28 00:00:00,1785
2013-05-31 00:00:00,1984
2013-04-30 00:00:00,2150
2013-03-29 00:00:00,2024
2013-02-28 00:00:00,2290
2013-01-31 00:00:00,2473
2012-12-31 00:00:00,2157
2012-11-30 00:00:00,2024
2012-10-31 00:00:00,2462
2012-09-28 00:00:00,2680
2012-08-31 00:00:00,2586
2012-07-31 00:00:00,2406
2012-06-29 00:00:00,2648
2012-05-31 00:00:00,2346
2012-04-30 00:00:00,2314
2012-03-30 00:00:00,2026
2012-02-29 00:00:00,1798
2012-01-31 00:00:00,1820
2011-12-30 00:00:00,1447
2011-11-30 00:00:00,1511
2011-10-31 00:00:00,1454
2011-09-30 00:00:00,1524
2011-08-31 00:00:00,2007
2011-07-29 00:00:00,1612
2011-06-30 00:00:00,1690.14
