Date,PX_LAST
2026-06-30 00:00:00,4392
2026-05-29 00:00:00,2861
2026-04-30 00:00:00,2127
2026-03-31 00:00:00,2552
2026-02-27 00:00:00,2094
2026-01-30 00:00:00,2379
2025-12-31 00:00:00,2584
2025-11-28 00:00:00,2165
2025-10-31 00:00:00,1795
2025-09-30 00:00:00,1735
2025-08-29 00:00:00,2661
2025-07-31 00:00:00,3290
2025-06-30 00:00:00,3204
2025-05-30 00:00:00,2159
2025-04-30 00:00:00,2312
2025-03-31 00:00:00,2370
2025-02-28 00:00:00,2586
2025-01-31 00:00:00,3274
2024-12-31 00:00:00,4819
2024-11-29 00:00:00,3997
2024-10-31 00:00:00,3396
2024-09-30 00:00:00,4157
2024-08-30 00:00:00,7204
2024-07-31 00:00:00,8260
2024-06-28 00:00:00,7322
2024-05-31 00:00:00,5270
2024-04-30 00:00:00,3056
2024-03-29 00:00:00,3159
2024-02-29 00:00:00,3944
2024-01-31 00:00:00,4984
2023-12-29 00:00:00,1667
2023-11-30 00:00:00,1171
2023-10-31 00:00:00,1004
2023-09-29 00:00:00,1052
2023-08-31 00:00:00,1615
2023-07-31 00:00:00,1292
2023-06-30 00:00:00,1313
2023-05-31 00:00:00,1530
2023-04-28 00:00:00,1592
2023-03-31 00:00:00,1479
2023-02-28 00:00:00,1633
2023-01-31 00:00:00,1741
2022-12-30 00:00:00,1706
2022-11-30 00:00:00,2192
2022-10-31 00:00:00,3845
2022-09-30 00:00:00,5441
2022-08-31 00:00:00,8010
2022-07-29 00:00:00,9154
2022-06-30 00:00:00,9240
2022-05-31 00:00:00,9751
2022-04-29 00:00:00,10199
2022-03-31 00:00:00,11099
2022-02-28 00:00:00,13625
2022-01-31 00:00:00,13687
2021-12-31 00:00:00,13642
2021-11-30 00:00:00,13475
2021-10-29 00:00:00,14062
2021-09-30 00:00:00,14558
2021-08-31 00:00:00,13787
2021-07-30 00:00:00,13352
2021-06-30 00:00:00,11975
2021-05-31 00:00:00,10174
2021-04-30 00:00:00,7583
2021-03-31 00:00:00,7608
2021-02-26 00:00:00,8474
2021-01-29 00:00:00,8740
2020-12-31 00:00:00,6606
2020-11-30 00:00:00,3528
2020-10-30 00:00:00,2219
2020-09-30 00:00:00,2294
2020-08-31 00:00:00,1922
2020-07-31 00:00:00,1784
2020-06-30 00:00:00,1830
2020-05-29 00:00:00,1694
2020-04-30 00:00:00,1472
2020-03-31 00:00:00,1712
2020-02-28 00:00:00,1827
2020-01-31 00:00:00,2081
2019-12-31 00:00:00,1999
2019-11-29 00:00:00,1660
2019-10-31 00:00:00,1560
2019-09-30 00:00:00,1247
2019-08-30 00:00:00,1554
2019-07-31 00:00:00,1356
2019-06-28 00:00:00,1447
2019-05-31 00:00:00,1457
2019-04-30 00:00:00,1318
2019-03-29 00:00:00,1422
2019-02-28 00:00:00,1652
2019-01-31 00:00:00,1954
2018-12-31 00:00:00,1775
2018-11-30 00:00:00,1533
2018-10-31 00:00:00,1427
2018-09-28 00:00:00,1546
2018-08-31 00:00:00,1803
2018-07-31 00:00:00,1657
2018-06-29 00:00:00,1617
2018-05-31 00:00:00,1621
2018-04-30 00:00:00,1142
2018-03-30 00:00:00,1391
2018-02-28 00:00:00,1740
2018-01-31 00:00:00,1718
2017-12-29 00:00:00,1502
2017-11-30 00:00:00,1304
2017-10-31 00:00:00,1252
2017-09-29 00:00:00,1397
2017-08-31 00:00:00,1702
2017-07-31 00:00:00,1685
2017-06-30 00:00:00,1652
2017-05-31 00:00:00,1759
2017-04-28 00:00:00,1562
2017-03-31 00:00:00,1516
2017-02-28 00:00:00,1668
2017-01-31 00:00:00,2121
2016-12-30 00:00:00,1953
2016-11-30 00:00:00,1556
2016-10-31 00:00:00,1430
2016-09-30 00:00:00,1663
2016-08-31 00:00:00,1310
2016-07-29 00:00:00,1263
2016-06-30 00:00:00,1960
2016-05-31 00:00:00,848
2016-04-29 00:00:00,532
2016-03-31 00:00:00,611
2016-02-29 00:00:00,492
2016-01-29 00:00:00,973
2015-12-31 00:00:00,1000
2015-11-30 00:00:00,543
2015-10-30 00:00:00,452
2015-09-30 00:00:00,811
2015-08-31 00:00:00,966
2015-07-31 00:00:00,779
2015-06-30 00:00:00,358
2015-05-29 00:00:00,850
2015-04-30 00:00:00,708
2015-03-31 00:00:00,1180
2015-02-27 00:00:00,1921
2015-01-30 00:00:00,2388
2014-12-31 00:00:00,2564
2014-11-28 00:00:00,1539
2014-10-31 00:00:00,1357
2014-09-30 00:00:00,1826
2014-08-29 00:00:00,2360
2014-07-31 00:00:00,2360
2014-06-30 00:00:00,2346
2014-05-30 00:00:00,2289
2014-04-30 00:00:00,2103
2014-03-31 00:00:00,1748
2014-02-28 00:00:00,2549
2014-01-31 00:00:00,3296
2013-12-31 00:00:00,3022
2013-11-29 00:00:00,2147
2013-10-31 00:00:00,1284
2013-09-30 00:00:00,1703
2013-08-30 00:00:00,2480
2013-07-31 00:00:00,2435
2013-06-28 00:00:00,990
2013-05-31 00:00:00,1221
2013-04-30 00:00:00,1705
2013-03-29 00:00:00,2278
2013-02-28 00:00:00,2174
2013-01-31 00:00:00,2505
2012-12-31 00:00:00,2464
2012-11-30 00:00:00,2134
2012-10-31 00:00:00,2077
2012-09-28 00:00:00,2263
2012-08-31 00:00:00,2928
2012-07-31 00:00:00,3333
2012-06-29 00:00:00,3112
2012-05-31 00:00:00,3295
2012-04-30 00:00:00,3249
2012-03-30 00:00:00,2654
2012-02-29 00:00:00,1276
2012-01-31 00:00:00,1366
2011-12-30 00:00:00,944
2011-11-30 00:00:00,1016
2011-10-31 00:00:00,1256
2011-09-30 00:00:00,1381
2011-08-31 00:00:00,1534
2011-07-29 00:00:00,1507
2011-06-30 00:00:00,1500.13
