Date,PX_LAST,PX_BID
2026-06-30 00:00:00,129.65,128
2026-06-29 00:00:00,127.7,127.5
2026-06-26 00:00:00,143.4,143.25
2026-06-25 00:00:00,143.2,143.2
2026-06-24 00:00:00,143.55,143.35
2026-06-23 00:00:00,143.95,143.5
2026-06-22 00:00:00,143.9,143.6
2026-06-19 00:00:00,144,143.25
2026-06-18 00:00:00,144,143.5
2026-06-17 00:00:00,143.8,143.25
2026-06-16 00:00:00,145,142
2026-06-15 00:00:00,146.35,143
2026-06-12 00:00:00,148.9,147
2026-06-11 00:00:00,151.75,150
2026-06-10 00:00:00,150.95,150
2026-06-09 00:00:00,150.2,146
2026-06-08 00:00:00,151.25,148
2026-06-05 00:00:00,148.75,145.2
2026-06-04 00:00:00,147.55,145
2026-06-03 00:00:00,146.25,145.05
2026-06-02 00:00:00,141.3,138
2026-06-01 00:00:00,140.3,137.5
2026-05-29 00:00:00,131.25,
2026-05-28 00:00:00,131.5,131.5
2026-05-27 00:00:00,131.75,131.3
2026-05-26 00:00:00,132.6,131
2026-05-25 00:00:00,132.05,
2026-05-22 00:00:00,132.05,131.25
2026-05-21 00:00:00,132.05,130
2026-05-20 00:00:00,132.45,132
2026-05-19 00:00:00,132.4,131.75
2026-05-18 00:00:00,132.5,131
2026-05-15 00:00:00,131.7,130.5
2026-05-14 00:00:00,130.4,130
2026-05-13 00:00:00,131.15,130
2026-05-12 00:00:00,132.5,
2026-05-11 00:00:00,130.85,130
2026-05-08 00:00:00,131.75,
2026-05-07 00:00:00,132.2,132
2026-05-06 00:00:00,132.05,122.5
2026-05-05 00:00:00,134.4,131.5
2026-05-04 00:00:00,135.55,130
2026-05-01 00:00:00,133.9,
2026-04-30 00:00:00,134,134
2026-04-29 00:00:00,133.65,133.75
2026-04-28 00:00:00,131.25,127.3
2026-04-27 00:00:00,132.25,126.2
2026-04-24 00:00:00,133.7,133.35
2026-04-23 00:00:00,133.25,132.75
2026-04-22 00:00:00,132.8,131
2026-04-21 00:00:00,132.9,132.8
2026-04-20 00:00:00,132.6,132
2026-04-17 00:00:00,132.3,132.65
2026-04-16 00:00:00,133.55,131
2026-04-15 00:00:00,133.75,127.5
2026-04-14 00:00:00,134.95,131
2026-04-13 00:00:00,135.45,133
2026-04-10 00:00:00,134.9,
2026-04-09 00:00:00,135.5,
2026-04-08 00:00:00,135.5,
2026-04-07 00:00:00,138.5,
2026-04-06 00:00:00,137.9,
2026-04-02 00:00:00,137.9,
2026-04-01 00:00:00,137.2,
2026-03-31 00:00:00,142.45,125
2026-03-30 00:00:00,144.25,125
2026-03-27 00:00:00,135.6,133.75
2026-03-26 00:00:00,135.1,
2026-03-25 00:00:00,133.05,
2026-03-24 00:00:00,136.5,
2026-03-23 00:00:00,135.25,
2026-03-20 00:00:00,135.35,132
2026-03-19 00:00:00,135.45,
2026-03-18 00:00:00,132.8,
2026-03-17 00:00:00,131.1,
2026-03-16 00:00:00,132.3,
2026-03-13 00:00:00,134.8,
2026-03-12 00:00:00,135,
2026-03-11 00:00:00,133.1,
2026-03-10 00:00:00,131.55,
2026-03-09 00:00:00,137.65,
2026-03-06 00:00:00,133.8,
2026-03-05 00:00:00,134.25,
2026-03-04 00:00:00,131.65,123
2026-03-03 00:00:00,135,
2026-03-02 00:00:00,125.85,113
2026-02-27 00:00:00,115.8,
2026-02-26 00:00:00,115.8,
2026-02-25 00:00:00,116.2,
2026-02-24 00:00:00,117,
2026-02-23 00:00:00,116.5,
2026-02-20 00:00:00,116.2,
2026-02-19 00:00:00,116.15,
2026-02-18 00:00:00,116.8,
2026-02-17 00:00:00,117.05,
2026-02-16 00:00:00,116.25,
2026-02-13 00:00:00,116.7,
2026-02-12 00:00:00,116.1,
2026-02-11 00:00:00,114.9,
2026-02-10 00:00:00,114.6,110
2026-02-09 00:00:00,115.75,110
2026-02-06 00:00:00,115.6,115
2026-02-05 00:00:00,116,114.5
2026-02-04 00:00:00,116.1,112.75
2026-02-03 00:00:00,114.7,111.5
2026-02-02 00:00:00,116,
2026-01-30 00:00:00,108.9,109.1
2026-01-29 00:00:00,108.6,
2026-01-28 00:00:00,109.1,
2026-01-27 00:00:00,108.8,
2026-01-26 00:00:00,108.65,
2026-01-23 00:00:00,109,
2026-01-22 00:00:00,109.55,
2026-01-21 00:00:00,109.35,
2026-01-20 00:00:00,109.95,
2026-01-19 00:00:00,109.1,
2026-01-16 00:00:00,108.85,
2026-01-15 00:00:00,108.4,
2026-01-14 00:00:00,109,
2026-01-13 00:00:00,107.65,
2026-01-12 00:00:00,107.1,
2026-01-09 00:00:00,107.3,
2026-01-08 00:00:00,107.4,
2026-01-07 00:00:00,106.9,
2026-01-06 00:00:00,107.25,
2026-01-05 00:00:00,106.2,104
2026-01-02 00:00:00,106.55,104
2025-12-31 00:00:00,107.5,107
2025-12-30 00:00:00,106.65,
2025-12-29 00:00:00,107.95,
2025-12-26 00:00:00,109.05,
2025-12-24 00:00:00,108.25,108.2
2025-12-23 00:00:00,108.25,
2025-12-22 00:00:00,108.25,108
