Date,PX_LAST,PX_BID
2026-06-30 00:00:00,-60,-65
2026-05-31 00:00:00,-55,-60
2026-04-30 00:00:00,-30,-35
2026-03-31 00:00:00,5,0
2026-02-28 00:00:00,50,45
2026-01-31 00:00:00,50,45
2025-12-31 00:00:00,50,45
2025-11-30 00:00:00,70,65
2025-10-31 00:00:00,115,110
2025-09-30 00:00:00,100,95
2025-08-31 00:00:00,95,90
2025-07-31 00:00:00,95,90
2025-06-30 00:00:00,65,60
2025-05-31 00:00:00,65,60
2025-04-30 00:00:00,65,60
2025-03-31 00:00:00,65,60
2025-02-28 00:00:00,25,20
2025-01-31 00:00:00,-25,-30
2024-12-31 00:00:00,-25,-30
2024-11-30 00:00:00,-35,-40
2024-10-31 00:00:00,-35,-40
2024-09-30 00:00:00,-35,-40
2024-08-31 00:00:00,10.9,5.9
2024-07-31 00:00:00,14.5,9.5
2024-06-30 00:00:00,22.2,17.2
2024-05-31 00:00:00,33.6,28.6
2024-04-30 00:00:00,56,51
2024-03-31 00:00:00,80,75
2024-02-29 00:00:00,85,80
2024-01-31 00:00:00,85,80
2023-12-31 00:00:00,95,90
2023-11-30 00:00:00,95,90
2023-10-31 00:00:00,105,100
2023-09-30 00:00:00,117,112
2023-08-31 00:00:00,155,150
2023-07-31 00:00:00,165,160
2023-06-30 00:00:00,185,180
2023-05-31 00:00:00,190,185
2023-04-30 00:00:00,220,215
2023-03-31 00:00:00,230,225
2023-02-28 00:00:00,250,245
2023-01-31 00:00:00,270,265
2022-12-31 00:00:00,270,265
2022-11-30 00:00:00,270,265
2022-10-31 00:00:00,265,260
2022-09-30 00:00:00,223,218
2022-08-31 00:00:00,168,163
2022-07-31 00:00:00,178,173
2022-06-30 00:00:00,207,202
2022-05-31 00:00:00,235,230
2022-04-30 00:00:00,212,207
2022-03-31 00:00:00,171,166
2022-02-28 00:00:00,109,104
2022-01-31 00:00:00,85,80
2021-12-31 00:00:00,83,78
2021-11-30 00:00:00,85,80
2021-10-31 00:00:00,93,88
2021-09-30 00:00:00,90,85
2021-08-31 00:00:00,90,85
2021-07-31 00:00:00,85,80
2021-06-30 00:00:00,80,75
2021-05-31 00:00:00,70,65
2021-04-30 00:00:00,70,65
2021-03-31 00:00:00,75,70
2021-02-28 00:00:00,80,75
2021-01-31 00:00:00,85,80
2020-12-31 00:00:00,85,80
2020-11-30 00:00:00,95,90
2020-10-31 00:00:00,105,100
2020-09-30 00:00:00,135,130
2020-08-31 00:00:00,175,170
2020-07-31 00:00:00,175,170
2020-06-30 00:00:00,155,150
2020-05-31 00:00:00,165,160
2020-04-30 00:00:00,205,200
2020-03-31 00:00:00,285,280
2020-02-29 00:00:00,305,300
2020-01-31 00:00:00,305,300
2019-12-31 00:00:00,305,300
2019-11-30 00:00:00,295,290
2019-10-31 00:00:00,285,280
2019-09-30 00:00:00,285,280
2019-08-31 00:00:00,280,275
2019-07-31 00:00:00,275,270
2019-06-30 00:00:00,275,270
2019-05-31 00:00:00,265,260
2019-04-30 00:00:00,265,260
2019-03-31 00:00:00,245,240
2019-02-28 00:00:00,225,220
2019-01-31 00:00:00,175,170
2018-12-31 00:00:00,165,160
2018-11-30 00:00:00,145,140
2018-10-31 00:00:00,115,110
2018-09-30 00:00:00,70,65
2018-08-31 00:00:00,20,15
2018-07-31 00:00:00,20,15
2018-06-30 00:00:00,19,14
2018-05-31 00:00:00,18.5,13.5
2018-04-30 00:00:00,18,13
2018-03-31 00:00:00,18,13
2018-02-28 00:00:00,18,13
2018-01-31 00:00:00,18,13
2017-12-31 00:00:00,25,20
2017-11-30 00:00:00,25,20
2017-10-31 00:00:00,25,20
2017-09-30 00:00:00,25,20
2017-08-31 00:00:00,50,45
2017-07-31 00:00:00,50,45
2017-06-30 00:00:00,49.5,44
2017-05-31 00:00:00,45,40
2017-04-30 00:00:00,35,30
2017-03-31 00:00:00,35,30
2017-02-28 00:00:00,35,30
2017-01-31 00:00:00,35,30
2016-12-31 00:00:00,40,35
2016-11-30 00:00:00,60,55
2016-10-31 00:00:00,95,90
2016-09-30 00:00:00,100,95
2016-08-31 00:00:00,110,105
2016-07-31 00:00:00,110,105
2016-06-30 00:00:00,115,110
2016-05-31 00:00:00,125,120
2016-04-30 00:00:00,135,130
2016-03-31 00:00:00,135,130
2016-02-29 00:00:00,145,140
2016-01-31 00:00:00,155,150
2015-12-31 00:00:00,175,170
2015-11-30 00:00:00,185,180
2015-10-31 00:00:00,185,180
2015-09-30 00:00:00,195,190
2015-08-31 00:00:00,205,200
2015-07-31 00:00:00,215,210
2015-06-30 00:00:00,220,215
2015-05-31 00:00:00,215,210
2015-04-30 00:00:00,210,205
2015-03-31 00:00:00,210,205
2015-02-28 00:00:00,210,205
2015-01-31 00:00:00,200,195
2014-12-31 00:00:00,200,195
2014-11-30 00:00:00,195,190
2014-10-31 00:00:00,165,160
2014-09-30 00:00:00,165,160
2014-08-31 00:00:00,155,150
2014-07-31 00:00:00,155,150
2014-06-30 00:00:00,145,140
2014-05-31 00:00:00,140,135
2014-04-30 00:00:00,140,135
2014-03-31 00:00:00,135,130
2014-02-28 00:00:00,135,130
2014-01-31 00:00:00,135,130
2013-12-31 00:00:00,135,130
2013-11-30 00:00:00,125,120
2013-10-31 00:00:00,125,120
2013-09-30 00:00:00,125,120
2013-08-31 00:00:00,125,120
2013-07-31 00:00:00,125,120
2013-06-30 00:00:00,125,120
2013-05-31 00:00:00,125,120
2013-04-30 00:00:00,125,120
2013-03-31 00:00:00,135,130
2013-02-28 00:00:00,125,120
2013-01-31 00:00:00,125,120
2012-12-31 00:00:00,115,110
2012-11-30 00:00:00,115,110
2012-10-31 00:00:00,115,110
2012-09-30 00:00:00,105,100
2012-08-31 00:00:00,85,80
2012-07-31 00:00:00,85,80
2012-06-30 00:00:00,85,80
2012-05-31 00:00:00,55,50
2012-04-30 00:00:00,55,50
2012-03-31 00:00:00,55,50
2012-02-29 00:00:00,55,50
2012-01-31 00:00:00,55,50
2011-12-31 00:00:00,55,50
2011-11-30 00:00:00,65,60
2011-10-31 00:00:00,70,60
2011-09-30 00:00:00,90,80
2011-08-31 00:00:00,90,80
2011-07-31 00:00:00,100,90
2011-06-30 00:00:00,115,110
2011-05-31 00:00:00,115,110
2011-04-30 00:00:00,125,120
2011-03-31 00:00:00,125,120
2011-02-28 00:00:00,125,120
2011-01-31 00:00:00,125,120
2010-12-31 00:00:00,125,120
2010-11-30 00:00:00,125,120
2010-10-31 00:00:00,115,110
2010-09-30 00:00:00,75,70
2010-08-31 00:00:00,75,70
2010-07-31 00:00:00,75,70
2010-06-30 00:00:00,75,70
2010-05-31 00:00:00,165,160
2010-04-30 00:00:00,185,180
2010-03-31 00:00:00,205,200
2010-02-28 00:00:00,205,200
2010-01-31 00:00:00,205,200
2009-12-31 00:00:00,195,190
2009-11-30 00:00:00,185,180
2009-10-31 00:00:00,185,180
2009-09-30 00:00:00,195,190
2009-08-31 00:00:00,165,160
2009-07-31 00:00:00,145,140
2009-06-30 00:00:00,125,120
2009-05-31 00:00:00,105,100
2009-04-30 00:00:00,105,100
2009-03-31 00:00:00,95,90
2009-02-28 00:00:00,115,110
2009-01-31 00:00:00,175,170
2008-12-31 00:00:00,175,170
2008-11-30 00:00:00,175,170
2008-10-31 00:00:00,155,150
2008-09-30 00:00:00,225,220
2008-08-31 00:00:00,235,230
2008-07-31 00:00:00,255,250
2008-06-30 00:00:00,265,260
2008-05-31 00:00:00,305,300
2008-04-30 00:00:00,305,300
2008-03-31 00:00:00,315,310
2008-02-29 00:00:00,305,300
2008-01-31 00:00:00,305,300
2007-12-31 00:00:00,325,320
2007-11-30 00:00:00,325,320
2007-10-31 00:00:00,325,320
2007-09-30 00:00:00,295,290
2007-08-31 00:00:00,285,280
2007-07-31 00:00:00,275,270
2007-06-30 00:00:00,275,270
2007-05-31 00:00:00,265,260
2007-04-30 00:00:00,265,260
2007-03-31 00:00:00,265,260
