Date,PX_LAST,PX_BID
2026-03-31 00:00:00,-2.28,
2026-02-28 00:00:00,23.75,
2026-01-31 00:00:00,25.5,
2025-12-31 00:00:00,43.75,
2025-11-30 00:00:00,61.25,
2025-10-31 00:00:00,102.54,
2025-09-30 00:00:00,115.9,
2025-08-31 00:00:00,93.75,
2025-07-31 00:00:00,76.25,
2025-06-30 00:00:00,65.25,
2025-05-31 00:00:00,45,
2025-04-30 00:00:00,40,
2025-03-31 00:00:00,35,
2025-02-28 00:00:00,20,
2025-01-31 00:00:00,10,
2024-12-31 00:00:00,-20,
2024-11-30 00:00:00,-40,
2024-10-31 00:00:00,-40,
2024-09-30 00:00:00,-40,
2024-08-31 00:00:00,-40,
2024-07-31 00:00:00,-20,
2024-06-30 00:00:00,10,
2024-05-31 00:00:00,20,
2024-04-30 00:00:00,30,
2024-03-31 00:00:00,65,
2024-02-29 00:00:00,80,
2024-01-31 00:00:00,80,
2023-12-31 00:00:00,80,
2023-11-30 00:00:00,90,
2023-10-31 00:00:00,105,
2023-09-30 00:00:00,110,
2023-08-31 00:00:00,140,
2023-07-31 00:00:00,165,
2023-06-30 00:00:00,175,
2023-05-31 00:00:00,195,
2023-04-30 00:00:00,200,
2023-03-31 00:00:00,210,
2023-02-28 00:00:00,240,
2023-01-31 00:00:00,260,
2022-12-31 00:00:00,260,
2022-11-30 00:00:00,260,
2022-10-31 00:00:00,265,
2022-09-30 00:00:00,255,
2022-08-31 00:00:00,210,150
2022-07-31 00:00:00,165,190
2022-06-30 00:00:00,210,200
2022-05-31 00:00:00,220,220
2022-04-30 00:00:00,240,160
2022-03-31 00:00:00,180,130
2022-02-28 00:00:00,140,90
2022-01-31 00:00:00,95,70
2021-12-31 00:00:00,80,70
2021-11-30 00:00:00,80,75
2021-10-31 00:00:00,80,75
2021-09-30 00:00:00,82.5,80
2021-08-31 00:00:00,87.5,80
2021-07-31 00:00:00,90,70
2021-06-30 00:00:00,80,65
2021-05-31 00:00:00,75,65
2021-04-30 00:00:00,72.5,65
2021-03-31 00:00:00,75,65
2021-02-28 00:00:00,80,65
2021-01-31 00:00:00,80,70
2020-12-31 00:00:00,85,70
2020-11-30 00:00:00,90,70
2020-10-31 00:00:00,95,100
2020-09-30 00:00:00,115,160
2020-08-31 00:00:00,155,160
2020-07-31 00:00:00,165,150
2020-06-30 00:00:00,150,140
2020-05-31 00:00:00,150,150
2020-04-30 00:00:00,170,240
2020-03-31 00:00:00,250,290
2020-02-29 00:00:00,280,290
2020-01-31 00:00:00,310,290
2019-12-31 00:00:00,300,290
2019-11-30 00:00:00,300,270
2019-10-31 00:00:00,280,270
2019-09-30 00:00:00,280,270
2019-08-31 00:00:00,270,230
2019-07-31 00:00:00,240,230
2019-06-30 00:00:00,240,230
2019-05-31 00:00:00,240,230
2019-04-30 00:00:00,240,230
2019-03-31 00:00:00,235,225
2019-02-28 00:00:00,210,200
2019-01-31 00:00:00,180,170
2018-12-31 00:00:00,155,140
2018-11-30 00:00:00,130,140
