Date,PX_LAST,PX_BID
2026-06-30 00:00:00,135,130
2026-05-31 00:00:00,135,130
2026-04-30 00:00:00,135,130
2026-03-31 00:00:00,135,130
2026-02-28 00:00:00,135,130
2026-01-31 00:00:00,135,130
2025-12-31 00:00:00,135,130
2025-11-30 00:00:00,135,130
2025-10-31 00:00:00,135,130
2025-09-30 00:00:00,135,130
2025-08-31 00:00:00,135,130
2025-07-31 00:00:00,135,130
2025-06-30 00:00:00,135,130
2025-05-31 00:00:00,145,135
2025-04-30 00:00:00,135,130
2025-03-31 00:00:00,125,115
2025-02-28 00:00:00,120,110
2025-01-31 00:00:00,120,110
2024-12-31 00:00:00,115,100
2024-11-30 00:00:00,115,100
2024-10-31 00:00:00,115,100
2024-09-30 00:00:00,135,125
2024-08-31 00:00:00,115,105
2024-07-31 00:00:00,110,100
2024-06-30 00:00:00,110,100
2024-05-31 00:00:00,110,100
2024-04-30 00:00:00,110,100
2024-03-31 00:00:00,100,90
2024-02-29 00:00:00,90,80
2024-01-31 00:00:00,90,80
2023-12-31 00:00:00,115,110
2023-11-30 00:00:00,115,110
2023-10-31 00:00:00,115,110
2023-09-30 00:00:00,115,110
2023-08-31 00:00:00,115,110
2023-07-31 00:00:00,115,110
2023-06-30 00:00:00,140,130
2023-05-31 00:00:00,140,130
2023-04-30 00:00:00,140,130
2023-03-31 00:00:00,140,130
2023-02-28 00:00:00,140,130
2023-01-31 00:00:00,140,130
2022-12-31 00:00:00,140,130
2022-11-30 00:00:00,140,130
2022-10-31 00:00:00,140,130
2022-09-30 00:00:00,120,110
2022-08-31 00:00:00,120,110
2022-07-31 00:00:00,120,110
2022-06-30 00:00:00,80,70
2022-05-31 00:00:00,80,70
2022-04-30 00:00:00,80,70
2022-03-31 00:00:00,80,70
2022-02-28 00:00:00,80,70
2022-01-31 00:00:00,80,70
2021-12-31 00:00:00,80,70
2021-11-30 00:00:00,80,70
2021-10-31 00:00:00,90,80
2021-09-30 00:00:00,90,80
2021-08-31 00:00:00,125,120
2021-07-31 00:00:00,125,120
2021-06-30 00:00:00,125,120
2021-05-31 00:00:00,120,115
2021-04-30 00:00:00,120,115
2021-03-31 00:00:00,115,110
2021-02-28 00:00:00,100,90
2021-01-31 00:00:00,100,90
2020-12-31 00:00:00,100,90
2020-11-30 00:00:00,90,80
2020-10-31 00:00:00,90,80
2020-09-30 00:00:00,90,80
2020-08-31 00:00:00,90,80
2020-07-31 00:00:00,85,80
2020-06-30 00:00:00,85,80
2020-05-31 00:00:00,85,80
2020-04-30 00:00:00,75,65
2020-03-31 00:00:00,70,60
2020-02-29 00:00:00,80,70
2020-01-31 00:00:00,80,70
2019-12-31 00:00:00,80,70
2019-11-30 00:00:00,80,70
2019-10-31 00:00:00,95,90
2019-09-30 00:00:00,95,90
2019-08-31 00:00:00,90,85
2019-07-31 00:00:00,90,85
2019-06-30 00:00:00,90,85
2019-05-31 00:00:00,140,130
2019-04-30 00:00:00,140,130
2019-03-31 00:00:00,140,130
2019-02-28 00:00:00,140,130
2019-01-31 00:00:00,160,145
2018-12-31 00:00:00,155,145
2018-11-30 00:00:00,150,140
2018-10-31 00:00:00,170,160
2018-09-30 00:00:00,295,280
2018-08-31 00:00:00,160,150
2018-07-31 00:00:00,130,120
2018-06-30 00:00:00,130,120
2018-05-31 00:00:00,140,130
2018-04-30 00:00:00,140,135
2018-03-31 00:00:00,130,125
2018-02-28 00:00:00,160,155
2018-01-31 00:00:00,160,155
2017-12-31 00:00:00,160,155
2017-11-30 00:00:00,160,155
2017-10-31 00:00:00,170,165
2017-09-30 00:00:00,185,180
2017-08-31 00:00:00,185,180
2017-07-31 00:00:00,165,160
2017-06-30 00:00:00,185,180
2017-05-31 00:00:00,135,130
2017-04-30 00:00:00,125,120
2017-03-31 00:00:00,110,105
2017-02-28 00:00:00,130,125
2017-01-31 00:00:00,130,125
2016-12-31 00:00:00,130,125
2016-11-30 00:00:00,120,115
2016-10-31 00:00:00,120,115
2016-09-30 00:00:00,115,110
2016-08-31 00:00:00,115,110
2016-07-31 00:00:00,115,110
2016-06-30 00:00:00,115,110
2016-05-31 00:00:00,115,110
2016-04-30 00:00:00,125,120
2016-03-31 00:00:00,125,120
2016-02-29 00:00:00,135,130
2016-01-31 00:00:00,135,130
2015-12-31 00:00:00,120,110
2015-11-30 00:00:00,122.5,115
2015-10-31 00:00:00,122.5,115
2015-09-30 00:00:00,137.5,130
